year_ce,east_plateau,wilkes_coast,weddell_coast,antarctic_peninsula,west_ice_sheet,victoria_coast,dronning_maud,west_antarctica,east_antarctica,all_antarctica
865.0,-0.3291,2.0969,,0.2576,0.3851,0.4244,,0.2315,0.046,0.1984
875.0,0.4534,1.0809,,-0.5877,0.7878,-0.0942,,0.3186,0.3025,0.3453
885.0,0.3453,0.5446,,-0.572,0.4754,-0.4624,,0.1673,0.1746,0.1406
895.0,0.7843,1.5277,,-0.3408,0.3995,-0.6077,,0.0932,0.4405,0.3491
905.0,0.9337,-0.0925,,-0.2033,0.5227,-0.1012,,0.3067,0.5532,0.464
915.0,0.943,0.1495,,-1.4627,0.7917,-0.3129,,0.4106,0.5651,0.5267
925.0,0.1226,1.3226,,-0.0939,0.6807,0.5813,,0.2331,0.2694,0.403
935.0,0.6611,1.0675,,1.6264,0.3484,-0.8851,,0.2722,0.3367,0.3887
945.0,0.547,0.0532,,-1.1845,0.6551,-0.3014,,0.0152,0.327,0.3323
955.0,0.4135,-0.0363,,-1.6095,0.3238,-0.2666,,0.0202,0.2565,0.1274
965.0,0.1153,-0.1063,,-1.1252,0.8171,0.7154,,0.3568,0.1977,0.2654
975.0,0.5888,0.2959,,-0.4049,0.3311,0.6989,,0.0852,0.4344,0.4706
985.0,-0.3189,0.9975,,1.3686,0.4089,0.8075,,0.1044,-0.0612,0.2455
995.0,-0.1151,1.2118,,-0.8158,0.4163,-0.42,,0.013,-0.1011,0.0183
1005.0,-0.9106,-0.0309,0.6478,0.5076,0.4856,1.2106,,0.3729,-0.2095,0.0567
1015.0,0.1779,0.9777,-0.9612,1.6326,0.6944,-0.014,,0.4711,0.1417,0.3028
1025.0,-0.2532,0.754,0.4327,-0.8986,0.1164,-0.1217,,-0.1336,0.0435,0.0668
1035.0,0.0368,0.7724,-0.1331,-1.2799,1.2868,-0.2975,,0.7338,0.1106,0.2956
1045.0,-0.7882,0.916,0.088,-0.0314,0.3729,-1.0353,,0.1613,-0.4754,-0.2991
1055.0,-0.4528,1.0936,1.3422,-0.9283,0.297,0.8429,,-0.0312,0.1835,0.2897
1065.0,-0.3634,0.1136,-0.303,-1.9017,0.9571,-0.065,,0.2656,-0.2343,0.0091
1075.0,-0.0269,0.8611,0.6297,-0.3439,0.463,-0.6094,,0.1541,0.1057,0.1719
1085.0,-0.7972,0.7156,-0.4155,0.0561,0.5601,-0.0132,,0.1761,-0.502,-0.2202
1095.0,-0.0778,0.9332,-0.307,-0.2986,-0.1871,0.5887,,-0.1341,-0.0129,-0.0234
1105.0,0.4096,-0.5499,0.4719,-0.222,0.5784,-0.4458,,0.1633,0.1236,0.2038
1115.0,-0.163,0.2959,0.0287,-0.4502,0.5308,0.8214,,0.2503,-0.1249,0.0655
1125.0,0.6705,-0.245,0.3855,0.5092,0.2891,-0.0977,,0.1768,0.2084,0.2128
1135.0,1.1548,0.442,0.299,-0.322,-0.0701,-0.1457,,-0.1947,0.4368,0.3042
1145.0,1.1105,0.7516,1.2272,0.3467,-0.5033,0.4217,,-0.6569,0.7972,0.5428
1155.0,0.3043,0.2417,-1.4999,-1.9002,0.2418,1.0318,,-0.1071,0.3047,0.3093
1165.0,0.0647,-0.0703,0.5121,-0.5439,-0.2314,0.2724,,-0.3454,-0.1289,-0.1315
1175.0,0.59,0.3762,-0.3803,-0.297,0.1732,-0.132,,-0.0093,0.203,0.1722
1185.0,0.1205,0.5277,-0.0939,-1.0064,0.3067,-0.2918,,0.0686,0.4561,0.3878
1195.0,-0.5224,-0.2924,0.0257,-1.8908,0.2503,-0.7049,,-0.2413,-0.3789,-0.2527
1205.0,-0.459,0.5721,1.2267,-1.172,0.8349,-1.0704,,0.3149,-0.3484,-0.1145
1215.0,-0.4404,0.8148,-1.2899,-0.7783,0.6327,-0.1188,,0.3487,-0.3891,-0.2378
1225.0,-0.8459,0.1212,-0.4225,-0.5595,0.2907,-0.1393,,0.066,-0.5588,-0.3232
1235.0,-0.4007,0.5302,0.3684,-0.9814,0.1997,0.0521,,-0.0217,-0.1068,-0.0049
1245.0,-0.5155,0.6549,1.5965,-0.4252,0.6582,0.4908,,0.3001,-0.1751,0.0428
1255.0,-0.3683,0.1344,0.5503,1.0461,0.4222,-0.269,,0.338,-0.3574,-0.1593
1265.0,-0.3454,-0.1761,0.2438,-0.4817,0.1335,0.7216,,-0.0431,-0.1206,0.0313
1275.0,-0.3631,-0.432,1.0568,1.182,-0.1539,1.3866,,0.015,-0.2775,-0.1927
1285.0,-0.6885,-0.1733,0.4237,-1.8817,0.2354,-0.1501,,-0.2617,-0.3885,-0.1958
1295.0,-0.1474,-0.1327,0.4518,0.632,-0.464,-2.5485,,-0.3305,-0.0583,-0.1282
1305.0,-0.2057,0.6777,0.2307,-1.2222,0.614,-1.8467,,0.2039,-0.1069,0.0296
1315.0,0.4001,0.7963,0.087,0.4437,0.4471,-1.3863,,0.2391,0.2896,0.3761
1325.0,-0.1331,0.8912,0.085,0.2083,-0.1958,-2.0306,,-0.1433,0.0767,-0.0768
1335.0,-0.8941,0.6987,-1.1773,-0.1756,0.3033,-2.2625,,0.0931,-0.6507,-0.4168
1345.0,0.1449,1.2776,1.0005,0.7728,-0.0283,-1.0935,,-0.1096,0.1155,0.038
1355.0,0.0332,0.8089,0.4096,-0.5142,0.3017,-0.6538,,0.2051,-0.0456,-0.0281
1365.0,0.2173,0.2986,0.4307,-1.1675,0.3316,-1.5883,,0.0215,0.0915,0.1204
1375.0,0.0189,0.3556,0.2337,-1.8974,0.0526,0.104,,-0.214,0.0372,-0.111
1385.0,0.5948,0.9208,1.4055,-2.2641,-0.2872,-1.0841,,-0.4693,0.4725,0.2324
1395.0,-0.097,0.8366,1.2729,-0.4181,-0.1505,-0.9261,,-0.3175,0.0046,-0.1878
1405.0,-0.1618,1.0138,0.6789,0.8236,0.9602,-0.5873,,0.6078,-0.1934,0.0524
1415.0,-0.813,1.0079,0.1614,-1.0995,0.0479,0.0909,,-0.1119,-0.7271,-0.5222
1425.0,-0.5724,-0.001,1.3623,-3.268,0.2506,-1.2378,,-0.1743,-0.4194,-0.2732
1435.0,-0.7456,0.8072,0.501,-1.562,0.1866,-0.5022,,-0.0782,-0.3978,-0.2484
1445.0,-0.2664,-0.0211,-0.0065,0.3031,0.1819,1.0951,,0.1153,-0.2647,-0.1839
1455.0,-0.5992,0.4154,0.0006,-2.1917,-0.7363,-1.0622,,-0.7674,-0.4646,-0.6407
1465.0,0.1855,0.5389,0.3322,1.7023,-0.1108,-1.5042,,-0.0941,-0.0232,-0.0131
1475.0,-0.8191,1.0192,0.4146,0.2206,-0.0552,0.4187,,-0.0464,-0.7438,-0.579
1485.0,-0.2988,0.0362,-0.9994,-0.8563,0.5867,0.0131,,0.4595,-0.5751,-0.2926
1495.0,-0.3453,0.1545,1.1111,-1.068,0.3784,-0.3143,,0.1383,-0.0878,0.0911
1505.0,-0.1141,0.3373,-0.4326,0.5121,0.0666,-1.0174,,0.0477,-0.3676,-0.3038
1515.0,-0.3481,0.8248,-0.1542,-1.0555,0.1055,-1.3862,,0.0274,-0.3963,-0.2863
1525.0,-0.3094,1.7553,0.1794,-0.3491,0.3895,-0.1102,,0.3293,-0.2426,-0.1665
1535.0,0.2892,0.3673,0.8277,0.3087,0.3334,0.0986,-1.1242,0.3123,0.2712,0.2014
1545.0,-0.4264,0.0392,0.9975,0.0803,0.0084,-1.1144,-1.1189,0.0426,-0.3977,-0.3436
1555.0,-0.2461,0.6127,0.1212,-1.703,0.525,-0.3783,-1.5526,0.2501,0.0396,0.2035
1565.0,-0.3762,0.6829,0.2558,-0.435,0.2018,-0.4534,-1.4566,0.0991,-0.1424,-0.1196
1575.0,-0.798,-0.2159,0.0679,-1.1948,-0.0719,-1.109,-1.9683,-0.2119,-0.5786,-0.5548
1585.0,0.1247,0.2435,-0.6869,-1.3522,0.0183,-1.0359,-1.048,-0.2117,-0.2442,-0.2399
1595.0,-0.4,0.0013,-0.3693,1.0761,-0.0275,-0.5903,-3.4491,0.0681,-0.4007,-0.3055
