year_ce,mgca_mmol_mol
1338,90.08
1339,92.972
1340,93.1
1341,93.195
1342,94.255
1343,92.96
1344,92.5
1345,92.472
1346,96.078
1347,91.421
1348,90.826
1349,88.163
1350,94.523
1351,94.0
1352,93.5
1353,93.089
1354,91.747
1355,91.306
1356,89.522
1357,92.429
1358,95.066
1359,92.851
1360,91.498
1361,90.309
1362,92.435
1363,90.264
1364,87.62
1365,90.099
1366,91.886
1367,94.833
1368,89.419
1369,89.98
1370,90.8
1371,93.127
1372,89.171
1373,91.324
1374,92.0
1375,93.0
1376,93.825
1377,89.832
1378,88.99
1379,88.6
1380,88.163
1381,89.168
1382,86.767
1383,90.803
1384,103.795
1385,89.548
1386,95.566
1387,90.458
1388,96.625
1389,94.921
1390,96.058
1391,95.277
1392,95.251
1393,93.9
1394,92.52
1395,87.723
1396,94.662
1397,92.894
1398,93.559
1399,92.369
1400,88.956
1401,90.924
1402,96.02
1403,97.005
1404,89.716
1405,92.313
1406,90.102
1407,89.874
1408,90.18
1409,92.625
1410,91.895
1411,95.579
1412,94.0
1413,92.545
1414,91.406
1415,107.088
1416,101.503
1417,90.2
1418,89.016
1419,90.242
1420,88.861
1421,94.113
1422,94.756
1423,94.795
1424,94.3
1425,94.151
1426,91.731
1427,93.498
1428,85.216
1429,88.396
1430,91.536
1431,101.349
1432,91.456
1433,91.716
1434,89.365
1435,92.794
1436,92.584
1437,91.188
1438,89.921
1439,92.549
1440,87.077
1441,92.161
1442,93.519
1443,90.916
1444,93.033
1445,96.773
1446,94.097
1447,94.259
1448,91.559
1449,93.733
1450,92.584
1451,91.11
1452,93.929
1453,95.294
1454,91.101
1455,93.568
1456,96.782
1457,91.418
1458,92.041
1459,88.92
1460,95.764
1461,95.305
1462,89.248
1463,89.198
1464,86.069
1465,98.867
1466,90.543
1467,90.218
1468,88.442
1469,86.829
1470,89.637
1471,85.293
1472,87.834
1473,88.082
1474,85.681
1475,89.389
1476,94.102
1477,92.584
1478,87.23
1479,94.911
1480,89.818
1481,91.766
1482,94.989
1483,86.128
1484,90.558
1485,87.197
1486,88.551
1487,90.025
1488,89.663
1489,95.919
1490,87.387
1491,91.808
1492,97.005
1493,94.911
1494,88.939
1495,90.867
1496,97.315
1497,89.542
1498,92.436
1499,80.988
1500,87.542
1501,85.167
1502,87.204
1503,83.888
1504,89.637
1505,85.122
1506,86.307
1507,83.559
1508,85.144
1509,82.734
1510,86.115
1511,84.276
1512,88.241
1513,86.534
1514,84.134
1515,98.712
1516,88.341
1517,87.273
1518,85.973
1519,88.939
1520,90.412
1521,82.491
1522,81.26
1523,90.853
1524,84.34
1525,84.069
1526,96.462
1527,90.5
1528,84.597
1529,82.976
1530,89.908
1531,83.857
1532,92.041
1533,90.6
1534,87.5
1535,85.891
1536,82.906
1537,84.969
1538,83.571
1539,80.596
1540,87.51
1541,84.925
1542,89.326
1543,79.866
1544,78.933
1545,80.484
1546,81.073
1547,82.578
1548,82.1
1549,81.756
1550,84.36
1551,80.171
1552,78.933
1553,82.977
1554,87.337
1555,91.324
1556,87.109
1557,83.742
1558,86.11
1559,83.162
1560,80.14
1561,88.319
1562,83.044
1563,84.337
1564,82.035
1565,80.225
1566,81.994
1567,82.774
1568,83.251
1569,85.746
1570,82.578
1571,83.547
1572,80.627
1573,88.464
1574,85.836
1575,81.076
1576,77.459
1577,83.801
1578,84.822
1579,83.043
1580,81.29
1581,83.052
1582,88.085
1583,94.819
1584,87.792
1585,85.686
1586,87.155
1587,88.991
1588,90.261
1589,85.666
1590,86.301
1591,83.279
1592,90.52
1593,84.623
1594,86.507
1595,87.696
1596,86.147
1597,84.983
1598,86.146
1599,88.25
1600,85.888
1601,87.012
1602,78.7
1603,85.71
1604,80.599
1605,85.032
1606,88.793
1607,84.288
1608,84.367
1609,85.914
1610,83.828
1611,81.888
1612,82.191
1613,86.997
1614,83.144
1615,87.043
1616,84.122
1617,83.198
1618,81.973
1619,87.562
1620,86.974
1621,83.285
1622,85.19
1623,88.396
1624,85.923
1625,82.811
1626,89.468
1627,82.128
1628,90.567
1629,87.144
1630,90.13
1631,79.297
1632,86.148
1633,84.281
