year_ce,tsub_amoc_proxy
400.0,2.8106257049878143
401.0,2.808535529392124
402.0,2.805186827497945
403.0,2.8019041851982482
404.0,2.7982189971348603
405.0,2.794356387612778
406.0,2.78932994973976
407.0,2.7833436704448147
408.0,2.7777016055537436
409.0,2.7719484706447153
410.0,2.7660637638178187
411.0,2.7601162945952864
412.0,2.7541700779395306
413.0,2.7482251607476487
414.0,2.7427860714934784
415.0,2.7374739516529445
416.0,2.7330103078924326
417.0,2.728505111548113
418.0,2.7240178401854878
419.0,2.7196465384955495
420.0,2.715252965096555
421.0,2.7109395013578403
422.0,2.7067541351042923
423.0,2.702708686858763
424.0,2.6987140468778463
425.0,2.694656612160891
426.0,2.69081952466335
427.0,2.687255679763146
428.0,2.684003117642668
429.0,2.681028216231574
430.0,2.6781679420948192
431.0,2.675304927079861
432.0,2.6726130515954836
433.0,2.670025338695515
434.0,2.6676300150118606
435.0,2.6653616989140163
436.0,2.663122167114209
437.0,2.6609955011690047
438.0,2.659339323226236
439.0,2.657817581089494
440.0,2.6565952992033397
441.0,2.6557276977985165
442.0,2.654995287864294
443.0,2.654298367832821
444.0,2.6538686586637015
445.0,2.6536346746364545
446.0,2.653764748047073
447.0,2.6541948386552887
448.0,2.6549361336982376
449.0,2.6560073289875157
450.0,2.657414077548757
451.0,2.6591818008561563
452.0,2.6612971973532114
453.0,2.6636939193139773
454.0,2.6662336069258243
455.0,2.6689724122128933
456.0,2.6720207048606586
457.0,2.6752103288960485
458.0,2.678465655919891
459.0,2.6817753901616532
460.0,2.6851989113229404
461.0,2.688720251919514
462.0,2.6923522880945905
463.0,2.6960727740931163
464.0,2.699937404168953
465.0,2.703766874861321
466.0,2.707741529428902
467.0,2.7119646772615003
468.0,2.7163110965451276
469.0,2.720398831640927
470.0,2.7244600983552996
471.0,2.72838443676151
472.0,2.7320856484100275
473.0,2.7357053312704984
474.0,2.739247098083437
475.0,2.7425325174209316
476.0,2.74571178449969
477.0,2.748592552317188
478.0,2.75116615731789
479.0,2.7535845467020206
480.0,2.7558634266960693
481.0,2.7578687022429738
482.0,2.759716162803708
483.0,2.7613575464683
484.0,2.7628831077088494
485.0,2.7643511458022765
