disp,scenario,n_species,lat_median,lat_q25,lat_q75,ele_median
Anemochor,1,20523,0.746,-0.765,2.316,3.367
Anemochor,2,20523,1.215,-0.807,3.368,3.577
Anemochor,3,20513,1.558,-1.011,4.54,3.82
Anemochor,4,20517,1.898,-1.056,5.551,4.006
Anemochor,5,20523,0.532,-0.7,1.809,3.286
Anemochor,6,20523,0.895,-0.814,2.715,3.433
Anemochor,7,20520,1.342,-0.907,3.775,3.657
Anemochor,8,20514,1.607,-0.999,4.607,3.816
Anemochor,9,20525,0.359,-0.769,1.46,3.238
Anemochor,10,20523,0.669,-0.779,2.223,3.345
Anemochor,11,20522,0.99,-0.967,3.038,3.533
Anemochor,12,20520,1.316,-1.015,3.84,3.692
Anemochor,13,20525,0.276,-0.788,1.255,3.264
Anemochor,14,20522,0.711,-0.654,2.178,3.353
Anemochor,15,20523,1.128,-0.719,3.217,3.53
Anemochor,16,20519,1.352,-0.766,3.833,3.651
Autochor,1,17104,0.532,-0.979,2.172,3.814
Autochor,2,17101,1.159,-0.918,3.49,4.09
Autochor,3,17099,1.656,-1.006,5.084,4.45
Autochor,4,17096,2.072,-1.083,6.345,4.762
Autochor,5,17104,0.255,-0.932,1.489,3.668
Autochor,6,17104,0.729,-0.991,2.694,3.891
Autochor,7,17098,1.332,-0.952,4.015,4.196
Autochor,8,17099,1.677,-1.003,5.125,4.435
Autochor,9,17104,0.084,-0.969,1.058,3.607
Autochor,10,17103,0.462,-0.983,2.049,3.771
Autochor,11,17103,0.887,-1.108,3.062,4.026
Autochor,12,17101,1.301,-1.049,4.086,4.253
Autochor,13,17104,-0.087,-1.015,0.766,3.578
Autochor,14,17103,0.431,-0.885,1.957,3.774
Autochor,15,17104,0.994,-0.836,3.301,3.999
Autochor,16,17100,1.341,-0.825,4.094,4.18
Chamaechor,1,308,0.121,-1.3,1.939,3.319
Chamaechor,2,308,0.381,-1.603,3.295,3.517
Chamaechor,3,308,0.723,-2.384,4.197,3.73
Chamaechor,4,308,0.714,-2.978,4.893,3.995
Chamaechor,5,308,0.177,-1.099,1.51,3.249
Chamaechor,6,308,0.166,-1.458,2.55,3.371
Chamaechor,7,308,0.422,-1.797,3.761,3.611
Chamaechor,8,308,0.721,-2.446,4.368,3.736
Chamaechor,9,308,0.299,-1.141,1.548,3.216
Chamaechor,10,308,0.122,-1.323,1.988,3.285
Chamaechor,11,308,0.064,-1.866,2.898,3.464
Chamaechor,12,308,0.26,-2.208,3.714,3.6
Chamaechor,13,308,0.274,-0.898,1.285,3.209
Chamaechor,14,308,0.361,-0.957,1.892,3.31
Chamaechor,15,308,0.27,-1.412,3.047,3.457
Chamaechor,16,308,0.556,-1.694,3.929,3.575
Hemerochor,1,881,0.679,-0.465,1.779,2.899
Hemerochor,2,881,0.716,-0.709,2.037,2.788
Hemerochor,3,881,0.759,-1.192,2.398,2.515
Hemerochor,4,881,0.835,-1.538,2.716,2.363
Hemerochor,5,881,0.641,-0.255,1.63,2.927
Hemerochor,6,881,0.659,-0.547,1.806,2.87
