Species,disp,scenario,Lat50,Ele50
Cryptandra polyclada,Zoochor,5,-2.266,5.715
Clerodendrum involucratum,Autochor,9,-0.134,3.987
Calocephalus multiflorus,Anemochor,11,3.301,5.736
Senecio oxyodontus,Anemochor,5,-1.487,2.826
Brachyotum campanulare,Ombrochor,13,0.891,4.107
Asemeia ignatii,Autochor,9,-1.288,2.908
Bulbine bulbosa,Anemochor,1,1.902,4.319
Siphocampylus convolvulaceus,Autochor,2,1.391,3.062
Eriosema heterophyllum,Autochor,1,0.261,3.74
Paullinia leiocarpa,Anemochor,12,3.164,6.151
Chimonobambusa marmorea,Anemochor,3,4.674,2.454
Deparia conilii,Anemochor,16,3.059,1.743
Horsfordia newberryi,Autochor,13,-0.614,2.022
Pecluma paradiseae,Anemochor,2,0.528,3.882
Impatiens burtonii,Autochor,13,3.172,3.232
Delphinium alpestre,Anemochor,16,0.808,-0.683
Descurainia obtusa,Anemochor,8,1.12,2.547
Pilosella pseudopilosella,Zoochor,3,1.779,1.893
Wimmeria bartlettii,Anemochor,2,-1.972,4.486
Senna bacillaris,Autochor,8,-7.211,6.81
Plectranthus scutellarioides,Autochor,4,-1.713,4.514
Ficus grevei,Zoochor,5,-0.016,3.387
Palicourea petiolaris,Zoochor,1,2.855,3.269
Schindleria densiflora,Anemochor,6,4.006,3.232
Myrcia coumete,Zoochor,13,-1.383,4.837
Lophatherum gracile,Zoochor,2,-13.064,4.38
Sanicula hacquetioides,Zoochor,2,2.268,1.032
Solenogyne bellioides,Zoochor,5,0.641,3.955
Mikania sessilifolia,Anemochor,4,3.453,3.913
Anemia coriacea,Anemochor,10,5.69,4.427
Caesalpinia vesicaria,Autochor,14,0.251,5.615
Senecio eenii,Anemochor,7,0.771,5.05
Calyptranthes densiflora,Zoochor,9,1.156,5.509
Acacia martiusiana,Zoochor,6,4.531,3.714
Bauera sessiliflora,Zoochor,15,-3.156,3.425
Gomphrena perennis,Anemochor,13,0.68,5.388
Lilium maculatum,Anemochor,13,3.933,2.686
Thalictrum alpinum,Anemochor,2,-4.351,-4.85
Salvia wagneriana,Autochor,1,-5.723,3.295
Symplocos panamensis,Zoochor,3,3.178,4.189
Cuscuta umbellata,Autochor,10,2.343,3.828
Lycopus americanus,Autochor,2,0.199,2.997
Bromus himalaicus,Zoochor,3,-4.325,0.608
Peperomia oerstedii,Zoochor,15,-9.2,3.463
Stachytarpheta cayennensis,Autochor,7,3.078,5.453
Cheilanthes pruinata,Anemochor,4,-0.421,1.559
Juniperus scopulorum,Zoochor,2,1.153,1.5
Gentiana angustifolia,Anemochor,2,0.496,1.653
Eucalyptus occidentalis,Anemochor,12,-2.184,5.791
Frasera albicaulis,Autochor,14,-0.367,2.242
Cryptocarya chinensis,Zoochor,1,4.659,2.91
Cardamine africana,Autochor,11,-2.836,3.305
Boronia pilosa,Autochor,2,-1.84,3.948
Aristolochia labiata,Autochor,11,-0.096,3.651
Franklandia fucifolia,Autochor,4,-2.115,5.851
Lycianthes acidochondra,Zoochor,10,-1.098,3.861
Peperomia versicolor,Zoochor,10,1.439,3.484
Salvia subincisa,Autochor,4,-1.287,2.655
Jefea pringlei,Zoochor,4,-7.209,3.591
Vernonanthura westiniana,Anemochor,14,0.336,3.171
Chromolaena oxylepis,Anemochor,9,1.644,4.235
Solidago macrophylla,Anemochor,2,-0.963,-0.569
Serjania elegans,Anemochor,3,6.527,4.369
Atriplex australasica,Anemochor,3,-0.419,4.433
Smyrnium perfoliatum,Hemerochor,10,1.207,2.376
Tristemma littorale,Autochor,12,-0.758,5.34
Bidens holstii,Zoochor,4,-10.207,4.265
Fimbristylis cymosa,Anemochor,16,0.722,5.503
Quercus corrugata,Zoochor,6,5.286,3.237
Mimosa irrigua,Autochor,10,-2.346,3.209
Thysanotus tenellus,Zoochor,8,0.475,5.232
Pavetta stenosepala,Zoochor,5,-0.131,4.196
Piptocarpha axillaris,Anemochor,8,2.994,3.723
Psychotria nautensis,Zoochor,12,-11.329,7.167
Clidemia setosa,Anemochor,2,-2.906,3.74
Corydalis gortschakovii,Zoochor,15,1.141,1.145
Thaumastochloa monilifera,Autochor,16,-5.287,5.912
Calostemma purpureum,Nautochor,16,3.541,5.314
Prospero obtusifolium,Anemochor,8,2.303,3.781
Salix cascadensis,Anemochor,10,1.399,0.641
Inga microcoma,Zoochor,7,2.174,7.09
Notholaena californica,Anemochor,4,7.456,4.208
Uncaria tomentosa,Nautochor,12,-0.413,6.528
Anthurium talmonii,Zoochor,8,-5.55,3.704
Solidago speciosa,Anemochor,9,0.521,4.742
Tournefortia johnstonii,Zoochor,11,0.758,3.48
Brodiaea californica,Anemochor,2,-0.718,2.429
Manihot esculenta,Autochor,14,-0.567,5.279
