Species,disp,scenario,Lat50,Ele50
Beaufortia elegans,Anemochor,16,0.123,5.682
Borya sphaerocephala,Autochor,6,-0.466,5.662
Dennstaedtia hirsuta,Anemochor,11,3.759,2.043
Cordylostigma virgatum,Anemochor,2,2.217,4.825
Bulbostylis xerophila,Autochor,7,0.993,4.124
Croton petraeus,Autochor,8,0.021,4.551
Lycopus americanus,Autochor,12,0.231,2.323
Utricularia foveolata,Autochor,5,-0.985,4.908
Galactia stereophylla,Autochor,7,-1.646,4.273
Dracophyllum acerosum,Anemochor,12,-2.793,4.219
Stewartia monadelpha,Anemochor,16,5.114,2.15
Monocymbium ceresiiforme,Autochor,9,-2.133,4.505
Australina pusilla,Anemochor,16,-1.634,2.866
Canarium maluense,Zoochor,7,-6.749,4.588
Vaccinium wrightii,Zoochor,2,-1.157,3.366
Ceropegia albisepta,Anemochor,7,-1.462,4.658
Capsicum schottianum,Zoochor,3,35.816,3.577
Aneilema brasiliense,Autochor,12,6.734,5.028
Sannantha collina,Zoochor,4,2.703,3.912
Tillandsia aeranthos,Anemochor,14,0.884,4.299
Rumex hastatus,Anemochor,8,7.376,1.803
Medinilla balls-headleyi,Anemochor,6,2.637,3.235
Paepalanthus lamarckii,Autochor,15,0.91,5.988
Achnatherum pinetorum,Zoochor,11,0.907,0.305
Caryota monostachya,Zoochor,2,6.402,3.472
Urochloa reptans,Autochor,15,3.482,4.763
Hugonia planchonii,Zoochor,3,8.509,6.793
Laportea cuspidata,Zoochor,16,2.35,1.574
Tridens eragrostoides,Zoochor,5,1.314,3.542
Chaetocalyx longiflora,Zoochor,1,2.42,4.632
Smallanthus connatus,Zoochor,10,0.401,3.978
Cynoglossum australe,Zoochor,12,2.534,4.274
Heliconia lophocarpa,Zoochor,10,-5.022,3.576
Gonolobus taylorianus,Anemochor,14,-2.239,2.947
Myrcia goyazensis,Zoochor,13,-0.26,3.961
Drosera callistos,Autochor,8,-2.083,5.217
Galium trilobum,Zoochor,5,-2.545,5.139
Inga grandiflora,Zoochor,10,2.819,6.018
Globularia nudicaulis,Anemochor,16,-3.624,1.617
Alternanthera tenella,Autochor,7,3.083,5.196
Lithocarpus fenestratus,Zoochor,11,8.229,2.893
Coffea mangoroensis,Zoochor,2,-5.664,3.399
Epilobium gemmascens,Anemochor,9,3.07,2.339
Tassadia trailiana,Anemochor,2,2.668,7.106
Wahlenbergia fluminalis,Anemochor,15,3.893,5.383
Coprosma crassifolia,Zoochor,9,-1.836,4.942
Achnatherum richardsonii,Zoochor,1,1.197,1.406
Rinorea subintegrifolia,Autochor,9,-0.717,4.632
Dendropanax cuneatus,Zoochor,3,5.118,5.907
Paspalum fluitans,Autochor,7,4.992,5.386
Commersonia prostrata,Zoochor,13,-1.123,3.466
Diplacrum caricinum,Autochor,14,0.207,4.382
Palicourea guianensis,Zoochor,11,-2.503,5.564
Cryptantha simulans,Zoochor,3,-1.313,1.49
Podolepis hieracioides,Anemochor,10,0.213,2.874
Campomanesia xanthocarpa,Zoochor,2,1.7,4.262
Melaleuca zonalis,Anemochor,14,0.302,5.266
Tripogon yunnanensis,Anemochor,11,7.491,1.545
Dianthus pungens,Anemochor,15,1.197,2.583
Sphaeromeria diversifolia,Anemochor,15,1.326,0.637
Atractocarpus bracteatus,Zoochor,6,4.485,3.925
Hippotis brevipes,Autochor,5,-8.233,3.725
Mertensia macdougalii,Anemochor,12,3.311,1.754
Flindersia dissosperma,Autochor,14,0.098,5.036
Agrostis dimorpholemma,Anemochor,2,3.767,1.835
Ampelocera hottlei,Zoochor,15,-2.554,4.79
Prostanthera nivea,Autochor,16,2.27,3.609
Needhamiella pumilio,Autochor,13,-2.285,5.207
Crinodendron tucumanum,Nautochor,14,2.15,4.21
Eucalyptus hallii,Anemochor,4,4.968,5.27
Geranium lucidum,Autochor,3,0.34,1.981
Rubus indusiatus,Zoochor,16,1.989,2.116
Iostephane trilobata,Anemochor,4,4.434,3.887
Petasites albus,Anemochor,7,-0.261,2.504
Lomatium lucidum,Autochor,7,6.351,2.907
Sedum jurgensenii,Anemochor,2,-1.686,3.674
Juniperus martinezii,Zoochor,14,1.381,3.138
Acacia undulifolia,Zoochor,15,0.04,2.952
Lupinus perennis,Autochor,9,0.045,4.743
Micronychia tsiramiramy,Anemochor,9,-3.532,2.745
Cayaponia oppositifolia,Zoochor,7,-3.215,6.678
Heteropterys bicolor,Anemochor,14,0.319,3.785
Grevillea biternata,Autochor,14,0.24,5.754
Rosa glauca,Zoochor,14,-0.325,3.519
Allium parvum,Anemochor,1,-0.137,1.725
Psychotria herzogii,Zoochor,3,0.41,7.675
Vismia lauriformis,Zoochor,13,-0.258,2.993
Cucumis heptadactylus,Autochor,16,3.064,4.715
Eriogonum novonudum,Anemochor,12,9.257,0.606
Blepharodon manicatum,Anemochor,9,-0.5,3.725
Brillantaisia vogeliana,Autochor,15,-0.687,5.015
Selaginella oaxacana,Chamaechor,6,-1.666,3.948
Kallstroemia californica,Zoochor,13,0.732,2.377
Hakea brachyptera,Anemochor,11,-2.295,5.914
Randia calycosa,Zoochor,5,-0.245,3.674
Neea ovalifolia,Zoochor,6,2.09,5.935
Prostanthera baxteri,Autochor,7,6.393,5.767
Stephanomeria parryi,Anemochor,13,0.746,2.246
Cuphea lutescens,Autochor,9,-1.734,3.356
Epilobium oregonense,Anemochor,11,-5.585,1.611
Eucalyptus camphora,Anemochor,8,-0.089,2.408
Thymophylla pentachaeta,Anemochor,2,3.541,3.576
Solanum incanum,Autochor,1,1.103,4.943
Dyschoriste schiedeana,Autochor,3,0.03,3.19
Byrsonima amoena,Zoochor,15,-14.206,6.26
Pedicularis racemosa,Autochor,7,0.709,-0.04
Nigella gallica,Zoochor,7,0.571,3.005
Cotula sororia,Zoochor,2,1.581,3.323
Eucalyptus dundasii,Anemochor,5,-1.522,5.425
Eucalyptus raveretiana,Anemochor,9,0.75,2.673
Cupania belizensis,Zoochor,4,4.404,7.484
Orobanche lutea,Anemochor,1,1.324,2.66
Coprosma nitida,Zoochor,11,-2.368,3.06
Parodiolyra lateralis,Autochor,5,-0.89,3.132
Nertera villosa,Zoochor,12,-2.932,4.593
Alvaradoa amorphoides,Anemochor,4,3.651,6.009
Iva microcephala,Anemochor,15,3.651,2.969
Hypoxis hemerocallidea,Autochor,2,0.115,3.77
Schinopsis marginata,Anemochor,1,6.696,4.471
Minuartia glabra,Anemochor,1,0.815,3.014
Planchonella cinerea,Zoochor,1,-2.68,4.711
Symphyotrichum ciliolatum,Anemochor,6,-0.292,0.809
Protium multiramiflorum,Zoochor,12,0.652,5.928
Anemonoides debilis,Anemochor,12,4.579,0.479
Coussarea violacea,Anemochor,3,-20.353,7.517
Boechera spatifolia,Hemerochor,16,0.962,0.393
Schefflera trollii,Zoochor,2,7.842,2.908
Araucaria bernieri,Zoochor,10,3.7,3.148
Hypecoum leptocarpum,Anemochor,14,2.098,2.236
Stackhousia subterranea,Zoochor,10,-1.187,5.268
Mimusops kummel,Zoochor,5,-2.78,4.67
Thalictrum thalictroides,Anemochor,13,0.898,4.605
Litchi chinensis,Autochor,7,4.036,4.732
Adiantum lucidum,Anemochor,4,11.649,8.219
Heliconia richardiana,Zoochor,3,-8.785,6.649
Tetrapterys jussieuana,Anemochor,8,8.797,6.245
Guapira costaricana,Zoochor,16,3.448,4.886
Bonamia peruviana,Autochor,8,10.223,7.669
Chaetocalyx brasiliensis,Zoochor,7,4.245,6.321
Spathiphyllum fulvovirens,Zoochor,5,-0.004,3.591
Petalacte coronata,Anemochor,15,-0.864,3.986
Aristea dichotoma,Autochor,11,0.297,3.336
Draba murrayi,Anemochor,15,7.373,-7.226
Cuphonotus humistratus,Anemochor,5,1.192,5.438
Ficus obtusiuscula,Zoochor,6,2.709,5.219
Valeriana tangutica,Anemochor,7,0.777,-1.854
Oxandra polyantha,Zoochor,11,1.083,7.175
Asparagus declinatus,Zoochor,4,-5.824,4.326
Tillandsia disticha,Anemochor,13,1.197,3.497
Erysimum corinthium,Autochor,7,1.509,2.481
Croton chlaenacicomes,Autochor,10,-0.775,4.397
Prostanthera sericea,Autochor,6,4.093,5.561
Sticherus remotus,Anemochor,16,-4.083,5.951
Acisanthera limnobios,Autochor,4,11.523,8.432
Solanum crinitipes,Autochor,16,1.908,3.033
Viola ocellata,Zoochor,16,-1.671,2.168
Notopleura parvifolia,Zoochor,16,-2.089,3.495
Lasiacis rugelii,Anemochor,7,1.539,6.986
Goodenia gypsicola,Zoochor,13,1.311,5.158
Hakea carinata,Anemochor,14,1.182,4.205
Thomasia angustifolia,Zoochor,9,-3.659,5.547
Moraea ramosissima,Autochor,7,0.543,3.081
Galium uncinulatum,Zoochor,1,1.968,2.962
Metastelma lanceolatum,Anemochor,10,0.051,3.216
Tinnea rhodesiana,Autochor,14,0.395,3.68
Verbesina apleura,Autochor,12,45.993,3.498
Ardisia fimbrillifera,Zoochor,8,2.377,4.616
Legousia hybrida,Anemochor,3,1.172,2.152
Micraira compacta,Anemochor,11,-5.814,5.894
Aldina discolor,Anemochor,12,-21.245,6.897
Campovassouria cruciata,Anemochor,15,1.76,3.937
Arachis cardenasii,Autochor,13,1.154,5.077
Werauhia umbrosa,Anemochor,10,-4.626,2.998
Gentiana purpurea,Anemochor,1,1.818,1.867
Camellia euryoides,Anemochor,2,3.791,2.359
Smelowskia pyriformis,Hemerochor,12,0.31,-10.421
Sloanea dasycarpa,Zoochor,4,-1.71,3.755
Sporadanthus tasmanicus,Autochor,14,-2.241,3.613
Tritoniopsis ramosa,Autochor,8,9.929,2.993
Rudgea ciliata,Zoochor,4,3.064,3.984
Anthurium plowmanii,Zoochor,4,12.275,7.994
Cassytha pubescens,Zoochor,8,0.218,3.773
Randia micracantha,Zoochor,9,1.851,3.99
Juncus bryoides,Anemochor,12,-1.93,1.743
Salix sphenophylla,Anemochor,2,-4.984,-7.603
Quercus infectoria,Zoochor,8,0.7,1.692
Sida repens,Autochor,3,1.399,4.969
Castilleja pumila,Anemochor,7,-1.526,2.45
Stryphnodendron polyphyllum,Autochor,8,7.327,5.77
Andropogon mannii,Autochor,13,-0.872,2.8
Cyclanthera pedata,Autochor,8,1.773,4.026
Ricinocarpos cyanescens,Zoochor,11,-2.204,5.915
Draba oreades,Anemochor,13,-1.228,2.604
Guatteria microcarpa,Zoochor,2,-9.922,4.898
Diplazium expansum,Anemochor,8,-3.01,5.672
Pinus coulteri,Anemochor,6,4.317,2.626
Ricinocarpos rosmarinifolius,Zoochor,15,-0.366,4.849
Peperomia quaesita,Zoochor,8,1.279,5.988
Gentianella graminea,Anemochor,11,1.15,3.301
Ocotea langsdorffii,Zoochor,13,-0.299,2.696
Condea tephrodes,Autochor,4,7.313,5.136
Viburnum elatum,Zoochor,16,6.542,3.327
Pomaderris brevifolia,Zoochor,7,-7.875,5.551
Lonicera interrupta,Zoochor,5,1.279,2.42
Hyptis verticillata,Autochor,16,8.874,6.732
Henriettea horridula,Zoochor,11,-2.283,6.289
Campomanesia guaviroba,Zoochor,10,1.661,3.892
Piper xylosteoides,Zoochor,11,0.64,3.621
Albizia guachapele,Autochor,8,4.863,5.559
Asparagus greveanus,Zoochor,14,0.195,3.803
Psidium longipetiolatum,Zoochor,10,0.29,3.35
Sloanea rufa,Zoochor,3,-3.433,7.439
Peperomia pilicaulis,Zoochor,11,-7.329,3.858
Adenanthos cygnorum,Anemochor,10,-0.276,5.539
Stachytarpheta angustifolia,Autochor,1,1.977,5.056
Stemonurus monticola,Zoochor,16,-7.854,4.673
Mandevilla velame,Anemochor,15,-0.267,4.025
Microgramma lycopodioides,Anemochor,7,-0.848,5.555
Labramia louvelii,Zoochor,4,-9.422,4.478
Dodonaea procumbens,Zoochor,2,-1.093,4.563
Miconia hygrophila,Zoochor,13,-1.596,3.361
Teucrium myriocladum,Autochor,5,-3.278,5.823
Lepidagathis floribunda,Autochor,12,5.124,5.586
Ionactis stenomeres,Anemochor,11,0.773,-1.529
Haplopteris fudzinoi,Anemochor,8,3.201,2.265
Agrostis tenerrima,Anemochor,1,1.633,3.532
Fadogia erythrophloea,Zoochor,5,-2.422,4.688
Piper filistilum,Zoochor,13,-2.959,3.311
Persoonia muelleri,Zoochor,16,-6.019,2.756
Leptopteris superba,Anemochor,15,-2.911,4.428
Rhododendron maculiferum,Anemochor,11,2.733,2.139
Nymphaea leibergii,Autochor,5,0.191,2.965
Piper leticianum,Zoochor,9,-4.787,4.834
Notelaea lloydii,Zoochor,16,2.051,3.943
Palicourea eurycarpa,Zoochor,5,-1.991,3.078
Banisteriopsis membranifolia,Anemochor,8,4.953,3.667
Arceuthobium microcarpum,Autochor,12,-1.404,0.885
Astragalus humistratus,Nautochor,7,1.575,1.335
Forsteronia thyrsoidea,Anemochor,4,6.255,5.685
Navarretia squarrosa,Autochor,9,1.303,2.832
Sida neomexicana,Autochor,6,-0.905,2.566
Botrychium decompositum,Chamaechor,9,2.073,3.401
Becquerelia muricata,Autochor,1,0.634,3.458
Microlaena stipoides,Autochor,2,-0.453,3.793
Carex drymophila,Autochor,6,1.762,-4.892
Pachira sessilis,Anemochor,3,2.244,4.438
Neocarya macrophylla,Zoochor,16,-4.199,5.958
Puccinellia bruggemannii,Hemerochor,15,-3.486,-7.355
Aralia hispida,Zoochor,3,-1.46,-0.483
Ligularia przewalskii,Anemochor,7,0.259,0.798
Allium macrostemon,Anemochor,14,4.995,2.281
Croton roxanae,Autochor,6,-0.763,3.336
Ratibida tagetes,Anemochor,4,4.088,3.576
Chusquea foliosa,Anemochor,13,0.251,3.082
Ctenium newtonii,Anemochor,4,-9.59,8.005
Conospermum filifolium,Autochor,16,0.25,5.778
Habranthus sylvaticus,Autochor,14,-0.105,3.94
Eucomis montana,Hemerochor,14,-0.233,3.38
Callitriche heteropoda,Zoochor,14,-1.86,3.223
Veronica teucrium,Zoochor,16,-1.556,3.465
Gardenia erubescens,Zoochor,14,-3.167,5.365
Cassytha pomiformis,Zoochor,12,-0.638,5.75
Persoonia stradbrokensis,Zoochor,10,-0.911,3.496
Miconia plena,Zoochor,13,0.553,3.165
Chrysosplenium americanum,Autochor,5,0.05,2.956
Salix myricoides,Anemochor,7,-1.712,-1.014
Eragrostis curtipedicellata,Autochor,2,3.563,5.305
Globba pendula,Zoochor,7,1.368,4.423
Witheringia solanacea,Zoochor,3,8.134,6.249
Gnidia styphelioides,Zoochor,16,0.122,3.662
Perebea rubra,Zoochor,7,0.166,7.011
Melaleuca laxiflora,Anemochor,11,0.795,5.755
Petrophile filifolia,Autochor,10,-1.54,5.615
Diplazium ternatum,Anemochor,10,1.661,3.92
Eriope hypoleuca,Autochor,10,-1.211,2.984
Anthurium hutchisonii,Zoochor,8,25.249,3.989
Anthurium intermedium,Zoochor,5,3.031,2.89
Chamaedorea neurochlamys,Zoochor,10,-1.743,4.19
Rumex chalepensis,Zoochor,15,3.468,3.474
Cheilanthes wrightii,Anemochor,11,13.066,2.662
Melaleuca trichostachya,Anemochor,2,7.368,5.45
Crocosmia aurea,Autochor,4,6.085,3.769
Lomandra drummondii,Zoochor,16,-1.89,4.123
Hydrangea sikokiana,Zoochor,3,5.363,1.78
Saxifraga osloensis,Anemochor,6,-1.319,3.403
Dalea ayavacensis,Anemochor,15,6.562,4.034
Dracophyllum prostratum,Anemochor,9,-2.339,4.928
Reseda media,Hemerochor,12,1.566,2.903
Viola epipsila,Zoochor,15,-2.716,-3.157
Nassella melanosperma,Zoochor,2,0.986,4.867
Garcinia verrucosa,Zoochor,3,-7.581,3.959
Carex libera,Autochor,16,-3.142,4.537
Ranunculus macauleyi,Zoochor,6,0.312,0.216
Linum floridanum,Anemochor,13,0.711,5.374
Ditassa mucronata,Anemochor,9,-2.16,2.627
Glycosmis macrophylla,Zoochor,2,2.321,5.33
Sporobolus vaginiflorus,Autochor,10,0.98,3.968
Diphysa racemosa,Chamaechor,1,0.694,2.973
Pilosella glomerata,Zoochor,8,1.092,0.763
Chrysolaena propinqua,Anemochor,9,0.101,4.713
Navia acaulis,Anemochor,5,-4.756,5.524
Drymaria cordata,Zoochor,15,1.097,4.463
Selaginella hartwegiana,Chamaechor,10,-0.5,3.246
Geranium incanum,Autochor,7,-0.522,2.94
Doryopteris pentagona,Anemochor,2,1.977,4.447
Brachychiton viridiflorus,Nautochor,5,3.091,4.218
Cissus rotundifolia,Autochor,7,-3.055,4.943
Donnellsmithia juncea,Autochor,4,-6.233,3.549
Zornia flemmingioides,Autochor,1,0.375,3.17
Leucaena collinsii,Anemochor,2,-1.173,4.737
Anchusa thessala,Autochor,4,6.495,1.985
Gahnia radula,Zoochor,9,-1.335,3.9
Salix brachycarpa,Anemochor,15,-0.959,-0.503
Hyoscyamus pusillus,Hemerochor,16,3.49,2.683
Marlierea caudata,Zoochor,6,-3.944,5.507
Guadua glomerata,Autochor,16,2.207,7.161
Hoffmannia steyermarkii,Zoochor,6,6.534,3.479
Trixis michuacana,Anemochor,7,3.227,3.606
Pteronia scariosa,Anemochor,10,1.717,3.715
Lomatogonium rotatum,Anemochor,13,1.762,2.514
Erythroxylum cuspidifolium,Zoochor,5,0.997,3.137
Eucalyptus resinifera,Anemochor,13,-0.368,3.043
Salvia lavanduloides,Autochor,6,15.015,3.155
Erica cubica,Autochor,15,-1.747,3.296
Schizomeria whitei,Zoochor,4,-17.805,3.889
Anthurium striatipes,Zoochor,7,9.275,3.739
Quercus griffithii,Zoochor,14,2.372,2.662
Loxogramme dictyopteris,Anemochor,16,-2.502,4.801
Arabis nova,Autochor,13,0.175,2.654
Armeria bourgaei,Anemochor,2,1.36,2.343
Festuca elegans,Anemochor,7,0.623,2.391
Solanum chilense,Autochor,16,0.262,2.409
Nepsera aquatica,Autochor,6,0.499,5.402
Arthrostylidium excelsum,Autochor,4,2.898,4.56
Ossaea cabraliensis,Zoochor,11,-2.937,3.844
Paullinia sessiliflora,Anemochor,13,1.016,2.605
Lonchocarpus caudatus,Autochor,2,9.338,3.838
Eucalyptus delicata,Anemochor,5,-1.533,5.582
Acrotriche prostrata,Zoochor,13,-0.595,3.28
Piper surubresanum,Zoochor,12,9.24,5.514
Trichomanes robustum,Anemochor,7,-4.129,5.451
Salvia patens,Autochor,11,1.568,3.247
Cardamine papillata,Autochor,11,-1.657,3.742
Echinodorus paniculatus,Autochor,12,5.758,6.289
Ambrosia pumila,Hemerochor,12,1.989,4.054
Asplenium auriculatum,Anemochor,3,4.886,3.718
Camissonia hirtella,Autochor,15,8.892,2.557
Viola kusnezowiana,Zoochor,13,4.134,1.121
Serjania polyphylla,Anemochor,12,6.52,4.21
Leucadendron laureolum,Anemochor,9,0.607,3.584
Mertensia arizonica,Anemochor,3,1.512,-0.481
Solanum rixosum,Autochor,9,-0.306,2.412
Cardamine nipponica,Autochor,10,1.293,2.229
Machaerium lanceolatum,Anemochor,7,4.014,4.298
Notholaena lemmonii,Anemochor,9,4.281,2.408
Crataegus punctata,Zoochor,12,-2.265,2.385
Vaccinium consanguineum,Zoochor,10,8.197,3.176
Xanthostemon chrysanthus,Nautochor,5,-2.693,2.927
Telitoxicum minutiflorum,Zoochor,7,-1.542,7.054
Turnera aromatica,Autochor,12,1.636,5.452
Melananthus guatemalensis,Zoochor,2,-3.372,5.233
Myrcia inaequiloba,Zoochor,4,4.268,8.211
Frangula goudotiana,Zoochor,5,3.154,3.194
Inulopsis camporum,Autochor,13,0.448,4.589
Triantha glutinosa,Autochor,1,-0.198,-0.384
Passiflora actinia,Zoochor,9,-0.138,3.107
Sesleria alba,Autochor,10,1.336,2.06
Besleria racemosa,Zoochor,16,15.651,6.546
Vaccinium tenellum,Zoochor,16,3.488,5.241
Baeckea muricata,Zoochor,14,0.889,5.564
Bridelia taitensis,Zoochor,7,-3.849,3.722
Lupinus plattensis,Autochor,4,2.287,1.686
Astartea fascicularis,Zoochor,8,-2.238,5.373
Goodenia modesta,Zoochor,14,5.756,5.656
Elliottia pyroliflora,Anemochor,6,-1.63,1.023
Launaea nudicaulis,Anemochor,6,4.514,4.431
Pterygiella duclouxii,Autochor,8,4.216,3.008
Rhynchospora comata,Autochor,9,1.852,5.005
Iris tectorum,Autochor,16,2.57,1.88
Cuscuta leptantha,Autochor,8,2.944,4.156
Discaria toumatou,Anemochor,12,-2.499,4.598
Forstera sedifolia,Autochor,9,-3.302,5.395
Mandevilla spigeliiflora,Anemochor,14,3.543,5.057
Anaxeton asperum,Anemochor,10,0.323,3.039
Hedyotis matthewii,Anemochor,14,4.089,2.489
Cybianthus minutiflorus,Zoochor,10,7.64,5.655
Chamaecytisus ratisbonensis,Zoochor,5,0.937,3.668
Syncolostemon concinnus,Autochor,16,1.787,3.994
Acer opalus,Anemochor,2,1.673,2.191
Vallisneria caulescens,Autochor,9,0.09,5.15
Wahlenbergia hirsuta,Anemochor,16,-0.212,5.323
Bigelowia nuttallii,Anemochor,13,0.513,5.208
Metalasia inversa,Anemochor,7,-0.72,3.578
Viola munbyana,Zoochor,12,0.4,2.105
Narcissus hispanicus,Anemochor,13,1.231,2.84
Piper arcteacuminatum,Zoochor,1,-8.692,3.865
Leontodon autumnalis,Anemochor,4,-3.276,2.411
Ficus botryoides,Zoochor,7,-1.726,3.783
Picris pauciflora,Anemochor,14,3.834,2.548
Myrsine matensis,Zoochor,13,2.272,5.188
Rhizophora apiculata,Nautochor,7,-3.085,5.015
Hirtella glandulosa,Zoochor,9,0.385,4.644
Lupinus montanus,Autochor,4,-3.614,3.358
Ouratea cuspidata,Zoochor,14,1.077,4.091
Prosthecidiscus guatemalensis,Anemochor,16,-3.025,4.252
Duguetia yeshidan,Zoochor,1,-5.769,5.62
Voacanga psilocalyx,Zoochor,16,-2.037,4.411
Eragrostis nindensis,Autochor,16,3.239,5.485
Smallanthus connatus,Zoochor,9,-0.14,3.892
Archytaea angustifolia,Zoochor,3,-41.172,8.498
Lepidospartum latisquamum,Anemochor,1,0.537,2.281
Sapium marmieri,Zoochor,2,4.243,6.73
Atriplex paludosa,Nautochor,15,-0.102,5.688
Scleranthus perennis,Anemochor,4,-2.806,2.83
Arenaria hispanica,Anemochor,10,1.457,3.254
Vicatia thibetica,Autochor,10,5.357,3.305
Eleusine jaegeri,Zoochor,9,-1.127,3.128
Dissocarpus latifolius,Anemochor,8,15.895,6.028
Licania apetala,Zoochor,4,7.825,8.839
Eragrostis microcarpa,Autochor,8,9.74,6.06
Penstemon leiophyllus,Anemochor,10,1.69,1.289
Vitex patula,Zoochor,12,-0.754,5.035
Euploca polyphylla,Autochor,9,0.698,4.481
Arctostaphylos andersonii,Anemochor,2,5.125,2.674
Diphysa humilis,Chamaechor,10,7.453,3.526
Mitrasacme micrantha,Anemochor,1,3.536,5.873
Carex pendula,Autochor,7,0.431,2.608
Lepidaploa polypleura,Anemochor,3,0.832,3.928
Cassiope lycopodioides,Autochor,6,0.208,-2.852
Monarda clinopodioides,Anemochor,10,3.628,5.475
Tephrosia conzattii,Autochor,13,-0.69,2.901
Cordia exaltata,Autochor,8,0.376,7.599
Ficus davidsoniae,Zoochor,10,2.459,3.24
Marlierea silvatica,Zoochor,7,1.454,3.151
Asteranthos brasiliensis,Anemochor,16,-3.664,7.595
Polygala triflora,Autochor,1,-0.561,4.675
Pitcairnia recurvata,Anemochor,1,-5.261,3.763
Alternanthera albida,Autochor,6,11.725,5.75
Pentameris rigidissima,Anemochor,14,0.403,2.972
Carex folliculata,Autochor,1,-0.213,2.794
Oxytropis lambertii,Zoochor,15,1.175,3.566
Picrasma excelsa,Anemochor,13,-1.294,3.279
Spyridium erymnocladum,Zoochor,6,-2.607,5.423
Delphinium cardinale,Anemochor,10,6.34,2.768
Cyphostemma subciliatum,Zoochor,8,-1.411,5.625
Rubus sellowii,Zoochor,8,1.28,4.312
Triumfetta columnaris,Zoochor,3,6.838,4.254
Pyrenaria hirta,Anemochor,6,4.24,2.456
Peponopsis adhaerens,Autochor,2,0.562,4.274
Endlicheria bracteolata,Zoochor,7,-14.07,6.625
Pilosella dubia,Zoochor,1,-0.759,2.707
Phebalium brachycalyx,Autochor,10,-0.082,5.385
Juncus breweri,Anemochor,2,-0.277,2.236
Silene cythnia,Anemochor,10,0.79,2.813
Crescentia alata,Zoochor,8,1.669,5.413
Ruellia brevifolia,Autochor,6,1.93,4.424
Neurolaena fulva,Anemochor,5,2.105,3.858
Serpocaulon latissimum,Anemochor,12,-4.25,3.727
Ilex elmerrilliana,Zoochor,15,4.165,2.554
Atractantha falcata,Autochor,3,2.315,5.287
Dendropanax pellucidopunctatus,Zoochor,3,4.103,3.085
Cocculus diversifolius,Zoochor,8,4.317,5.307
Symplococarpon purpusii,Zoochor,9,4.648,2.839
Hamelia versicolor,Zoochor,1,-1.141,3.246
Archytaea triflora,Zoochor,3,2.755,6.811
Asplenium subemarginatum,Anemochor,2,-5.775,3.866
Galianthe valerianoides,Autochor,2,1.748,4.593
Berkheya cirsiifolia,Autochor,13,4.144,2.816
Eragrostis speciosa,Autochor,2,9.964,6.625
Ocotea tristis,Zoochor,13,-0.105,2.934
Cnidoscolus quercifolius,Autochor,3,1.919,5.502
Jasminum officinale,Zoochor,1,4.264,3.198
Sparattanthelium glabrum,Zoochor,13,-0.965,5.038
Duma horrida,Zoochor,5,0.004,5.594
Calamus zonatus,Zoochor,7,-1.127,3.88
Manihot guaranitica,Autochor,10,6.996,5.193
Phoradendron macrophyllum,Zoochor,4,0.516,2.834
Baccharis camporum,Anemochor,1,2.906,5.256
Goodenia janamba,Zoochor,15,-0.763,5.853
Litsea reticulata,Zoochor,11,-0.695,3.124
Marina procumbens,Anemochor,3,6.747,4.646
Sapium glandulosum,Zoochor,16,2.676,5.112
Aralia californica,Zoochor,12,-3.585,1.894
Knoxia sumatrensis,Autochor,8,0.867,4.724
Phebalium tuberculosum,Autochor,15,0.83,5.777
Cleomella brevipes,Autochor,1,1.366,2.271
Ficus podocarpifolia,Zoochor,10,4.184,4.517
Gentianella diemensis,Anemochor,14,-1.853,3.262
Diplolaena grandiflora,Autochor,13,-1.619,5.343
Sidalcea candida,Autochor,8,0.569,-1.26
Trientalis europaea,Anemochor,4,-4.121,-7.858
Otoba gracilipes,Zoochor,11,-5.167,3.866
Molinaea retusa,Anemochor,5,0.773,3.053
Sparganium gramineum,Autochor,9,-1.162,4.997
Funastrum clausum,Autochor,5,1.981,4.938
Pyracantha angustifolia,Zoochor,8,10.138,2.269
Aechmea setigera,Autochor,9,-1.585,5.027
Floscopa africana,Autochor,7,0.92,6.042
Erepsia aspera,Zoochor,11,-1.395,3.181
Elaphoglossum flaccidum,Anemochor,3,-3.301,7.209
Phryma leptostachya,Anemochor,7,-0.277,4.054
Rhododendron luteum,Hemerochor,2,11.565,1.666
Acer oliverianum,Anemochor,16,3.152,2.497
Senecio sylvaticus,Anemochor,8,-1.973,2.843
Myriophyllum amphibium,Autochor,7,-2.661,3.986
Marmaroxylon basijugum,Nautochor,1,-3.768,5.786
Boehmeria cylindrica,Autochor,6,1.901,5.074
Glischrocaryon aureum,Autochor,11,-0.438,5.716
Androsace yargongensis,Anemochor,6,0.67,1.535
Amphiglossa tomentosa,Anemochor,9,0.345,2.929
Teramnus uncinatus,Autochor,7,5.685,4.308
Amphibolia laevis,Zoochor,1,0.98,3.541
Calystegia atriplicifolia,Autochor,11,5.961,2.714
Cryptantha torreyana,Zoochor,9,0.039,2.119
Serjania cornigera,Anemochor,14,8.138,3.371
Astragalus detritalis,Nautochor,16,1.3,0.098
Quaqua pillansii,Anemochor,3,1.882,3.411
Remijia peruviana,Zoochor,3,-19.032,9.162
Chaptalia piloselloides,Anemochor,9,0.063,4.93
Dichapetalum crassifolium,Zoochor,11,2.998,5.202
Ziziphora hispanica,Autochor,13,0.395,3.087
Carex pisiformis,Autochor,14,2.793,2.276
Piper pellitum,Zoochor,11,1.11,6.255
