scenario,n_species,lat_median,lat_mean,lat_q25,lat_q75,ele_median,ele_mean,ele_q25,ele_q75
1,62416,0.568,0.487,-1.052,2.216,3.624,3.743,2.986,4.954
2,62414,1.097,1.028,-1.084,3.351,3.857,3.839,3.045,5.327
3,62403,1.499,1.561,-1.284,4.632,4.179,3.953,3.01,5.774
4,62403,1.84,2.031,-1.382,5.712,4.446,4.071,2.994,6.115
5,62421,0.319,0.254,-1.015,1.614,3.495,3.662,2.894,4.746
6,62418,0.73,0.691,-1.104,2.628,3.692,3.743,3.012,5.062
7,62408,1.233,1.252,-1.158,3.75,3.955,3.832,3.029,5.456
8,62403,1.521,1.633,-1.263,4.639,4.17,3.875,3.007,5.74
9,62423,0.15,0.156,-1.02,1.244,3.444,3.646,2.827,4.625
10,62419,0.486,0.486,-1.058,2.091,3.573,3.681,2.956,4.887
11,62415,0.825,0.751,-1.256,2.964,3.795,3.748,3.026,5.231
12,62409,1.195,1.194,-1.272,3.8,3.99,3.764,3.035,5.516
13,62424,0.043,0.051,-1.059,1.009,3.43,3.672,2.829,4.611
14,62417,0.488,0.491,-0.962,2.018,3.589,3.757,2.972,4.859
15,62417,0.968,1.065,-0.992,3.161,3.793,3.835,3.041,5.209
16,62410,1.247,1.433,-1.014,3.805,3.943,3.867,3.041,5.399
