GF,n_species,lat_median,lat_q25,lat_q75,age_mat_median
Herb,26096,0.952,-0.761,2.846,1.0
Shrub,14814,0.921,-1.052,3.076,5.0
Tree,13363,0.707,-1.808,2.966,15.0
Epiphyte,5317,1.047,-1.238,3.368,3.0
Grass,2633,0.404,-1.244,2.44,1.0
Succulent,201,1.313,-0.103,2.718,1.0
