Fatty acid,Missbach FT (SYN),Fischer-Tropsch (SYN) (McCollom & Seewald07),Enceladus abiotic (SYN) (Klenner+20b),EET 87770 (CR2) (Aponte+2011) (S),EET 87770 (CR2) (Aponte+2011) (B),ALH 84034 (CM1) (Aponte+2011) (S),ALH 84034 (CM1) (Aponte+2011) (B),ALH 84033 (CM2) (Aponte+2011) (S),ALH 84033 (CM2) (Aponte+2011) (B),MET 00430 (CV3) (Aponte+2011) (S),MET 00430 (CV3) (Aponte+2011) (B),WIS 91600 (C2) (Aponte+2011) (S),WIS 91600 (C2) (Aponte+2011) (B),Murchison (CM2) (S),Murchison (CM2) (B),LON 94101 (CM2) (Aponte+2014),Enceladus biotic (SYN) (Klenner+20a),E. coli (MIC) (Hildebrand & Law64),A. tumefaciens (MIC) (Hildebrand & Law64),C. butyricum (MIC) (Hildebrand & Law64),S. marcescens (MIC) (Hildebrand & Law64),Arabidopsis roots 2-weeks old (EUK) (Batsale+21),Geobacillus LC300 (MIC) (Cordova+17),Thermus thermophilus HB8 (MIC) (Cordova+17),Rhodothermus marinus DSM 4252 (MIC) (Cordova+17),PANGAEA_GeoB7702-3_15 (MIX),PANGAEA_GeoB7702-3_252 (MIX),PANGAEA_GeoB7702-3_396 (MIX),PANGAEA_GeoB7702-3_135 (MIX),PANGAEA_GeoB7702-3_324 (MIX),PANGAEA_SO242/2_202_PUC-46-61-79 (MIX),Gorka_p_AN (MIX),Gorka_p_FN (MIX),Gorka_p_GN (MIX)
Sample Class,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Stat Model,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,t,t,t
Stat Model DF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3
C20,0.17883039,6.92,0.55,,,,,,,,,,,,,,0.3,0,0,0,0,1.5,,,,13,32.5,12.3,9.9,3.8,0,0,0,0
C22,0.15457219,5.38,0,,,,,,,,,,,,,,0,0,0,0,0,4.11,,,,12.4,42.3,9.7,9.2,4.1,0.01612,0,0,0
C23,0.146207466,4.8,0,,,,,,,,,,,,,,0,0,0,0,0,0.31,,,,4.8,14.1,4.4,3.3,1.2,0,0,0,0
C24,0.129435469,4.05,0,,,,,,,,,,,,,,0,0,0,0,0,3.79,,,,20.1,59.4,17.2,14,5.9,0,0,0,0
C25,0.124156832,3.14,0,,,,,,,,,,,,,,0,0,0,0,0,0.14,,,,6.6,14.7,6.5,4.4,1.6,0,0,0,0
C26,0.117003517,2.34,0,,,,,,,,,,,,,,0,0,0,0,0,0.19,,,,21.6,78.3,25.5,19.3,8.2,0,0,0,0
C19,0.186692029,7.66,0.55,,,,,,,,,,,,,,0.03,0.8,3.8,0.7,0.2,0,,,,2.1,9,2.2,2.4,2,0,0,0,0
