sample_id,phase,pathogen,coverage_avg,n_reads,ani
BUR169,2,Staphylococcus epidermidis,0.00345709,122,0.97900291
BUR176,1,Clostridium botulinum,0.00532187,334,0.979016814037659
BUR184,2,Yersinia pestis,0.02133901,2113,0.978772702808717
BUR192,2,Staphylococcus epidermidis,0.00209278,83,0.982173465889612
BUR192,2,PseudomoInfs mucidolens,7.74806289359753,987151,0.987141111674667
BUR194,1,Streptococcus pyogenes,0.07138331,2387,0.981888858153653
BUR196,2,Staphylococcus epidermidis,0.00894088,334,0.98103045
BUR200,1,Clostridium septicum,0.0581311,3246,0.979068042026661
BUR202,1,Clostridium novyi,0.00199273,83,0.981341877120241
BUR207,1,Staphylococcus pettenkoferi,0.00664253,224,0.979395442200968
BUR207,1,Clostridium botulinum,0.00108798,115,0.990273693734449
BUR208,1,Human alphaherpesvirus 1,0.370478643034515,1373,0.98735756
BUR212,1,Staphylococcus hominis,0.00387822,105,0.972981700753498
BUR212,1,[Brevibacterium] frigoritolerans,0.00145921,103,0.974173676104726
BUR212,1,Yersinia pestis,0.00221154,240,0.983858998144712
BUR216,1,Clostridium septicum,0.01088548,713,0.992934872804001
BUR218,1,Yersinia pestis,0.21837999601755,23948,0.992692967249653
BUR224,1,Bacillus simplex,0.000880657297668011,76,0.977323420074349
BUR226,2,Staphylococcus epidermidis,0.00411212,147,0.971344925479063
BUR226,2,Treponema denticola,0.00459569,271,0.972359257109692
BUR227,2,Treponema denticola,0.00510896,311,0.970451217888992
BUR227,2,Campylobacter showae,0.00345324,163,0.971827378665642
BUR229,1,Yersinia enterocolitica,0.01566617,1431,0.98028823919103
BUR230,2,Staphylococcus equorum,0.00677832,297,0.97482101982175
BUR236,1,Staphylococcus epidermidis,0.00161015,57,0.972015346422929
BUR236,1,Treponema denticola,0.00208292,127,0.97682595
BUR239,2,Yersinia enterocolitica,0.00479738,577,0.99177155892297
BUR240,Unknown,Staphylococcus hominis,0.00882828,314,0.976507135229589
BUR244,2,Streptococcus milleri,0.958966144199963,27927,0.97865078
BUR249,1,Clostridium novyi,0.00507547,217,0.976009484622358
BUR250,2,Borrelia recurrentis,0.00678735,219,0.989431361286616
BUR255,Unknown,Salmonella enterica,0.00515655,544,0.98501367
BUR256,2,Yersinia enterocolitica,0.133079254499666,13300,0.98714989216017
BUR260,2,Yersinia intermedia,2.0140899782691,195626,0.98297872252958
BUR262,1,Clostridium perfringens,0.01286494,931,0.980616270391299
BUR262,1,Treponema denticola,0.0014029,78,0.975302995655156
BUR263,1,Clostridium botulinum,0.00162801,143,0.984391675560298
BUR264,1,Staphylococcus epidermidis,0.00448773,160,0.974641584486616
BUR265,2,Clostridium perfringens,0.0543904,3517,0.982868174632129
BUR266,1,Clostridium septicum,0.04566516,2448,0.984019376429042
BUR266,1,Treponema denticola,0.432013491639882,22594,0.973717230324298
BUR266,1,Corynebacterium matruchotii,0.173933477419045,10256,0.97564296
BUR266,1,Campylobacter gracilis,0.253779717502932,11399,0.971327790626578
BUR267,1,Bacillus simplex,0.00741208,700,0.970329867335962
BUR267,1,PseudomoInfs brenneri,19.6569052097019,2487525,0.993526908423801
BUR268,2,Staphylococcus equorum,0.288394990784908,12325,0.975692958384733
BUR268,2,Clostridium perfringens,0.197419146988366,14269,0.979666250726866
BUR268,2,Escherichia coli,0.112952858000523,11256,0.98788025
BUR268,2,Shigella dysenteriae,0.000677027204561191,67,0.971174
BUR270,2,Staphylococcus epidermidis,0.03346477,1285,0.97842684
BUR270,2,Clostridium novyi,0.00586216,337,0.979518439500152
BUR270,2,Treponema denticola,0.00219579,118,0.974649097679748
BUR270,2,Campylobacter gracilis,0.00462603,201,0.971337579617834
BUR271,1,Treponema denticola,0.01615558,1103,0.983880348982135
BUR272,2,Staphylococcus epidermidis,0.00848127,327,0.979122357741221
BUR272,2,Yersinia enterocolitica,0.00884236,1009,0.98943897
BUR274,1,Staphylococcus epidermidis,0.01867944,748,0.97667433416345
BUR274,1,Streptococcus gordonii,0.00428239,179,0.970366066240557
BUR275,1,Corynebacterium matruchotii,3.86546465558026,223531,0.97387028
BUR275,1,Campylobacter showae,0.911113682437123,39368,0.970506988168936
BUR275,1,Neisseria elongata,0.256416508261153,12890,0.97037749
BUR276,2,Streptococcus milleri,0.03032204,959,0.98135894
