sample_id,phase,date_bp,sd,cal_bc_from_95,cal_bc_to_95,cal_bc_median,cal_bp_median,d13c,d15n,cn_ratio
BUR170,2,3975,45,-2621,-2306,-2494,4444,-21,9.7,3
BUR184,2,4212,31,-2901,-2674,-2791,4741,-21,10.5,3.3
BUR186,1,4440,40,-3335,-2927,-3107,5057,-21.9,10.1,3.4
BUR188,2,4005,40,-2662,-2356,-2528,4478,,,
BUR189,1,4500,40,-3359,-3034,-3211,5161,-20.8,10.8,3.2
BUR192,2,3990,40,-2624,-2350,-2520,4470,-21,9.5,3.4
BUR196,2,4025,45,-2846,-2459,-2543,4493,-21,9.4,3.1
BUR197,1,4550,35,-3482,-3101,-3216,5166,-21.2,9.24,3.3
BUR199,1,4490,35,-3351,-3033,-3213,5163,-21.3,10.7,3.5
BUR200,1,4580,45,-3508,-3101,-3341,5291,-21.9,9.6,3.2
BUR211,2,4025,35,-2662,-2465,-2534,4484,-20.9,10.2,3.3
BUR212,1,4545,20,-3368,-3105,-3211,5160,,,
BUR218,1,4485,20,-3340,-3093,-3227,5176,,,
BUR238,1,4520,30,-3360,-3101,-3208,5158,,,
BUR245,2,4095,35,-2866,-2497,-2657,4607,-20.9,10.8,3.6
BUR316,1,4545,30,-3370,-3102,-3212,5162,,,
BUR316,1,4515,35,-3360,-3098,-3211,5161,-21.2,11.4,4
BUR345,1,4470,20,-3334,-3030,-3238,5187,,,
