sample_id,phase,phase_confidence,sex,family_id,mito_haplogroup,y_haplogroup,avg_age_cal_bc
BUR338,1,High,XY,pedigree_1.F,U5a2b3,I2a1a2,"=IFERROR(-VLOOKUP(A169,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR339,2,Medium,XX,unrelated,K1a1b,,"=IFERROR(-VLOOKUP(A170,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR340,1,Medium,XX,unrelated,K2b1,,"=IFERROR(-VLOOKUP(A171,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR341,1,High,XY,pedigree_1.D,H7d,I2a1a2,"=IFERROR(-VLOOKUP(A172,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR342,1,High,XY,pedigree_1.A,J1c3,H2a1,"=IFERROR(-VLOOKUP(A173,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR343,1,High,XY,pedigree_1.A,J1c1,H2a1,"=IFERROR(-VLOOKUP(A174,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR344,1,High,XY,pedigree_1.G,K1a5,I2a1a2,"=IFERROR(-VLOOKUP(A175,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR345,1,High,XX,unrelated,K1a+195,,"=IFERROR(-VLOOKUP(A176,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR346,1,Medium,XY,unrelated,U5b2b,I2a1a1,"=IFERROR(-VLOOKUP(A177,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR347,Unknown,Low,XY,no_data,U8b,,"=IFERROR(VLOOKUP(A178,'3_datesAndIsotopes '!A$2:K$20,11,FALSE),"""")"
BUR348,2,Medium,XX,unrelated,H1,,"=IFERROR(VLOOKUP(A179,'3_datesAndIsotopes '!A$2:K$20,11,FALSE),"""")"
BUR349,1,High,XX,pedigree_1.A,K1a2a,,"=IFERROR(VLOOKUP(A180,'3_datesAndIsotopes '!A$2:K$20,11,FALSE),"""")"
