sample_id,phase,phase_confidence,sex,family_id,mito_haplogroup,y_haplogroup,avg_age_cal_bc
BUR209,1,High,XX,pedigree_1.C,V10b,,"=IFERROR(-VLOOKUP(A42,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR210,2,Medium,XY,no_data,U5b1b,,"=IFERROR(-VLOOKUP(A43,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR211,2,High,XY,no_data,H2a2a1,,"=IFERROR(-VLOOKUP(A44,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR212,1,High,XY,pedigree_1.E,U4a2f,I2a1a2,"=IFERROR(-VLOOKUP(A45,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR213,2,Low,XY,no_data,H85,,"=IFERROR(-VLOOKUP(A46,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR214,1,High,XX,no_data,H2a2a,,"=IFERROR(-VLOOKUP(A47,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR215,1,High,XY,no_data,X,,"=IFERROR(-VLOOKUP(A48,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR216,1,High,XY,pedigree_1.B,J1c3,I2a1a2,"=IFERROR(-VLOOKUP(A49,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR217,1,Medium,XY,no_data,H2a2a,,"=IFERROR(-VLOOKUP(A50,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR218,1,High,XY,pedigree_1.B,H1c,I2a1a1,"=IFERROR(-VLOOKUP(A51,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR219,1,High,XY,pedigree_1.A,H3p,H2a1,"=IFERROR(-VLOOKUP(A52,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR221,Unknown,Low,XX,unrelated,R,,"=IFERROR(-VLOOKUP(A53,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR222,1,High,XY,pedigree_1.A,J1c1,H2a1,"=IFERROR(-VLOOKUP(A54,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR223,1,High,XY,pedigree_1.F,U8a2,I2a1a2,"=IFERROR(-VLOOKUP(A55,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR224,1,Medium,XY,unrelated,K1a+195,I2a1a1,"=IFERROR(-VLOOKUP(A56,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR225,1,High,XY,pedigree_1.C,K1a3a,H2a1,"=IFERROR(-VLOOKUP(A57,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR226,2,High,XY,pedigree_2.D,X2b+226,I2a1a1,"=IFERROR(-VLOOKUP(A58,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR227,2,Low,XX,unrelated,J1c3,,"=IFERROR(-VLOOKUP(A59,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR228,1,Medium,XY,no_data,J1c1,,"=IFERROR(-VLOOKUP(A60,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR229,1,Low,XY,unrelated,U8b1b,,"=IFERROR(-VLOOKUP(A61,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR230,2,High,XY,pedigree_2.F,H1e,I2a1a1,"=IFERROR(-VLOOKUP(A62,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR231,2,High,XY,pedigree_2.E,J1c1,I2a1a1,"=IFERROR(-VLOOKUP(A63,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR232,1,High,XY,pedigree_1.B,H1c,,"=IFERROR(-VLOOKUP(A64,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR233,2,Low,XY,unrelated,U5a2+16362,,"=IFERROR(-VLOOKUP(A65,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR234,1,Medium,XY,(pedigree_1.C),K1a3,,"=IFERROR(-VLOOKUP(A66,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR235,2,High,XY,pedigree_2.B,H3,I2a1a1,"=IFERROR(-VLOOKUP(A67,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR236,1,Medium,XX,unrelated,H7d,,"=IFERROR(-VLOOKUP(A68,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR237,2,Medium,XY,unrelated,J2b1a,I2a1a1,"=IFERROR(-VLOOKUP(A69,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR238,1,High,XY,no_data,K1a1b1,,"=IFERROR(-VLOOKUP(A70,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR239,2,High,XY,pedigree_2.A,U5b1+16189+@16192,I2a1a1,"=IFERROR(-VLOOKUP(A71,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR240,Unknown,Low,XY,unrelated,H3,I2a1a1,"=IFERROR(-VLOOKUP(A72,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR241,2,Low,XX,no_data,H67,,"=IFERROR(-VLOOKUP(A73,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR242,1,High,XX,pedigree_1.A,T2c1d+152,,"=IFERROR(-VLOOKUP(A74,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR243,Unknown,Low,XY,no_data,K1,,"=IFERROR(-VLOOKUP(A75,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR244,2,Low,XY,unrelated,J1c1b,I2a1a1,"=IFERROR(-VLOOKUP(A76,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR245,2,High,XY,pedigree_2.A,H+152,I2a1a1,"=IFERROR(-VLOOKUP(A77,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR246,1,Medium,XX,no_data,U5a'b,,"=IFERROR(-VLOOKUP(A78,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR247,1,High,XX,no_data,H1an,,"=IFERROR(-VLOOKUP(A79,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR248,1,High,XX,unrelated,U5b1,,"=IFERROR(-VLOOKUP(A80,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR249,1,High,XY,pedigree_1.A,H3an,H2a1,"=IFERROR(-VLOOKUP(A81,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR250,2,Medium,XX,unrelated,K1b1a1,,"=IFERROR(-VLOOKUP(A82,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR251,1,Medium,XY,unrelated,U5b2b2,H2a1,"=IFERROR(-VLOOKUP(A83,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR252,1,Medium,XY,no_data,H1c,,"=IFERROR(-VLOOKUP(A84,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
