sample,mean_depth_x,breadth_pct_1x,mean_read_length_bp,terminal_5p_ct_damage,dedup_mapped_reads
CAM9_208,84.851,98.99,80,0.052,183566
CAM9_205,3.206,90.57,115,0.0355,4805
