region,mdt_egm96_mean,mdt_egm96_sd,mdt_egm2008_mean,mdt_egm2008_sd
Africa,0.463198943068492,0.670423259491019,0.40338779385421,0.402440104380757
Antarctica,-1.15693490999253,1.60484746816552,-1.21124843290503,0.487093409415602
Asia,0.602948025586749,0.882024479769215,0.533082950245701,0.516675018076097
Australia,0.817512033312093,0.37722609784248,0.8841886727582839,0.307278178235483
Europe,0.051421432108543,0.589322399200794,0.0364283717524842,0.261829101889993
North America,0.0684609118826721,0.646897045605538,0.169578536742709,0.373761487214711
Pacific Region,1.14742229146262,0.769766111357781,0.530354486281673,0.580756926626601
South America,0.408860545650304,0.655817000074809,0.535047291273094,0.40301626512633
Global,0.223065008452755,0.905254616106031,0.234923615309164,0.593817893347723
Global without Antarctica,0.30864620487686,0.763405816285912,0.326262588663451,0.467927704685938
"Central America, Carribean, northern South America",0.655973713286221,0.568216770821815,0.61014803002278,0.454033612225527
East Africa,0.816814828161445,0.540011976034052,0.724045463556808,0.315256422455769
"Melanesia, Micronesia, Polynesia",1.16269714207876,0.628722434740252,0.906706208097083,0.454662214575635
"USA, Canada",0.000613064738190754,0.625854179191399,0.124025282825967,0.341580576384918
"Northern Europe, Western Europe",0.0541528018271109,0.412101702220722,0.0715690038632601,0.271339755428984
Southeast Asia,1.25546700437939,0.803926148465563,1.02830914531458,0.394607100648095
Southern South America,0.470434362044582,0.725572330015137,0.467252642496839,0.406704261253289
USA,0.313645073313185,0.385009159211431,0.390129240939943,0.34640029446712
