year,n_papers,doc_ausente,doc_ausente_pct,conv_ausente,conv_ausente_pct,adecuados,adecuados_pct
2009,5,1,20.0,5,100.0,0,0.0
2010,11,6,54.5,10,90.9,1,9.1
2011,10,8,80.0,10,100.0,0,0.0
2012,22,18,81.8,21,95.5,0,0.0
2013,12,8,66.7,11,91.7,0,0.0
2014,7,3,42.9,7,100.0,0,0.0
2015,15,12,80.0,15,100.0,0,0.0
2016,21,12,57.1,20,95.2,1,4.8
2017,12,9,75.0,11,91.7,0,0.0
2018,19,9,47.4,16,84.2,0,0.0
2019,17,9,52.9,16,94.1,0,0.0
2020,29,12,41.4,22,75.9,0,0.0
2021,48,37,77.1,45,93.8,0,0.0
2022,33,20,60.6,30,90.9,0,0.0
2023,40,21,52.5,36,90.0,0,0.0
2024,69,35,50.7,61,88.4,1,1.4
2025,16,12,75.0,14,87.5,0,0.0
