sorbente,rh_pct,productividad_g_g_d
EMM-8@TPU (This work),38.1,11.81
EMM-8@TPU (This work),59.3,13.79
MOF-801,25.0,0.23
MOF-801,40.0,0.12
HCS-LiCl,60.0,0.84
LiCl@rGO-SA,30.0,2.12
MOF-303,10.0,0.7
MOF-801,24.5,3.5
Steam-80,60.0,1.365
PAMPS-CNT-LiCl,50.0,2.41
MOF-303,86.0,0.285
BHNC,60.0,2.82
HIPG,57.0,4.05
THL,30.0,2.98
SBGS,51.0,2.05
SHPF,26.1,5.8
HEMH,66.0,2.85
LiCl@MIL-101(Cr),30.0,0.77
CAL,72.5,8.96
