sorbente,tiempo_min,conversion_ratio
EMM-8@TPU (This work),0.0,3.898552173913043e-05
HMG,1.59661,0.00797
HIPG,0.77384,0.00197
MOF-801,0.0,0.0
MOF-303,1.17162,0.02699
LiCl@rGO-SA,-0.55205,0.03078
SHPF,3.34818,0.00926
EMM-8@TPU (This work),5.0,0.5414347826086956
HMG,3.84749,0.05906
HIPG,4.47477,0.21479
MOF-801,2.78471,0.00384
MOF-303,3.50614,0.0934
LiCl@rGO-SA,5.23771,0.08819
SHPF,7.07777,0.06862
EMM-8@TPU (This work),10.0,0.8422608695652174
HMG,4.74784,0.11449
HIPG,10.3452,0.47256
MOF-801,10.99949,0.10847
MOF-303,7.34141,0.13187
LiCl@rGO-SA,8.9491,0.15244
SHPF,9.39011,0.12439
EMM-8@TPU (This work),15.0,0.9327826086956522
HMG,5.72321,0.18796
HIPG,15.23722,0.62458
MOF-801,12.60404,0.17627
MOF-303,10.4541,0.1827
LiCl@rGO-SA,15.6296,0.20985
SHPF,12.15,0.20294
EMM-8@TPU (This work),20.0,0.9676086956521739
HMG,6.17339,0.25741
HIPG,19.87401,0.75413
MOF-801,17.81882,0.25238
MOF-303,13.90029,0.23033
LiCl@rGO-SA,22.31009,0.27357
SHPF,14.01479,0.2731
EMM-8@TPU (This work),30.0,1.0
HMG,7.07374,0.3065
HIPG,25.23397,0.85327
MOF-801,21.02791,0.36746
MOF-303,17.73557,0.28437
LiCl@rGO-SA,28.09985,0.33098
SHPF,16.32713,0.34745
EMM-8@TPU (This work),150.0,1.0
HMG,7.52391,0.35759
HIPG,29.91329,0.89821
MOF-801,26.24269,0.46378
MOF-303,20.84826,0.33841
LiCl@rGO-SA,34.6319,0.37838
SHPF,18.63948,0.40741
HMG,10.29999,0.43139
HIPG,34.80532,0.93655
MOF-801,34.66657,0.59533
MOF-303,25.07262,0.39245
LiCl@rGO-SA,42.35158,0.45578
SHPF,20.05672,0.44459
HMG,10.75017,0.48849
HIPG,39.91004,0.95902
MOF-801,39.88135,0.66563
MOF-303,29.35256,0.43688
LiCl@rGO-SA,47.10215,0.49004
SHPF,22.81661,0.50755
HMG,12.10069,0.55394
HIPG,50.20456,0.97488
MOF-801,48.30523,0.74946
MOF-303,35.13327,0.48771
LiCl@rGO-SA,54.67338,0.54745
SHPF,25.12895,0.55612
HMG,12.55087,0.61338
HIPG,60.24385,0.98282
MOF-801,55.12456,0.82262
MOF-303,39.35763,0.53855
LiCl@rGO-SA,65.06527,0.61801
SHPF,26.99374,0.61549
HMG,14.4266,0.66848
HIPG,90.06393,0.99736
MOF-801,68.36208,0.88329
MOF-303,46.3056,0.58618
LiCl@rGO-SA,73.67568,0.66226
SHPF,30.20119,0.68624
HMG,15.77712,0.72591
HIPG,120.13924,0.98942
MOF-801,80.39619,0.93145
MOF-303,52.0863,0.64022
LiCl@rGO-SA,85.10676,0.71967
SHPF,33.40863,0.72702
HMG,17.20268,0.77266
HIPG,150.00186,0.98942
MOF-801,94.03485,0.96086
MOF-303,55.58808,0.67182
LiCl@rGO-SA,91.78725,0.74969
SHPF,36.69066,0.77139
HMG,19.45355,0.8321
MOF-801,114.49284,0.98108
MOF-303,61.36878,0.70708
LiCl@rGO-SA,101.2884,0.78394
SHPF,39.8981,0.81217
HMG,24.10536,0.89755
MOF-801,142.97357,0.99175
MOF-303,67.53857,0.7483
LiCl@rGO-SA,109.89882,0.82764
SHPF,45.49248,0.85354
HMG,28.68214,0.94263
MOF-801,160.70888,0.99506
MOF-303,73.70837,0.79311
LiCl@rGO-SA,123.11136,0.8545
SHPF,50.11717,0.89072
HMG,34.60944,0.96701
MOF-303,77.93273,0.81837
LiCl@rGO-SA,133.65169,0.88136
SHPF,55.63695,0.91511
HMG,41.06195,0.97736
MOF-303,82.21267,0.84677
LiCl@rGO-SA,144.04358,0.90506
SHPF,61.67888,0.93869
HMG,49.31516,0.98738
MOF-303,88.77155,0.88157
LiCl@rGO-SA,160.15514,0.9256
SHPF,69.95855,0.95728
HMG,61.2448,0.99172
MOF-303,95.71952,0.91042
SHPF,77.86527,0.96507
HMG,70.47338,0.99172
MOF-303,100.33297,0.93561
SHPF,86.66709,0.98007
HMG,78.27642,0.98938
MOF-303,106.11367,0.95805
SHPF,96.81156,0.98366
HMG,92.00675,0.98738
MOF-303,111.50529,0.96767
SHPF,106.95603,0.98366
HMG,104.4616,0.98938
MOF-303,117.34158,0.98004
SHPF,118.07019,0.99086
HMG,114.5155,0.98938
MOF-303,124.28955,0.9808
SHPF,128.7368,0.98726
HMG,124.64444,0.99172
MOF-303,132.34918,0.99286
SHPF,137.09107,0.98366
HMG,130.12157,0.99572
MOF-303,142.02075,0.99324
HMG,142.57641,0.99572
MOF-303,147.41237,0.9965
HMG,156.30675,0.99572
MOF-303,154.36033,0.998
HMG,166.88586,0.99572
HMG,178.36532,0.99572
HMG,188.94443,0.99572
