tiempo_h,ciclo,colectado_g_g,acumulado_g_g,acumulado_L_m2
0.33333,1,0.167,0.167,0.18787
0.66667,2,0.164,0.331,0.37238
1.0,3,0.168,0.499,0.56137
1.33333,4,0.163,0.662,0.74475
1.66667,5,0.164,0.826,0.92925
2.0,6,0.165,0.991,1.11488
2.33333,7,0.164,1.155,1.29937
2.66667,8,0.162,1.317,1.48163
3.0,9,0.164,1.481,1.66613
3.33333,10,0.16,1.641,1.84613
3.66667,11,0.158,1.799,2.02387
4.0,12,0.155,1.954,2.19825
4.33333,13,0.156,2.11,2.37375
4.66667,14,0.155,2.265,2.54813
5.0,15,0.154,2.419,2.72138
5.33333,16,0.157,2.576,2.898
5.66667,17,0.156,2.732,3.0735
6.0,18,0.155,2.887,3.24788
6.33333,19,0.158,3.045,3.42563
6.66667,20,0.159,3.204,3.6045
7.0,21,0.163,3.367,3.78788
7.33333,22,0.159,3.526,3.96675
7.66667,23,0.164,3.69,4.15125
8.0,24,0.165,3.855,4.33688
8.33333,25,0.169,4.024,4.527
8.66667,26,0.167,4.191,4.71488
9.0,27,0.164,4.355,4.89938
9.33333,28,0.162,4.517,5.08162
9.66667,29,0.16,4.677,5.26163
10.0,30,0.16,4.837,5.44163
10.33333,31,0.159,4.996,5.6205
10.66667,32,0.156,5.152,5.796
11.0,33,0.159,5.311,5.97487
11.33333,34,0.159,5.47,6.15375
11.66667,35,0.162,5.6,6.336
12.0,36,0.163,5.763,6.51938
12.33333,37,0.164,5.927,6.70388
12.66667,38,0.161,6.088,6.885
13.0,39,0.162,6.25,7.06725
13.33333,40,0.165,6.415,7.25288
13.66667,41,0.168,6.583,7.44187
14.0,42,0.17,6.753,7.63312
14.33333,43,0.167,6.92,7.821
14.66667,44,0.17,7.09,8.01225
15.0,45,0.174,7.264,8.208
15.33333,46,0.167,7.431,8.39588
15.66667,47,0.166,7.597,8.58263
16.0,48,0.171,7.768,8.775
16.33333,49,0.167,7.935,8.96288
16.66667,50,0.168,8.103,9.15188
17.0,51,0.17,8.273,9.34313
17.33333,52,0.169,8.442,9.53325
17.66667,53,0.167,8.609,9.72113
18.0,54,0.168,8.777,9.91013
18.33333,55,0.167,8.944,10.098
18.66667,56,0.164,9.108,10.2825
19.0,57,0.165,9.273,10.46813
19.33333,58,0.167,9.44,10.656
19.66667,59,0.169,9.609,10.84613
20.0,60,0.161,9.77,11.02725
20.33333,61,0.162,9.932,11.2095
20.66667,62,0.174,10.106,11.40525
21.0,63,0.17,10.276,11.5965
21.33333,64,0.173,10.449,11.79112
21.66667,65,0.172,10.621,11.98462
22.0,66,0.17,10.791,12.17588
22.33333,67,0.168,10.959,12.36488
22.66667,68,0.169,11.128,12.555
23.0,69,0.166,11.294,12.74175
23.33333,70,0.163,11.457,12.92513
23.66667,71,0.161,11.618,13.10625
24.0,72,0.16,11.778,13.28625
