modelo,tipo_top,familia,presion_pa,presion_hpa,tendencia_k_decada
MRI-ESM2-0,high-top,CMIP6,2000.0,20.0,-0.39613581514330254
MRI-ESM2-0,high-top,CMIP6,1000.0,10.0,-0.5774740370682976
MRI-ESM2-0,high-top,CMIP6,500.0,5.0,-0.5950105721243434
MRI-ESM2-0,high-top,CMIP6,100.0,1.0,-0.8547243974659573
IPSL-CM6A-LR,high-top,CMIP6,100000.0,1000.0,0.21968638529631238
IPSL-CM6A-LR,high-top,CMIP6,92500.0,925.0,0.23735811463257164
IPSL-CM6A-LR,high-top,CMIP6,85000.0,850.0,0.25329017104888896
IPSL-CM6A-LR,high-top,CMIP6,70000.0,700.0,0.2849290350906176
IPSL-CM6A-LR,high-top,CMIP6,60000.0,600.0,0.2857703628326357
IPSL-CM6A-LR,high-top,CMIP6,50000.0,500.0,0.32846736106552565
IPSL-CM6A-LR,high-top,CMIP6,40000.0,400.0,0.37241921304656395
IPSL-CM6A-LR,high-top,CMIP6,30000.0,300.0,0.38398883723412636
IPSL-CM6A-LR,high-top,CMIP6,25000.0,250.0,0.3424883503205962
IPSL-CM6A-LR,high-top,CMIP6,20000.0,200.0,0.22116922330456584
IPSL-CM6A-LR,high-top,CMIP6,15000.0,150.0,0.12405151880087867
IPSL-CM6A-LR,high-top,CMIP6,10000.0,100.0,-0.003650269922424226
IPSL-CM6A-LR,high-top,CMIP6,7000.0,70.0,-0.2935321284275493
IPSL-CM6A-LR,high-top,CMIP6,5000.0,50.0,-0.43666884478401036
IPSL-CM6A-LR,high-top,CMIP6,3000.0,30.0,-0.5157226647983494
IPSL-CM6A-LR,high-top,CMIP6,2000.0,20.0,-0.5216618813052606
IPSL-CM6A-LR,high-top,CMIP6,1000.0,10.0,-0.6039687725676272
IPSL-CM6A-LR,high-top,CMIP6,500.0,5.0,-0.7508921903722537
IPSL-CM6A-LR,high-top,CMIP6,100.0,1.0,-1.079920921005121
GISS-E2-1-H,high-top,CMIP6,100000.0,1000.0,0.26568237077326734
GISS-E2-1-H,high-top,CMIP6,92500.0,925.0,0.26807185053844507
GISS-E2-1-H,high-top,CMIP6,85000.0,850.0,0.26979467460249923
GISS-E2-1-H,high-top,CMIP6,70000.0,700.0,0.27279192491982457
GISS-E2-1-H,high-top,CMIP6,60000.0,600.0,0.27188612573320287
GISS-E2-1-H,high-top,CMIP6,50000.0,500.0,0.29420663427830535
GISS-E2-1-H,high-top,CMIP6,40000.0,400.0,0.31719617224582963
GISS-E2-1-H,high-top,CMIP6,30000.0,300.0,0.3061736789563041
GISS-E2-1-H,high-top,CMIP6,25000.0,250.0,0.25940851509964785
GISS-E2-1-H,high-top,CMIP6,20000.0,200.0,0.17196962185165632
GISS-E2-1-H,high-top,CMIP6,15000.0,150.0,0.08117818160485349
GISS-E2-1-H,high-top,CMIP6,10000.0,100.0,-0.05834085615993638
GISS-E2-1-H,high-top,CMIP6,7000.0,70.0,-0.2693290596287807
GISS-E2-1-H,high-top,CMIP6,5000.0,50.0,-0.4196908002338132
GISS-E2-1-H,high-top,CMIP6,3000.0,30.0,-0.4609788393887274
GISS-E2-1-H,high-top,CMIP6,2000.0,20.0,-0.5422334263647637
GISS-E2-1-H,high-top,CMIP6,1000.0,10.0,-0.6557679303333864
GISS-E2-1-H,high-top,CMIP6,500.0,5.0,-0.8047248817822351
GISS-E2-1-H,high-top,CMIP6,100.0,1.0,-1.1246254090209888
GISS-E2-1-G,high-top,CMIP6,100000.0,1000.0,0.19634832693213866
GISS-E2-1-G,high-top,CMIP6,92500.0,925.0,0.21401505861635164
GISS-E2-1-G,high-top,CMIP6,85000.0,850.0,0.2209858048736163
GISS-E2-1-G,high-top,CMIP6,70000.0,700.0,0.2260735027898259
GISS-E2-1-G,high-top,CMIP6,60000.0,600.0,0.24735698920000285
GISS-E2-1-G,high-top,CMIP6,50000.0,500.0,0.2733118391746703
GISS-E2-1-G,high-top,CMIP6,40000.0,400.0,0.30335778100120975
GISS-E2-1-G,high-top,CMIP6,30000.0,300.0,0.29957069724834445
GISS-E2-1-G,high-top,CMIP6,25000.0,250.0,0.2559962690485708
GISS-E2-1-G,high-top,CMIP6,20000.0,200.0,0.16317755307136678
GISS-E2-1-G,high-top,CMIP6,15000.0,150.0,0.07998684305504081
GISS-E2-1-G,high-top,CMIP6,10000.0,100.0,-0.05853170685228933
GISS-E2-1-G,high-top,CMIP6,7000.0,70.0,-0.28952499349858607
GISS-E2-1-G,high-top,CMIP6,5000.0,50.0,-0.42611435273550813
GISS-E2-1-G,high-top,CMIP6,3000.0,30.0,-0.4510351798768667
GISS-E2-1-G,high-top,CMIP6,2000.0,20.0,-0.5260182446671423
GISS-E2-1-G,high-top,CMIP6,1000.0,10.0,-0.6350024926145486
GISS-E2-1-G,high-top,CMIP6,500.0,5.0,-0.7820032673761891
GISS-E2-1-G,high-top,CMIP6,100.0,1.0,-1.1036024040627248
INM-CM5-0,high-top,CMIP6,100000.0,1000.0,0.20115599607204204
INM-CM5-0,high-top,CMIP6,92500.0,925.0,0.19733253645784038
INM-CM5-0,high-top,CMIP6,85000.0,850.0,0.20760321891472314
INM-CM5-0,high-top,CMIP6,70000.0,700.0,0.22225982416138393
INM-CM5-0,high-top,CMIP6,60000.0,600.0,0.2351194280767122
INM-CM5-0,high-top,CMIP6,50000.0,500.0,0.2537791190563294
INM-CM5-0,high-top,CMIP6,40000.0,400.0,0.26278455323912286
INM-CM5-0,high-top,CMIP6,30000.0,300.0,0.24592974975863002
INM-CM5-0,high-top,CMIP6,25000.0,250.0,0.2101708237448709
INM-CM5-0,high-top,CMIP6,20000.0,200.0,0.14644477515009885
INM-CM5-0,high-top,CMIP6,15000.0,150.0,0.0938165864964127
INM-CM5-0,high-top,CMIP6,10000.0,100.0,-0.013781642109768814
INM-CM5-0,high-top,CMIP6,7000.0,70.0,-0.17590906578551915
INM-CM5-0,high-top,CMIP6,5000.0,50.0,-0.20702984579241845
INM-CM5-0,high-top,CMIP6,3000.0,30.0,-0.3714113405974914
INM-CM5-0,high-top,CMIP6,2000.0,20.0,-0.47869274059965883
INM-CM5-0,high-top,CMIP6,1000.0,10.0,-0.671034680553966
INM-CM5-0,high-top,CMIP6,500.0,5.0,-0.7412078545029219
INM-CM5-0,high-top,CMIP6,100.0,1.0,-1.204005107975876
CESM2-WACCM,high-top,CMIP6,100000.0,1000.0,0.20984785147245025
CESM2-WACCM,high-top,CMIP6,92500.0,925.0,0.27609245421446243
CESM2-WACCM,high-top,CMIP6,85000.0,850.0,0.29714247905847846
CESM2-WACCM,high-top,CMIP6,70000.0,700.0,0.2966338084609347
CESM2-WACCM,high-top,CMIP6,60000.0,600.0,0.2933386464638361
CESM2-WACCM,high-top,CMIP6,50000.0,500.0,0.31426726190811716
CESM2-WACCM,high-top,CMIP6,40000.0,400.0,0.33921120717953995
CESM2-WACCM,high-top,CMIP6,30000.0,300.0,0.3285919618832461
CESM2-WACCM,high-top,CMIP6,25000.0,250.0,0.28516869527146377
CESM2-WACCM,high-top,CMIP6,20000.0,200.0,0.21344059019469552
CESM2-WACCM,high-top,CMIP6,15000.0,150.0,0.15355123050279887
CESM2-WACCM,high-top,CMIP6,10000.0,100.0,0.04989803205107091
CESM2-WACCM,high-top,CMIP6,7000.0,70.0,-0.180749118686261
CESM2-WACCM,high-top,CMIP6,5000.0,50.0,-0.39695863813666876
CESM2-WACCM,high-top,CMIP6,3000.0,30.0,-0.5338341977143367
CESM2-WACCM,high-top,CMIP6,2000.0,20.0,-0.5923438131763957
CESM2-WACCM,high-top,CMIP6,1000.0,10.0,-0.6660861241395026
CESM2-WACCM,high-top,CMIP6,500.0,5.0,-0.7644885328828679
CESM2-WACCM,high-top,CMIP6,100.0,1.0,-1.1215228761629876
MPI-ESM1-2-HR,high-top,CMIP6,100000.0,1000.0,0.17577105654199476
MPI-ESM1-2-HR,high-top,CMIP6,92500.0,925.0,0.1726313161605941
MPI-ESM1-2-HR,high-top,CMIP6,85000.0,850.0,0.1757194115120975
MPI-ESM1-2-HR,high-top,CMIP6,70000.0,700.0,0.2004824185324368
MPI-ESM1-2-HR,high-top,CMIP6,60000.0,600.0,0.1990575508910519
MPI-ESM1-2-HR,high-top,CMIP6,50000.0,500.0,0.22436448713545
MPI-ESM1-2-HR,high-top,CMIP6,40000.0,400.0,0.2578210146542522
MPI-ESM1-2-HR,high-top,CMIP6,30000.0,300.0,0.2643952383807866
MPI-ESM1-2-HR,high-top,CMIP6,25000.0,250.0,0.21938870644931013
MPI-ESM1-2-HR,high-top,CMIP6,20000.0,200.0,0.10836912416981409
MPI-ESM1-2-HR,high-top,CMIP6,15000.0,150.0,0.07229040093717687
MPI-ESM1-2-HR,high-top,CMIP6,10000.0,100.0,-0.015281751290081323
MPI-ESM1-2-HR,high-top,CMIP6,7000.0,70.0,-0.29776658337265394
MPI-ESM1-2-HR,high-top,CMIP6,5000.0,50.0,-0.45224880840505544
MPI-ESM1-2-HR,high-top,CMIP6,3000.0,30.0,-0.513401101988633
MPI-ESM1-2-HR,high-top,CMIP6,2000.0,20.0,-0.5227770288213617
MPI-ESM1-2-HR,high-top,CMIP6,1000.0,10.0,-0.5614771000842964
MPI-ESM1-2-HR,high-top,CMIP6,500.0,5.0,-0.7089808736470932
MPI-ESM1-2-HR,high-top,CMIP6,100.0,1.0,-0.9831486836691485
