sst_k,erf_w_m2,irf_w_m2,ajuste_estratosferico_w_m2,pct_amplificacion
247,-2.2668922772116993,-0.783562003248406,-1.4833302739632934,189.30604952943918
257,-2.6655842862304615,-1.2403064206974639,-1.4252778655329976,114.91336670913293
267,-3.109379177905493,-1.7007228334226332,-1.40865634448286,82.82692022473752
277,-3.5852704190108704,-2.111463781808811,-1.4738066372020593,69.80023289528106
287,-4.017413966616071,-2.3742516648364536,-1.6431623017796175,69.20758764184352
297,-4.235259091425603,-2.5125079161553336,-1.7227511752702696,68.5669949214107
307,-3.938879034029177,-2.572923111559544,-1.3659559224696327,53.089651856781536
