perturbacion,factor_co2,erf_w_m2,irf_w_m2,ajuste_estratosferico_w_m2,pct_amplificacion
halfPI,0.5,-3.627770746407241,-2.150285363835033,-1.4774853825722079,68.7111305048886
quarterPI,0.25,-3.231701781531335,-2.024404482119096,-1.207297299412239,59.637157992678944
2xPI,2.0,-4.274745520216365,-2.6240764209903413,-1.650669099226024,62.90476474016149
4xPI,4.0,-4.661860663483998,-2.8951710981683365,-1.7666895653156618,61.02193982363868
