id,median_langs,ci_low,ci_high,n_draws
loose lognormal unweighted,6053.0,4295.0,8431.0,2700
loose lognormal weighted,5881.0,4174.0,8121.0,2700
loose weibull unweighted,5772.0,4123.0,7891.0,2700
loose weibull weighted,5100.0,3711.0,6841.0,2700
tight lognormal unweighted,5690.0,4044.0,7703.0,2700
tight lognormal weighted,4568.0,3238.0,6418.0,2700
tight weibull unweighted,5623.0,3974.0,7780.0,2700
tight weibull weighted,3980.0,2888.0,5407.0,2700
