id,Distribution,Upper,Weight,n_languages
tight weibull weighted,weibull,tight,weighted,4543.0
tight weibull weighted,weibull,tight,weighted,4493.0
tight weibull weighted,weibull,tight,weighted,4735.0
tight weibull weighted,weibull,tight,weighted,4836.0
tight weibull weighted,weibull,tight,weighted,4670.0
tight weibull weighted,weibull,tight,weighted,4897.0
tight weibull weighted,weibull,tight,weighted,4854.0
tight weibull weighted,weibull,tight,weighted,4974.0
tight weibull weighted,weibull,tight,weighted,3063.0
tight weibull weighted,weibull,tight,weighted,3218.0
tight weibull weighted,weibull,tight,weighted,3196.0
tight weibull weighted,weibull,tight,weighted,3437.0
tight weibull weighted,weibull,tight,weighted,3471.0
tight weibull weighted,weibull,tight,weighted,3391.0
tight weibull weighted,weibull,tight,weighted,3510.0
tight weibull weighted,weibull,tight,weighted,3643.0
tight weibull weighted,weibull,tight,weighted,3751.0
tight weibull weighted,weibull,tight,weighted,3923.0
tight weibull weighted,weibull,tight,weighted,3726.0
tight weibull weighted,weibull,tight,weighted,3918.0
tight weibull weighted,weibull,tight,weighted,3991.0
tight weibull weighted,weibull,tight,weighted,4063.0
tight weibull weighted,weibull,tight,weighted,4106.0
tight weibull weighted,weibull,tight,weighted,4210.0
tight weibull weighted,weibull,tight,weighted,4318.0
tight weibull weighted,weibull,tight,weighted,4365.0
tight weibull weighted,weibull,tight,weighted,4426.0
tight weibull weighted,weibull,tight,weighted,4395.0
tight weibull weighted,weibull,tight,weighted,4588.0
tight weibull weighted,weibull,tight,weighted,4620.0
tight weibull weighted,weibull,tight,weighted,4719.0
tight weibull weighted,weibull,tight,weighted,4855.0
tight weibull weighted,weibull,tight,weighted,4931.0
tight weibull weighted,weibull,tight,weighted,4961.0
tight weibull weighted,weibull,tight,weighted,4881.0
tight weibull weighted,weibull,tight,weighted,3499.0
tight weibull weighted,weibull,tight,weighted,3762.0
tight weibull weighted,weibull,tight,weighted,3738.0
tight weibull weighted,weibull,tight,weighted,3924.0
tight weibull weighted,weibull,tight,weighted,3908.0
tight weibull weighted,weibull,tight,weighted,3995.0
tight weibull weighted,weibull,tight,weighted,4227.0
tight weibull weighted,weibull,tight,weighted,4133.0
tight weibull weighted,weibull,tight,weighted,4152.0
tight weibull weighted,weibull,tight,weighted,4264.0
tight weibull weighted,weibull,tight,weighted,4439.0
tight weibull weighted,weibull,tight,weighted,4441.0
tight weibull weighted,weibull,tight,weighted,4518.0
tight weibull weighted,weibull,tight,weighted,4673.0
tight weibull weighted,weibull,tight,weighted,4677.0
tight weibull weighted,weibull,tight,weighted,4886.0
tight weibull weighted,weibull,tight,weighted,5129.0
tight weibull weighted,weibull,tight,weighted,5047.0
tight weibull weighted,weibull,tight,weighted,5027.0
tight weibull weighted,weibull,tight,weighted,5165.0
tight weibull weighted,weibull,tight,weighted,5328.0
tight weibull weighted,weibull,tight,weighted,5301.0
tight weibull weighted,weibull,tight,weighted,5325.0
tight weibull weighted,weibull,tight,weighted,5589.0
tight weibull weighted,weibull,tight,weighted,5603.0
tight weibull weighted,weibull,tight,weighted,5813.0
tight weibull weighted,weibull,tight,weighted,5725.0
tight weibull weighted,weibull,tight,weighted,2717.0
tight weibull weighted,weibull,tight,weighted,2714.0
tight weibull weighted,weibull,tight,weighted,2816.0
tight weibull weighted,weibull,tight,weighted,2867.0
tight weibull weighted,weibull,tight,weighted,2921.0
tight weibull weighted,weibull,tight,weighted,2995.0
tight weibull weighted,weibull,tight,weighted,3085.0
tight weibull weighted,weibull,tight,weighted,3153.0
tight weibull weighted,weibull,tight,weighted,3211.0
tight weibull weighted,weibull,tight,weighted,3189.0
tight weibull weighted,weibull,tight,weighted,3255.0
tight weibull weighted,weibull,tight,weighted,3336.0
tight weibull weighted,weibull,tight,weighted,3441.0
tight weibull weighted,weibull,tight,weighted,3491.0
tight weibull weighted,weibull,tight,weighted,3587.0
tight weibull weighted,weibull,tight,weighted,3599.0
tight weibull weighted,weibull,tight,weighted,3660.0
tight weibull weighted,weibull,tight,weighted,3783.0
tight weibull weighted,weibull,tight,weighted,3848.0
tight weibull weighted,weibull,tight,weighted,3816.0
tight weibull weighted,weibull,tight,weighted,3976.0
tight weibull weighted,weibull,tight,weighted,3990.0
tight weibull weighted,weibull,tight,weighted,4049.0
tight weibull weighted,weibull,tight,weighted,4147.0
tight weibull weighted,weibull,tight,weighted,4115.0
tight weibull weighted,weibull,tight,weighted,4191.0
tight weibull weighted,weibull,tight,weighted,4327.0
tight weibull weighted,weibull,tight,weighted,2974.0
tight weibull weighted,weibull,tight,weighted,2937.0
tight weibull weighted,weibull,tight,weighted,3050.0
tight weibull weighted,weibull,tight,weighted,3088.0
