phylum,n_mags
Chlorophyta,50
Haptophyta,34
Choanozoa,17
Miozoa,13
Ochrophyta,13
Cryptophyta,3
Bigyra,2
Ciliophora,1
Cercozoa,1
Arthropoda,1
