dominio,phylum,n_genomas
Bacteria,Pseudomonadota,12368
Bacteria,Actinomycetota,5337
Bacteria,Bacillota_A,2122
Bacteria,Bacteroidota,1703
Bacteria,Bacillota,1411
Bacteria,Chloroflexota,747
Bacteria,Verrucomicrobiota,578
Bacteria,Cyanobacteriota,499
Bacteria,Planctomycetota,450
Bacteria,Acidobacteriota,400
Bacteria,Desulfobacterota,335
Archaea,Thermoproteota,280
Archaea,Halobacteriota,262
Bacteria,Myxococcota,246
Archaea,Thermoplasmatota,218
Bacteria,Spirochaetota,200
Bacteria,Nitrospirota,157
Bacteria,Campylobacterota,156
Bacteria,Bacillota_B,151
Bacteria,Bacillota_C,134
Bacteria,Deinococcota,113
Bacteria,Bdellovibrionota,112
Bacteria,Patescibacteria,102
Bacteria,Omnitrophota,101
Archaea,Asgardarchaeota,99
Bacteria,Gemmatimonadota,96
Bacteria,Desulfobacterota_F,74
Bacteria,Desulfobacterota_B,68
Bacteria,Synergistota,59
Bacteria,Fusobacteriota,58
Bacteria,Armatimonadota,58
Bacteria,Bacillota_G,53
Bacteria,Bacillota_E,46
Bacteria,Thermotogota,42
Bacteria,Fibrobacterota,41
Bacteria,Methylomirabilota,38
Archaea,Nanoarchaeota,37
Bacteria,Cloacimonadota,34
Bacteria,Marinisomatota,32
Archaea,Methanobacteriota_B,32
Bacteria,Bacillota_D,31
Bacteria,Eremiobacterota,29
Bacteria,Dormibacterota,27
Bacteria,Chlamydiota,25
Bacteria,WOR-3,25
Bacteria,Elusimicrobiota,22
Bacteria,Margulisbacteria,21
Bacteria,SZUA-79,21
Bacteria,Zixibacteria,20
Bacteria,SAR324,20
Bacteria,Hydrogenedentota,20
Bacteria,Bacillota_F,20
Bacteria,Poribacteria,17
Archaea,Iainarchaeota,16
Archaea,Aenigmatarchaeota,16
Bacteria,Atribacterota,15
Bacteria,KSB1,15
Bacteria,UBA10199,14
Bacteria,Deferribacterota,12
Bacteria,Myxococcota_A,11
Bacteria,Dependentiae,10
Bacteria,Bipolaricaulota,10
Bacteria,Nitrospinota,10
Bacteria,AABM5-125-24,10
Archaea,Methanobacteriota,10
Bacteria,CSP1-3,8
Bacteria,Krumholzibacteriota,8
Bacteria,Eisenbacteria,8
Bacteria,Sumerlaeota,7
Bacteria,Ratteibacteria,7
Bacteria,JAAXHH01,7
Bacteria,Calditrichota,7
Bacteria,DTU030,6
Archaea,Micrarchaeota,6
Bacteria,Desulfobacterota_G,5
Bacteria,Fermentibacterota,5
Bacteria,Latescibacterota,5
Bacteria,FEN-1099,5
Bacteria,Coprothermobacterota,5
Bacteria,Caldisericota,5
Bacteria,Desulfobacterota_E,5
Bacteria,Desulfobacterota_D,4
Bacteria,FCPU426,4
Bacteria,JAMCPX01,4
Archaea,Hydrothermarchaeota,4
Bacteria,Moduliflexota,3
Bacteria,Firestonebacteria,3
Bacteria,Riflebacteria,3
Bacteria,UBA6262,3
Bacteria,Abyssobacteria,3
Bacteria,Bacillota_H,3
Bacteria,CLD3,3
Bacteria,Delongbacteria,3
Bacteria,UBA3054,3
Bacteria,Lindowbacteria,2
Bacteria,JdFR-76,2
Bacteria,Wallbacteria,2
Bacteria,UBA8248,2
Bacteria,UBP17,2
Bacteria,Goldbacteria,2
Bacteria,Tectomicrobia,2
Bacteria,TA06,2
Bacteria,DUMJ01,2
Bacteria,Thermosulfidibacterota,2
Bacteria,JACPWU01,2
Bacteria,CSSED10-310,2
Bacteria,JACRDZ01,2
Bacteria,JAHJDO01,2
Bacteria,JAAXVQ01,2
Bacteria,ARS69,2
Bacteria,OLB16,2
Bacteria,4484-113,2
Bacteria,Thermodesulfobiota,2
Bacteria,JANLFM01,2
Bacteria,Dictyoglomota,2
Bacteria,RBG-13-61-14,2
Bacteria,CG2-30-53-67,2
Archaea,Altiarchaeota,2
Archaea,Hadarchaeota,2
Bacteria,RBG-13-66-14,1
Bacteria,CG2-30-70-394,1
Bacteria,Edwardsbacteria,1
Bacteria,UBP15,1
Bacteria,GCA-2686955,1
Bacteria,PUNC01,1
Bacteria,Schekmanbacteria,1
Bacteria,4572-55,1
Bacteria,JACPQY01,1
Bacteria,Desulfobacterota_C,1
Bacteria,JADJOY01,1
Bacteria,HKB111,1
Bacteria,AUK180,1
Bacteria,JAJYCY01,1
Bacteria,Nitrospirota_A,1
Bacteria,CAIJMQ01,1
Bacteria,JAJRZV01,1
Bacteria,SZUA-182,1
Bacteria,Aquificota,1
Archaea,B1Sed10-29,1
Archaea,Nanohaloarchaeota,1
