oceano,n_mags
Mediterranean Sea,24
Atlantic Ocean North,22
Pacific Ocean South West,20
Arctic Ocean,19
Pacific Ocean South East,14
Indian Ocean North,8
Pacific Ocean North,8
Southern Ocean,8
Atlantic Ocean South,6
Indian Ocean South,4
Red Sea,2
