genome_id,oceano,fuente,reino,phylum,clase,orden,familia,genero,especie,culturable
TARA_AON_82_MAG_00012,Atlantic Ocean North,MAG,Plantae,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,Ostreococcus,NO
TARA_AON_82_MAG_00097,Atlantic Ocean North,MAG,Plantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas,NO
TARA_AON_82_MAG_00118,Atlantic Ocean North,MAG,Plantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas,NO
TARA_AON_82_MAG_00137,Atlantic Ocean North,MAG,Chromista,Miozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,NA,NO
TARA_AON_82_MAG_00160,Atlantic Ocean North,MAG,Chromista,Miozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,NA,NO
TARA_AON_82_MAG_00189,Atlantic Ocean North,MAG,Plantae,Chlorophyta,Pyramimonadophyceae,Pseudoscourfieldiales,Pycnococcaceae,Pycnococcus,Pycnococcus,NO
TARA_AON_82_MAG_00198,Atlantic Ocean North,MAG,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellales_incertae_sedis,Picochlorum,Picochlorum,NO
TARA_AON_82_MAG_00229,Atlantic Ocean North,MAG,Plantae,Chlorophyta,Pyramimonadophyceae,Pseudoscourfieldiales,Pycnococcaceae,Pycnococcus,NA,NO
TARA_AON_82_MAG_00271,Atlantic Ocean North,MAG,Plantae,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus,NO
TARA_AON_82_MAG_00272,Atlantic Ocean North,MAG,Chromista,Miozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,NA,NO
TARA_AON_82_MAG_00275,Atlantic Ocean North,MAG,Chromista,Miozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,NA,NO
TARA_AON_82_MAG_00281,Atlantic Ocean North,MAG,Chromista,Miozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,NA,NO
TARA_AON_82_MAG_00283,Atlantic Ocean North,MAG,Chromista,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,NA,NO
TARA_AON_82_MAG_00300,Atlantic Ocean North,MAG,Plantae,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,NA,NO
