muestra,gradiente_estructural_um_inv,concentracion_aditivo_mg_L,grain_size_nm,grain_size_err_nm,domain_size_nm
GSD-42,42,25,80,2,3.1
GSD-68,68,30,71,3,3.3
GSD-113,113,35,60,3,3.0
