muestra,tiempo_horas,hardness_gpa,hardness_err_gpa
GSD-113,2,2.75,0.10
GSD-113,24,2.75,0.10
GSD-113,168,2.70,0.10
GSD-113,720,2.65,0.10
NG,2,1.95,0.20
NG,24,1.10,0.10
NG,168,1.05,0.10
NG,720,1.05,0.10
