water_year,Q_mean_m3s,Q_max_m3s,Q_min_m3s,n_days
1911,11.5534,71.9248,0.9911,365
1912,12.1598,89.4812,1.5574,366
1913,8.1269,43.0416,0.538,365
1914,14.1776,94.5783,2.1238,365
1915,8.7857,43.3248,1.9822,365
1916,14.1125,86.6495,1.5574,366
1917,12.8963,100.2416,1.3309,365
1918,13.2312,141.5842,1.3309,365
1919,8.2146,48.4218,1.1044,365
1920,15.421,109.5862,1.699,366
1921,11.7482,59.4654,1.699,365
1922,8.7175,36.8119,1.6424,365
1923,12.5184,68.5595,1.5325,365
1924,11.3648,74.2563,1.5707,366
1925,9.8484,58.2743,1.4063,365
1926,10.7485,65.6871,1.4812,365
1927,12.353,69.3077,1.3821,365
1928,11.9613,80.6292,1.5648,366
1929,11.5909,64.7765,1.4645,365
1930,10.8031,65.0745,1.3821,365
1931,6.4195,40.7721,1.1592,365
1932,10.2146,56.4262,1.3921,366
1933,9.1689,67.5168,1.3584,365
1934,6.8499,35.457,1.271,365
1935,9.6552,72.7743,0.8495,365
1936,11.6036,69.0931,1.0194,366
1937,8.1456,58.3327,1.3592,365
1938,10.7904,69.3763,1.5291,365
1939,7.1514,41.0594,1.3026,365
1940,5.2535,31.998,0.5663,366
1941,9.4901,77.305,1.1893,365
1942,9.0791,60.3149,1.161,365
1943,9.6507,59.1822,1.3592,365
1944,9.0581,53.802,1.2459,366
1945,8.4823,48.1386,1.1893,365
1946,7.5887,50.404,1.3592,365
1947,10.5879,54.6515,1.2176,365
1948,10.9132,82.6852,1.6424,366
1949,9.5589,72.7743,1.5291,365
1950,8.5956,47.006,1.4725,365
1951,9.1853,66.8278,1.2459,365
1952,13.7997,96.5604,1.3026,366
1953,7.8525,74.1901,1.3592,365
1954,4.9416,30.299,1.2743,365
1955,6.876,37.6614,1.1044,365
1956,7.9429,58.6159,1.161,366
1957,16.222,108.1703,0.9911,365
1958,10.0186,73.907,1.5574,365
1959,6.0405,41.9089,1.1044,365
1960,7.2743,42.4753,1.2176,366
1961,6.0343,41.9089,1.1327,365
1962,12.4841,67.9604,1.699,365
1963,5.3375,36.5287,0.9061,365
1964,6.8258,50.9703,1.0194,366
1965,13.6151,75.3228,1.2743,365
1966,6.954,37.3782,1.4158,365
1967,8.6232,56.0674,1.4158,365
1968,9.4111,67.3941,1.4442,366
1969,9.8242,52.9525,1.3026,365
1970,10.9323,64.5624,1.5008,365
1971,9.7067,53.802,1.4442,365
1972,7.2903,46.1565,1.6424,366
1973,9.8713,63.7129,1.2176,365
1974,8.2051,45.307,1.2459,365
1975,10.0995,58.6159,0.8212,365
1976,6.6415,36.5287,0.9345,366
1977,2.9496,14.838,0.9911,365
1978,10.977,79.8535,1.0477,365
1979,12.2635,87.7822,1.3592,365
1980,11.7936,79.2872,1.3592,366
1981,4.5673,32.2812,1.3309,365
1982,9.629,50.404,1.2743,365
1983,10.8353,70.5089,1.5857,365
1984,15.1547,104.7723,1.5008,366
1985,12.2953,82.6852,1.8972,365
1986,14.2876,79.5703,2.1521,365
1987,9.3256,48.4218,1.9822,365
1988,6.0981,37.9446,1.4442,366
1989,7.4232,36.5287,1.1327,365
1990,5.2716,42.4753,1.1327,365
1991,7.9914,48.1386,1.1327,365
1992,6.3997,31.7149,1.4158,366
1993,13.1044,72.7743,1.2176,365
1994,8.0425,50.1208,1.4158,365
1995,16.2519,113.8337,1.1044,365
1996,11.4529,78.4377,1.4725,366
1997,13.3666,85.2337,0.8778,365
1998,7.916,41.9089,1.5291,365
1999,9.1703,44.7406,1.3875,365
2000,7.2456,45.5901,1.4725,366
2001,6.7182,37.9446,1.2459,365
2002,4.0004,19.2838,0.8976,365
2003,7.0853,67.1109,1.0534,365
2004,6.4286,33.4139,1.4895,366
2005,9.2179,58.6159,1.2544,365
2006,9.0058,51.8198,1.6905,365
2007,7.4058,33.9802,1.6452,365
2008,12.172,76.7386,1.3224,366
2009,9.9791,62.0139,1.2856,365
2010,7.4047,65.4119,1.3989,365
2011,13.0973,73.0575,1.481,365
2012,3.9549,16.1406,0.9883,366
2013,5.7122,35.6792,1.0562,365
2014,11.4702,74.1901,1.5291,365
2015,9.0771,68.2436,1.4725,365
2016,7.6937,53.2357,1.3026,366
2017,11.916,72.208,1.2629,365
2018,4.3641,23.2481,0.9231,365
2019,12.5459,79.8535,0.9231,365
2020,5.8711,41.0594,1.4017,366
2021,4.2289,29.7327,0.9911,365
2022,7.4651,47.006,1.1751,365
2023,11.3806,59.7485,1.379,365
2024,10.4653,68.5268,1.0251,305
