lab_on_disc_ng_ml,lod_err,plate_elisa_ng_ml,plate_err
0.573,0.333,0.717,0.199
3.477,0.396,2.75,0.384
7.199,0.802,8.402,0.659
9.561,0.018,12.442,0.137
12.955,1.436,14.906,0.22
1.657,0.203,3.221,0.75
1.716,0.331,1.283,0.573
0.664,0.098,0.579,0.076
1.181,0.467,1.301,0.183
1.375,0.215,1.626,0.227
0.103,0.095,1.177,0.151
0.233,0.079,2.316,0.363
0.833,0.163,1.289,0.026
0.581,0.806,3.005,0.043
