folate_ng_ml,charge_uc,error
0.5,-13.848,1.483
1.5,-11.206,2.099
4.5,-7.719,1.766
13.5,-4.404,1.299
40.5,-2.953,0.572
121.5,-1.043,0.339
200,-0.695,0.376
