condicion,capacidad_irreversible_mAhg,eficiencia_coulombica_pct
LLO-0.2/0.2,79.01,76.6
LLO-2/0.2,33.81,86.4
LLO-0.2/2,93.93,72.2
LLO-2/2,55.8,77.6
