condicion,ciclo,capacidad_mAhg,desviacion_std
LLO-0.2/0.2,1,220.988,2.9
LLO-0.2/0.2,2,217.663,2.637
LLO-0.2/0.2,3,215.425,2.751
LLO-0.2/0.2,4,214.03,2.703
LLO-0.2/0.2,5,212.784,2.965
LLO-0.2/0.2,6,211.717,2.625
LLO-0.2/0.2,7,210.915,2.159
LLO-0.2/0.2,8,209.813,2.516
LLO-0.2/0.2,9,209.023,2.871
LLO-0.2/0.2,10,208.607,3.147
LLO-0.2/0.2,11,207.84,3.014
LLO-0.2/0.2,12,207.36,3.013
LLO-0.2/0.2,13,206.666,3.25
LLO-0.2/0.2,14,206.182,3.116
LLO-0.2/0.2,15,205.687,2.917
LLO-0.2/0.2,16,205.534,2.582
LLO-0.2/0.2,17,205.151,3.326
LLO-0.2/0.2,18,204.698,2.823
LLO-0.2/0.2,19,204.561,3.181
LLO-0.2/0.2,20,204.274,2.706
LLO-0.2/0.2,21,203.534,3.417
LLO-0.2/0.2,22,203.156,2.892
LLO-0.2/0.2,23,202.394,3.406
LLO-0.2/0.2,24,203.039,3.355
LLO-0.2/0.2,25,202.683,3.627
LLO-0.2/0.2,26,202.636,3.227
LLO-0.2/0.2,27,202.372,2.943
LLO-0.2/0.2,28,202.187,3.309
LLO-0.2/0.2,29,202.226,3.178
LLO-0.2/0.2,30,201.742,3.288
LLO-0.2/0.2,31,201.822,3.078
LLO-0.2/0.2,32,201.629,3.266
LLO-0.2/0.2,33,201.327,3.271
LLO-0.2/0.2,34,201.418,3.253
LLO-0.2/0.2,35,201.376,3.046
LLO-0.2/0.2,36,201.19,2.921
LLO-0.2/0.2,37,201.332,3.141
LLO-0.2/0.2,38,200.789,3.385
LLO-0.2/0.2,39,200.687,3.279
LLO-0.2/0.2,40,200.628,3.412
LLO-0.2/0.2,41,200.424,3.398
LLO-0.2/0.2,42,200.354,3.162
LLO-0.2/0.2,43,200.43,3.554
LLO-0.2/0.2,44,200.302,2.883
LLO-0.2/0.2,45,200.126,3.684
LLO-0.2/0.2,46,199.821,3.067
LLO-0.2/0.2,47,200.212,3.167
LLO-0.2/0.2,48,199.831,3.297
LLO-0.2/0.2,49,199.858,3.462
LLO-0.2/0.2,50,199.945,3.447
LLO-0.2/0.2,51,199.475,3.412
LLO-0.2/0.2,52,199.711,3.363
LLO-0.2/0.2,53,199.605,3.066
LLO-0.2/0.2,54,199.412,3.578
LLO-0.2/0.2,55,199.59,3.613
LLO-0.2/0.2,56,199.199,2.785
LLO-0.2/0.2,57,199.191,3.668
LLO-0.2/0.2,58,199.043,3.155
LLO-0.2/0.2,59,199.164,3.198
LLO-0.2/0.2,60,198.911,3.881
LLO-0.2/0.2,61,198.543,3.42
LLO-0.2/0.2,62,199.295,3.51
LLO-0.2/0.2,63,199.115,3.149
LLO-0.2/0.2,64,198.56,3.385
LLO-0.2/0.2,65,198.638,3.534
LLO-0.2/0.2,66,198.545,3.737
LLO-0.2/0.2,67,198.486,3.515
LLO-0.2/0.2,68,198.676,3.539
LLO-0.2/0.2,69,198.588,3.14
LLO-0.2/0.2,70,198.692,3.523
LLO-0.2/0.2,71,198.598,3.428
LLO-0.2/0.2,72,198.574,3.66
LLO-0.2/0.2,73,198.168,3.057
LLO-0.2/0.2,74,198.165,3.415
LLO-0.2/0.2,75,198.222,3.212
LLO-0.2/0.2,76,198.287,3.126
LLO-0.2/0.2,77,198.572,3.755
LLO-0.2/0.2,78,198.064,3.43
LLO-0.2/0.2,79,198.64,3.576
LLO-0.2/0.2,80,198.359,3.876
LLO-0.2/0.2,81,198.283,3.68
LLO-0.2/0.2,82,198.273,3.882
LLO-0.2/0.2,83,198.291,3.652
LLO-0.2/0.2,84,198.071,3.508
LLO-0.2/0.2,85,198.072,3.49
LLO-0.2/0.2,86,197.988,3.872
LLO-0.2/0.2,87,198.004,3.973
LLO-0.2/0.2,88,197.737,3.664
LLO-0.2/0.2,89,197.493,3.653
LLO-0.2/0.2,90,197.747,4.003
LLO-0.2/0.2,91,197.632,3.693
LLO-0.2/0.2,92,198.005,3.758
LLO-0.2/0.2,93,197.745,4.01
LLO-0.2/0.2,94,197.508,4.087
LLO-0.2/0.2,95,197.753,3.618
LLO-0.2/0.2,96,197.603,3.151
LLO-0.2/0.2,97,197.789,3.856
LLO-0.2/0.2,98,198.006,3.907
LLO-0.2/0.2,99,197.672,3.494
LLO-0.2/0.2,100,197.904,3.596
LLO-0.2/0.2,101,197.79,3.994
LLO-0.2/0.2,102,197.882,3.477
LLO-0.2/0.2,103,197.825,3.808
LLO-0.2/0.2,104,197.466,3.693
LLO-0.2/0.2,105,197.45,3.946
LLO-0.2/0.2,106,197.741,3.591
LLO-0.2/0.2,107,197.617,3.711
LLO-0.2/0.2,108,197.611,4.056
LLO-0.2/0.2,109,197.652,3.553
LLO-0.2/0.2,110,197.259,3.263
LLO-0.2/0.2,111,197.073,3.384
LLO-0.2/0.2,112,197.325,4.231
LLO-0.2/0.2,113,197.137,4.633
LLO-0.2/0.2,114,197.329,4.158
LLO-0.2/0.2,115,197.61,3.642
LLO-0.2/0.2,116,197.392,3.922
LLO-0.2/0.2,117,197.544,3.637
LLO-0.2/0.2,118,197.431,4.027
LLO-0.2/0.2,119,197.297,3.857
LLO-0.2/0.2,120,197.256,3.966
LLO-0.2/0.2,121,197.305,4.183
LLO-0.2/0.2,122,197.0,3.957
LLO-0.2/0.2,123,197.263,3.996
LLO-0.2/0.2,124,197.125,3.604
LLO-0.2/0.2,125,197.233,3.481
