event,region,river_clean,year,lat,lon,pmc_uncorr,pmc_uncorr_std,age_uncorr_min_kabp,age_uncorr_max_kabp,age_uncorr_mid_kabp,pmc_corr,age_corr_min_kabp,age_corr_max_kabp,age_corr_mid_kabp,d13c_pdb,dd_smow
MARCH4G_2022_NW3_14C,NW,NW3,2022,72.65713,-54.0292,72.7292,0.32,2.496,2.756,2.626,70.95229816435588,2.769,2.943,2.856,,
MARCH4G_2022_NW4_14C,NW,NW4,2022,72.35803,-53.5122,71.9717,0.31,2.723,2.848,2.7855,66.54018739739467,3.399,3.57,3.4844999999999997,,
MARCH4G_2022_SW3b_14C,SW,SW3,2022,67.1803,-50.3343,77.4842,0.34,1.89,2.116,2.003,75.29635436853168,2.156,2.351,2.2535,,
MARCH4G_2021_SW4_GHG,SW,SW4,2021,67.159,-50.129306,80.9617,0.37,1.526,1.701,1.6135000000000002,80.9182844847761,1.529,1.7,1.6145,-55.2,-287.1
MARCH4G_2021_SW5b_14C,SW,SW5,2021,67.15968,-50.0503,81.5527,0.37,1.409,1.685,1.5470000000000002,81.49993260451265,1.41,1.688,1.549,,
MARCH4G_2023_SW6b_14C,SW,SW6,2023,67.0648,-50.1609,63.6814,0.29,3.838,4.082,3.96,62.439192725718776,3.993,4.291,4.142,,
MARCH4G_2023_SW7_14C,SW,SW7,2023,67.05626,-50.16009,80.9497,0.37,1.526,1.701,1.6135000000000002,80.93033852481507,1.528,1.7,1.6139999999999999,,
