event,datetime_utc,datetime_local,lat,lon,ph,cond_mscm,o2_mgl,ch4_avg_nmoll,ch4_min_nmoll,ch4_max_nmoll,pmc_uncorr,pmc_uncorr_std,age_uncorr_min_ka,age_uncorr_max_ka,pmc_corr,age_corr_min_ka,age_corr_max_ka,d13c_pdb,dd_smow,region,river_id,year,river_clean,age_corr_min_kabp,age_corr_max_kabp,age_corr_mid_kabp,age_uncorr_min_kabp,age_uncorr_max_kabp,age_uncorr_mid_kabp
MARCH4G_2021_NW1_GHG,2021-08-13T17:20:00,2021-08-13T15:20:00,77.719667,-69.019667,,,,0.4072062650743551,0.0,1.018219217092072,,,,,,,,,,NW,NW1,2021,NW1,,,,,,
MARCH4G_2021_NW1_Chem,2021-08-15T16:00:00,2021-08-15T14:00:00,77.719667,-69.019667,6.9,8.0,14.7,0.83,,,,,,,,,,,,NW,NW1,2021,NW1,,,,,,
MARCH4G_2021_NW2_GHG,2021-08-14T16:30:00,2021-08-14T14:30:00,77.71525,-68.91677,,,,13.8754664830864,8.306016063662849,19.444916902509945,,,,,,,,,,NW,NW2,2021,NW2,,,,,,
MARCH4G_2021_NW2_Chem,2021-08-14T16:30:00,2021-08-14T14:30:00,77.71525,-68.91677,6.2,6.3,14.6,,,,,,,,,,,,,NW,NW2,2021,NW2,,,,,,
MARCH4G_2022_NW3_GHG_a,2022-07-22T14:30:00,2022-07-22T12:30:00,72.65713,-54.0292,,,,179.69412083935097,116.77308542172354,326.81851289166923,,,,,,,,-60.8,-284.5,NW,NW3,2022,NW3,,,,,,
MARCH4G_2022_NW3_14C,2022-07-22T14:30:00,2022-07-22T12:30:00,72.65713,-54.0292,,,,,,,72.7292,0.32,2496.0,2756.0,70.95229816435588,2769.0,2943.0,,,NW,NW3,2022,NW3,2.769,2.943,2.856,2.496,2.756,2.626
MARCH4G_2022_NW3_Chem,2022-07-22T14:30:00,2022-07-22T12:30:00,72.65713,-54.0292,7.1,13.0,,,,,,,,,,,,,,NW,NW3,2022,NW3,,,,,,
MARCH4G_2022_NW3_GHG_b,2022-07-23T11:00:00,2022-07-23T09:00:00,72.65713,-54.0292,,,,351.15440381517215,,,,,,,,,,,,NW,NW3,2022,NW3,,,,,,
MARCH4G_2022_NW4_Chem,2022-07-20T22:30:00,2022-07-20T20:30:00,72.35803,-53.5122,7.6,22.8,,,,,,,,,,,,,,NW,NW4,2022,NW4,,,,,,
MARCH4G_2022_NW4_GHG_a,2022-07-20T22:30:00,2022-07-20T20:30:00,72.35803,-53.5122,,,,62.836019780937065,50.36535098996784,81.70397359767888,,,,,,,,-58.9,-262.2,NW,NW4,2022,NW4,,,,,,
MARCH4G_2022_NW4_14C,2022-07-20T22:30:00,2022-07-20T20:30:00,72.35803,-53.5122,,,,,,,71.9717,0.31,2723.0,2848.0,66.54018739739467,3399.0,3570.0,,,NW,NW4,2022,NW4,3.399,3.57,3.4844999999999997,2.723,2.848,2.7855
MARCH4G_2022_NW4_GHG_b,2022-07-21T02:49:00,2022-07-21T00:49:00,72.35803,-53.5122,,,,16.089002205556724,13.983431207378134,18.19457320373532,,,,,,,,,,NW,NW4,2022,NW4,,,,,,
MARCH4G_2022_CW1_GHG,2022-09-05T11:00:00,2022-09-05T09:00:00,69.77666,-50.32611,,,,43.247384298240256,,,,,,,,,,,,CW,CW1,2022,CW1,,,,,,
MARCH4G_2022_CW1_Chem,2022-09-05T11:00:00,2022-09-05T09:00:00,69.77666,-50.32611,7.1,7.8,,,,,,,,,,,,,,CW,CW1,2022,CW1,,,,,,
MARCH4G_2022_CW2_GHG,2022-09-05T11:30:00,2022-09-05T09:30:00,69.7875,-50.21611,,,,3.8172555538076094,,,,,,,,,,,,CW,CW2,2022,CW2,,,,,,
MARCH4G_2022_CW2_Chem,2022-09-05T11:30:00,2022-09-05T09:30:00,69.7875,-50.21611,7.1,12.9,,,,,,,,,,,,,,CW,CW2,2022,CW2,,,,,,
MARCH4G_2022_CW3_GHG,2022-09-05T12:15:00,2022-09-05T10:15:00,69.5775,-50.39416,,,,3.4109476880903618,,,,,,,,,,,,CW,CW3,2022,CW3,,,,,,
MARCH4G_2022_CW3_Chem,2022-09-05T12:15:00,2022-09-05T10:15:00,69.5775,-50.39416,7.3,29.8,,,,,,,,,,,,,,CW,CW3,2022,CW3,,,,,,
MARCH4G_2021_CW4a_GHG-a,2021-08-30T18:03:00,2021-08-30T16:03:00,69.329768,-50.244147,,,,73.3105512782774,,,,,,,,,,-62.1,-291.7,CW,CW4a,2021,CW4,,,,,,
MARCH4G_2021_CW4a_GHG-b,2021-08-31T13:20:00,2021-08-31T11:20:00,69.329768,-50.244147,,,,38.17156199563971,34.8585556053365,41.48456838594293,,,,,,,,,,CW,CW4a,2021,CW4,,,,,,
MARCH4G_2021_CW4a_GHG-c,2021-09-02T10:43:00,2021-09-02T08:43:00,69.329768,-50.244147,,,,39.79858418819636,31.540244049826125,48.0569243265666,,,,,,,,,,CW,CW4a,2021,CW4,,,,,,
MARCH4G_2021_CW4a_Chem,2021-08-31T13:20:00,2021-08-31T11:20:00,69.329768,-50.244147,7.1,29.0,,,,,,,,,,,,,,CW,CW4a,2021,CW4,,,,,,
MARCH4G_2023_CW4b_GHG,2023-07-15T18:00:00,2023-07-15T16:00:00,69.33613,-50.23464,,,,34.425365513529485,29.514813656058568,39.3359173710004,,,,,,,,-66.9,-290.0,CW,CW4b,2023,CW4,,,,,,
MARCH4G_2023_CW4b_Chem,2023-07-15T18:00:00,2023-07-15T16:00:00,69.33613,-50.23464,7.6,16.3,,,,,,,,,,,,,,CW,CW4b,2023,CW4,,,,,,
