covariable,media_vs,media_control,dif_media_estandarizada,momento
AGE_AT_START,35.2472,44.505,-0.7826,antes_del_emparejamiento
PERIOD_START_DATE,17001.8582,17003.8179,-0.0066,antes_del_emparejamiento
MDN_CTO_AT_START,1846.0378,2075.5482,-0.1545,antes_del_emparejamiento
MEDIAN_TRS_AT_START,56.3611,46.6586,0.2821,antes_del_emparejamiento
CNTRY_IMD_RANK_AT_START,12313.2054,13843.1523,-0.1592,antes_del_emparejamiento
AVG_CREDIT_SCORE,939.5576,998.3724,-0.5116,antes_del_emparejamiento
CB_AT_START,0.4625,0.3823,0.1609,antes_del_emparejamiento
DISAB_AT_START,0.1607,0.0832,0.2112,antes_del_emparejamiento
ESA_AT_START,0.1504,0.0483,0.2857,antes_del_emparejamiento
Loans_AT_START,0.259,0.1625,0.2202,antes_del_emparejamiento
Mort_AT_START,0.1589,0.1525,0.0175,antes_del_emparejamiento
CC_AT_START,0.3788,0.4019,-0.0476,antes_del_emparejamiento
AGE_AT_START,35.2625,34.8992,0.0307,despues_del_emparejamiento
PERIOD_START_DATE,17001.8902,17005.8063,-0.0131,despues_del_emparejamiento
MDN_CTO_AT_START,1845.5377,1861.444,-0.0107,despues_del_emparejamiento
MEDIAN_TRS_AT_START,56.3088,56.8313,-0.0152,despues_del_emparejamiento
CNTRY_IMD_RANK_AT_START,12333.3836,12287.7325,0.0048,despues_del_emparejamiento
AVG_CREDIT_SCORE,940.1222,940.9676,-0.0074,despues_del_emparejamiento
CB_AT_START,0.4624,0.4741,-0.0235,despues_del_emparejamiento
DISAB_AT_START,0.1586,0.1497,0.0242,despues_del_emparejamiento
ESA_AT_START,0.1479,0.1362,0.0327,despues_del_emparejamiento
Loans_AT_START,0.2588,0.2607,-0.0041,despues_del_emparejamiento
Mort_AT_START,0.159,0.1677,-0.0239,despues_del_emparejamiento
CC_AT_START,0.379,0.3845,-0.0115,despues_del_emparejamiento
