muestra,periodo,indicador,nombre_corto,categoria,tipo_medida,unidad,vs_media,vs_ic95_inf,vs_ic95_sup,control_media,control_ic95_inf,control_ic95_sup,diferencia,dif_ic95_inf,dif_ic95_sup,n_vs,n_control,tipo_estadistico,estadistico,n_permutaciones,p_permutacion,p_ajustada_bh,tamano_efecto,tipo_efecto
principal,3.5_a_0_anios,Benefits/Attendance Allowance/Other,,Benefits,transaccional,binary,0.0119749447310243,0.0090811533717973,0.0148687360902513,0.0085052812576762,0.0070904635320967,0.0099200989832557,0.0034696634733476,0.0002483980661298,0.0066909288805653,5428.0,15602.0,chisq,5.20584834880731,1000.0,0.023,0.04740036900369,0.03458872512793121,cohen_h
principal,7_a_3.5_anios,Benefits/Attendance Allowance/Other,,Benefits,transaccional,binary,0.0079218865143699,0.0055633982459529,0.0102803747827869,0.0052812576762466,0.0041677178413682,0.0063947975111249,0.0026406288381277,3.23782719735578e-05,0.0052488794042818,5428.0,15602.0,chisq,4.73740995307461,1000.0,0.023,0.04740036900369,0.0327730686749593,cohen_h
principal,ultimo_anio,Benefits/Attendance Allowance/Other,,Benefits,transaccional,binary,0.0105011053795136,0.0077892180452922,0.013212992713735,0.0069700319331859,0.0056875911354612,0.0082524727309106,0.0035310734463299,0.0005311246789296,0.0065310222137302,5428.0,15602.0,chisq,6.42134243878363,1000.0,0.011,0.0250244399185336,0.038142194559167425,cohen_h
principal,3.5_a_0_anios,Benefits/Carers Allowance/Other,,Benefits,transaccional,binary,0.0978260869565217,0.0899225961715763,0.105729577741467,0.0808155244411693,0.0761703365468508,0.0854607123354878,0.0170105625153546,0.0078427097673118,0.0261784152633973,5428.0,15602.0,chisq,14.9494201059416,1000.0,0.0,0.0,0.05970710871529039,cohen_h
principal,7_a_3.5_anios,Benefits/Carers Allowance/Other,,Benefits,transaccional,binary,0.0895357406042741,0.0819398947316961,0.0971315864768522,0.0759948415622698,0.0714640116711709,0.0805256714533686,0.0135408990420202,0.0046960460237955,0.0223857520602449,5428.0,15602.0,chisq,10.0910320958576,1000.0,0.003,0.0074799107142857,0.04918451504595733,cohen_h
principal,ultimo_anio,Benefits/Carers Allowance/Other,,Benefits,transaccional,binary,0.076271186440678,0.0692096537482498,0.0833327191331062,0.0653402112503071,0.0611209075673093,0.0695595149333048,0.0109309751903717,0.002704610806058,0.0191573395746854,5428.0,15602.0,chisq,7.57562397873323,1000.0,0.008,0.0188126315789474,0.04264627833211987,cohen_h
principal,3.5_a_0_anios,Benefits/Child Benefit/Other,,Benefits,transaccional,binary,0.536845983787767,0.523580165348108,0.550111802227426,0.489898059444854,0.481887491439523,0.497908627450184,0.0469479243429325,0.031450506479299,0.062445342206566,5428.0,15602.0,chisq,35.5042776654456,1000.0,0.0,0.0,0.09396408443061866,cohen_h
principal,7_a_3.5_anios,Benefits/Child Benefit/Other,,Benefits,transaccional,binary,0.526160648489315,0.512876882314743,0.539444414663886,0.513571604028494,0.505569374546018,0.521573833510971,0.0125890444608248,-0.0029194360949902,0.0280975250166398,5428.0,15602.0,chisq,2.55574881321001,1000.0,0.126,0.204269956458636,0.025198656044402412,cohen_h
principal,ultimo_anio,Benefits/Child Benefit/Other,,Benefits,transaccional,binary,0.481945467943994,0.468652156900309,0.495238778987679,0.439572586588062,0.431608767428058,0.447536405748065,0.0423728813559554,0.0268759992626444,0.0578697634492663,5428.0,15602.0,chisq,29.2073879449631,1000.0,0.0,0.0,0.0850340605626172,cohen_h
principal,3.5_a_0_anios,Benefits/Disability Living Allowance/Other,Benefit/Disability,Benefits,transaccional,binary,0.291635961680177,0.279544041597034,0.30372788176332,0.208364038319823,0.201493562553433,0.215234514086213,0.083271923360456,0.0693638995019527,0.0971799472189593,5428.0,15602.0,chisq,157.742505584547,1000.0,0.0,0.0,0.19290799543469495,cohen_h
