muestra,periodo,indicador,nombre_corto,categoria,tipo_medida,unidad,vs_media,vs_ic95_inf,vs_ic95_sup,control_media,control_ic95_inf,control_ic95_sup,diferencia,dif_ic95_inf,dif_ic95_sup,n_vs,n_control,tipo_estadistico,estadistico,n_permutaciones,p_permutacion,p_ajustada_bh,tamano_efecto,tipo_efecto
principal,ultimo_anio,Benefits/Attendance Allowance/Other,,Benefits,transaccional,binary,0.0105011053795136,0.0077892180452922,0.013212992713735,0.0069700319331859,0.0056875911354612,0.0082524727309106,0.0035310734463299,0.0005311246789296,0.0065310222137302,5428.0,15602.0,chisq,6.42134243878363,1000.0,0.011,0.0250244399185336,0.038142194559167425,cohen_h
principal,ultimo_anio,Benefits/Carers Allowance/Other,,Benefits,transaccional,binary,0.076271186440678,0.0692096537482498,0.0833327191331062,0.0653402112503071,0.0611209075673093,0.0695595149333048,0.0109309751903717,0.002704610806058,0.0191573395746854,5428.0,15602.0,chisq,7.57562397873323,1000.0,0.008,0.0188126315789474,0.04264627833211987,cohen_h
principal,ultimo_anio,Benefits/Child Benefit/Other,,Benefits,transaccional,binary,0.481945467943994,0.468652156900309,0.495238778987679,0.439572586588062,0.431608767428058,0.447536405748065,0.0423728813559554,0.0268759992626444,0.0578697634492663,5428.0,15602.0,chisq,29.2073879449631,1000.0,0.0,0.0,0.0850340605626172,cohen_h
principal,ultimo_anio,Benefits/Disability Living Allowance/Other,Benefit/Disability,Benefits,transaccional,binary,0.273028739867355,0.261176258507274,0.284881221227435,0.193625644804716,0.18694214286295,0.200309146746482,0.0794030950626443,0.065795559513124,0.0930106306121645,5428.0,15602.0,chisq,150.883576770048,1000.0,0.0,0.0,0.18834902748253335,cohen_h
principal,ultimo_anio,Benefits/Housing Benefit/Other,,Benefits,transaccional,binary,0.0289240972733972,0.024465451471708,0.0333827430750864,0.0210022107590273,0.0186337775805514,0.0233706439375031,0.0079218865143738,0.0028730256724594,0.0129707473562883,5428.0,15602.0,chisq,11.2241038996046,1000.0,0.0,0.0,0.05093609465783616,cohen_h
principal,ultimo_anio,Benefits/Income Support/Other,,Benefits,transaccional,binary,0.0001842299189388,-0.0001768360434464,0.0005452958813241,0.0005526897568165,0.0001916815789127,0.0009136979347202,-0.0003684598378775,-0.0008790633686796,0.0001421436929245,5428.0,15602.0,chisq,1.19532431357756,1000.0,0.312,0.426044009779951,-0.01987594345156937,cohen_h
principal,ultimo_anio,Benefits/Industrial Injurys Benefit/Other,,Benefits,transaccional,binary,0.028002947678703,0.0236137936065089,0.0323921017508972,0.0206951608941292,0.018250215844951,0.0231401059433074,0.007307786784584,0.0022834054163551,0.012332168152813,5428.0,15602.0,chisq,9.74365624090409,1000.0,0.003,0.0074799107142857,0.047545654035698104,cohen_h
principal,ultimo_anio,Benefits/Job Seekers Allowance/Other,,Benefits,transaccional,binary,0.0079218865143699,0.0055633982459529,0.0102803747827869,0.0058032424465733,0.0045778880357794,0.0070285968573672,0.0021186440677965,-0.0005392712771326,0.0047765594127257,5428.0,15602.0,chisq,2.8647334808949,1000.0,0.092,0.157131498470948,0.025740051982378442,cohen_h
principal,ultimo_anio,Benefits/Other/Other,Benefit/Other,Benefits,transaccional,binary,0.483235077376566,0.469940570995685,0.496529583757447,0.29439941046426,0.286879621814573,0.301919199113946,0.188835666912385,0.173561197841654,0.204110135983116,5428.0,15602.0,chisq,637.096397539987,1000.0,0.0,0.0,0.3902352803505833,cohen_h
principal,ultimo_anio,Benefits/Social Fund/Other,Benefit/Social Fund,Benefits,transaccional,binary,0.0458732498157701,0.0403074283965844,0.0514390712349558,0.0287091623679686,0.0256046993656532,0.0318136253702839,0.017164087447806,0.0107907647760308,0.0235374101195812,5428.0,15602.0,chisq,37.0266579016169,1000.0,0.0,0.0,0.09118703957729962,cohen_h
principal,ultimo_anio,Benefits/State Pension/Other,,Benefits,transaccional,binary,0.0491893883566691,0.0434359270205798,0.0549428496927585,0.0522598870056497,0.0488050166078874,0.055714757403412,-0.003070498648985,-0.0097818306099718,0.0036408333120018,5428.0,15602.0,chisq,0.777704160624661,1000.0,0.366,0.485536817102138,-0.013994308574183378,cohen_h
principal,ultimo_anio,Benefits/Winter Fuel Payment/Other,,Benefits,transaccional,binary,0.042557111274871,0.0371869294910606,0.0479272930586815,0.0453819700319332,0.0421537381085115,0.0486102019553548,-0.0028248587570615,-0.0090909110041669,0.0034411934900438,5428.0,15602.0,chisq,0.753292933351165,1000.0,0.382,0.504366430260047,-0.013779686870375951,cohen_h
principal,ultimo_anio,Benefits/Working Families Tax Credit/Other,,Benefits,transaccional,binary,0.0932203389830508,0.0854854746304739,0.100955203335628,0.100159665929747,0.095170233840009,0.105149098019485,-0.0069393269467012,-0.0161441734551815,0.0022655195617789,5428.0,15602.0,chisq,2.1864025434642,1000.0,0.169,0.256485054347826,-0.02348409913938332,cohen_h
principal,ultimo_anio,Communication/Internet/Other,,Communication,transaccional,binary,0.120117907148121,0.111468972896777,0.128766841399465,0.0984094816998281,0.0935927290263436,0.103226234373313,0.0217084254482896,0.0118082814524969,0.0316085694440824,5428.0,15602.0,chisq,20.3633711397336,1000.0,0.0,0.0,0.06966548564984754,cohen_h
