tiempo_h,conc_media_ug_ml,conc_sd_ug_ml,conc_min,conc_max,n_ratones
0.25,8.258,1.469,6.653,9.538,3
0.5,9.132,0.032,9.113,9.168,3
1,7.633,1.252,6.89,9.078,3
2,1.708,0.801,1.057,2.603,3
4,0.222,0.011,0.212,0.234,3
8,0.183,0.177,0.056,0.386,3
24,0.056,0.025,0.027,0.072,3
