tiempo_h,raton,conc_ug_ml
0.25,raton_1,6.653
0.25,raton_2,8.582
0.25,raton_3,9.538
0.5,raton_1,9.113
0.5,raton_2,9.113
0.5,raton_3,9.168
1,raton_1,6.89
1,raton_2,9.078
1,raton_3,6.93
2,raton_1,1.465
2,raton_2,1.057
2,raton_3,2.603
4,raton_1,0.234
4,raton_2,0.212
4,raton_3,0.22
8,raton_1,0.386
8,raton_2,0.056
8,raton_3,0.108
24,raton_1,0.072
24,raton_2,0.027
24,raton_3,0.068
