mjd,year,mag,magerr,filter
58242.4460764,2018.3380,19.4018154,0.039729560792584946,ZTF_g
58254.4459028,2018.3708,19.2956448,0.03677586489322545,ZTF_g
58262.4738773,2018.3928,19.2373524,0.03526115717368876,ZTF_g
58269.4761343,2018.4120,19.1336746,0.03274303311184321,ZTF_g
58272.4265625,2018.4201,19.2486458,0.035548912156972284,ZTF_g
58275.4769097,2018.4284,19.2785416,0.0363238056590266,ZTF_g
58278.4335185,2018.4365,19.2309914,0.03510027475390896,ZTF_g
58281.4325231,2018.4447,19.2566299,0.03575395919351279,ZTF_g
58287.4285185,2018.4611,19.2803669,0.036371745094628,ZTF_g
58290.4473148,2018.4694,19.1984825,0.034291316029117586,ZTF_g
58293.4342708,2018.4776,19.2776203,0.036299634486503946,ZTF_g
58296.4695718,2018.4859,19.3518772,0.03830807400057124,ZTF_g
58299.4685995,2018.4941,19.0613594,0.031112590184870573,ZTF_g
58302.4449769,2018.5022,19.329977,0.03770286901401759,ZTF_g
58305.4732986,2018.5105,19.1629944,0.03343302974740268,ZTF_g
58310.3642361,2018.5239,19.1888695,0.03405629735241767,ZTF_g
58313.4475926,2018.5324,19.2062664,0.0344829999495752,ZTF_g
58316.4094907,2018.5405,19.1477184,0.0330714097533603,ZTF_g
58319.4078472,2018.5487,19.2858944,0.03651736772580572,ZTF_g
58322.4498032,2018.5570,19.2061214,0.034479435848555305,ZTF_g
58325.4256597,2018.5652,19.2788391,0.036331634462465186,ZTF_g
58329.4316551,2018.5761,19.2884426,0.04805432991744366,ZTF_g
58331.453912,2018.5817,19.2695465,0.03608860780146833,ZTF_g
58331.4927546,2018.5818,19.2464504,0.04659069630858005,ZTF_g
58331.4932176,2018.5818,19.2900581,0.0481115495638627,ZTF_g
58333.430706,2018.5871,19.305563,0.04866431600649831,ZTF_g
58333.431169,2018.5871,19.1190376,0.04242510727963971,ZTF_g
58334.3226273,2018.5895,19.2467213,0.035499663583876205,ZTF_g
58337.3910648,2018.5979,19.2491741,0.035562433382131456,ZTF_g
58338.3917708,2018.6007,19.2239361,0.045824819620067396,ZTF_g
58342.4057755,2018.6117,19.2416992,0.035371574018891384,ZTF_g
58343.4137384,2018.6144,19.1429214,0.03295881183729111,ZTF_g
58343.4146875,2018.6144,19.1902542,0.03409001743633482,ZTF_g
58344.3625579,2018.6170,19.1781464,0.03379633817101717,ZTF_g
58344.3879514,2018.6171,19.1907463,0.04471936571862363,ZTF_g
58346.3441667,2018.6224,19.2285004,0.03503749441976267,ZTF_g
58349.3826389,2018.6308,19.1530762,0.03319770807544702,ZTF_g
58350.3119676,2018.6333,19.2229099,0.04579021699617663,ZTF_g
58352.386794,2018.6390,19.2258739,0.03497146082873749,ZTF_g
58360.3855093,2018.6609,19.2512989,0.04675733443613735,ZTF_g
58361.3906829,2018.6636,19.1501331,0.03312825003699124,ZTF_g
58363.3272917,2018.6689,19.3483315,0.05022231640942382,ZTF_g
58364.2652778,2018.6715,19.2436848,0.03542216340786595,ZTF_g
58367.2891782,2018.6798,19.3236656,0.03753049101787468,ZTF_g
58370.3444907,2018.6881,19.2911339,0.036656009798839574,ZTF_g
58371.3689583,2018.6909,19.3239288,0.049327386015830185,ZTF_g
58373.367338,2018.6964,19.3746662,0.03894953588733023,ZTF_g
58375.1362269,2018.7013,19.3130074,0.037241387369827406,ZTF_g
58375.3859491,2018.7019,19.3119621,0.03721316737458635,ZTF_g
58376.1343519,2018.7040,19.2712669,0.036133481009934465,ZTF_g
58376.384456,2018.7047,19.2932205,0.03671141444357267,ZTF_g
58379.2075463,2018.7124,19.2824402,0.04784225749218935,ZTF_g
58379.339375,2018.7128,19.3147297,0.03728793854268529,ZTF_g
58380.1332176,2018.7149,19.2900906,0.03662835881242535,ZTF_g
58380.3830324,2018.7156,19.2982159,0.03684438509595734,ZTF_g
58382.2451736,2018.7207,19.2391644,0.035307139408430506,ZTF_g
58383.2424306,2018.7235,19.2235508,0.04581179619808217,ZTF_g
58385.3501505,2018.7292,19.4731369,0.04186280246150065,ZTF_g
58388.3067361,2018.7373,19.4688396,0.04173076957412918,ZTF_g
58388.3327894,2018.7374,19.2393456,0.04634759328005083,ZTF_g
58389.3616319,2018.7402,19.2630653,0.04716431490592877,ZTF_g
58390.3295718,2018.7429,19.4542198,0.05429399168761697,ZTF_g
58400.2612037,2018.7701,19.3616581,0.03858191793072713,ZTF_g
58423.2260995,2018.8329,19.4130421,0.04005717616294141,ZTF_g
58426.217963,2018.8411,19.4815521,0.04212277210808151,ZTF_g
58428.2074074,2018.8466,19.42803,0.05325807487916714,ZTF_g
58429.2194329,2018.8493,19.463377,0.04156353874966789,ZTF_g
58433.1634722,2018.8601,19.5550385,0.044469045039046806,ZTF_g
58436.1900579,2018.8684,19.3798561,0.039097321204598225,ZTF_g
58443.2489815,2018.8877,19.39991,0.05216705097651774,ZTF_g
58469.1115972,2018.9586,19.6051998,0.04615155775375111,ZTF_g
58472.1357176,2018.9668,19.4242115,0.04038615603725353,ZTF_g
58482.1221759,2018.9942,19.6336765,0.04713684571666799,ZTF_g
58487.1352315,2019.0079,19.5969963,0.04587178169267582,ZTF_g
58491.1407292,2019.0189,19.5156593,0.043194555918057535,ZTF_g
58494.134919,2019.0271,19.5390587,0.04394704311540436,ZTF_g
58607.4769213,2019.3374,19.7985001,0.053289542757275536,ZTF_g
58617.4710417,2019.3647,19.7984638,0.05328807289440948,ZTF_g
58628.4647454,2019.3948,19.9301319,0.05878759390518887,ZTF_g
58634.4512153,2019.4112,19.9613819,0.060173266375131575,ZTF_g
58637.4690509,2019.4195,19.9386044,0.05916015623524875,ZTF_g
58643.4476505,2019.4359,19.9882412,0.06138959278138774,ZTF_g
58646.445463,2019.4441,19.8897018,0.05704122867032596,ZTF_g
58652.4651389,2019.4605,19.9283924,0.058711344954627924,ZTF_g
58655.4682292,2019.4688,20.0754852,0.065505358995815,ZTF_g
58658.473831,2019.4770,20.3792496,0.08188286555934605,ZTF_g
58661.4670718,2019.4852,20.022646,0.06298238538353204,ZTF_g
58665.472419,2019.4962,19.931036,0.05882722243194827,ZTF_g
58668.4520023,2019.5043,20.1200962,0.0677090859879182,ZTF_g
58674.4587847,2019.5208,20.1643105,0.0699607128883537,ZTF_g
58677.4789236,2019.5290,20.0902157,0.06622548530989947,ZTF_g
58680.4693981,2019.5372,19.879364,0.05660300680872816,ZTF_g
58683.464838,2019.5454,20.07267,0.06536853977335237,ZTF_g
58686.4659491,2019.5536,20.0639973,0.06494887833338985,ZTF_g
58690.306412,2019.5642,19.9356251,0.05902889515492895,ZTF_g
58690.4965972,2019.5647,19.8861427,0.074216838808897,ZTF_g
58693.4072338,2019.5726,19.978281,0.060935797670751767,ZTF_g
58696.407963,2019.5809,20.1196804,0.06768828128007008,ZTF_g
58699.4333102,2019.5891,19.9941025,0.06165818411024094,ZTF_g
58704.4051042,2019.6028,20.1379108,0.08823280466255405,ZTF_g
58704.4055556,2019.6028,19.9637737,0.07836347772965493,ZTF_g
58705.4075579,2019.6055,20.049057,0.0642316917450375,ZTF_g
58708.3950231,2019.6137,19.8275604,0.0711988660545995,ZTF_g
58708.3954745,2019.6137,19.9896011,0.07977920591475332,ZTF_g
58708.4443403,2019.6138,20.2611961,0.0751328949368174,ZTF_g
58712.4702431,2019.6248,20.129076,0.06816098980004653,ZTF_g
58717.3846759,2019.6383,20.1288967,0.06815184917210748,ZTF_g
58717.4350463,2019.6384,20.1733685,0.09032845137310237,ZTF_g
58717.4354977,2019.6384,20.2402115,0.09434548893457731,ZTF_g
58718.4376157,2019.6412,20.1340446,0.08800599662695456,ZTF_g
58722.4075347,2019.6520,20.0858097,0.06600930360429698,ZTF_g
58723.4049537,2019.6548,20.0869579,0.06606562755855627,ZTF_g
58723.4232292,2019.6548,20.0834389,0.08506673334268451,ZTF_g
58723.4236806,2019.6548,20.1620865,0.08965884317162895,ZTF_g
58725.3223495,2019.6600,20.1782036,0.07068218263461175,ZTF_g
58725.4257639,2019.6603,20.1669426,0.0899467692747535,ZTF_g
58725.4262153,2019.6603,19.972538,0.0788418969854176,ZTF_g
58726.4281944,2019.6630,20.0538425,0.08337539119773556,ZTF_g
58726.4286458,2019.6630,20.0841541,0.08510786362282578,ZTF_g
58727.3854861,2019.6657,20.0769348,0.06557590753434873,ZTF_g
58730.3061921,2019.6737,20.047451,0.06415512148515519,ZTF_g
58730.3070949,2019.6737,19.9256439,0.05859115794431897,ZTF_g
58732.3885532,2019.6794,20.0813961,0.06579343267212481,ZTF_g
58734.3905787,2019.6848,20.0171471,0.06272511575348445,ZTF_g
58734.4963657,2019.6851,19.9686756,0.07863080439802997,ZTF_g
58735.4063773,2019.6876,20.2395706,0.07394977518424456,ZTF_g
58736.4470486,2019.6905,20.2174816,0.07275848410570833,ZTF_g
58736.4497917,2019.6905,19.9658127,0.060372299609919446,ZTF_g
58737.4436921,2019.6932,19.887682,0.07429742352610814,ZTF_g
58737.4723727,2019.6933,20.3408394,0.07963251873431652,ZTF_g
58739.1983333,2019.6980,19.8261967,0.0544018138751967,ZTF_g
58740.1981019,2019.7007,19.8046074,0.05353280912747121,ZTF_g
58741.1949769,2019.7035,19.8810616,0.056674740741069866,ZTF_g
58743.195544,2019.7090,20.2200508,0.07289610405588999,ZTF_g
58744.1945486,2019.7117,19.8272552,0.054444793168860105,ZTF_g
58745.1946759,2019.7144,20.1727715,0.07039933511381102,ZTF_g
58747.1945718,2019.7199,20.2033501,0.07200517213901193,ZTF_g
