mjd,year,mag,magerr,filter
57327.345449,2015.8326,19.262,0.47,ATLAS_o
57542.565725,2016.4218,19.722,0.418,ATLAS_c
57542.607145,2016.4219,19.951,0.435,ATLAS_c
57605.504156,2016.5941,20.099,0.475,ATLAS_c
57652.437395,2016.7226,19.742,0.466,ATLAS_o
57702.30847,2016.8592,19.176,0.435,ATLAS_o
57762.240616,2017.0232,18.876,0.328,ATLAS_o
57951.574183,2017.5416,20.225,0.432,ATLAS_o
57953.556295,2017.5470,20.272,0.462,ATLAS_o
57953.565039,2017.5471,20.158,0.424,ATLAS_o
57953.574908,2017.5471,20.178,0.415,ATLAS_o
57959.540682,2017.5634,20.765,0.368,ATLAS_o
57959.563878,2017.5635,20.425,0.439,ATLAS_o
57996.49626,2017.6646,20.342,0.402,ATLAS_o
57998.456104,2017.6700,19.558,0.341,ATLAS_o
58014.421714,2017.7137,19.882,0.337,ATLAS_o
58038.422189,2017.7794,20.166,0.467,ATLAS_o
58053.341658,2017.8202,19.66,0.378,ATLAS_o
58053.351443,2017.8203,19.647,0.373,ATLAS_o
58053.36531,2017.8203,19.712,0.415,ATLAS_o
58054.374631,2017.8231,20.042,0.423,ATLAS_o
58054.381772,2017.8231,20.168,0.495,ATLAS_o
58056.386317,2017.8286,19.933,0.404,ATLAS_o
58056.386774,2017.8286,20.157,0.467,ATLAS_o
58094.275003,2017.9323,18.545,0.139,ATLAS_o
58096.229364,2017.9377,19.976,0.456,ATLAS_o
58098.274058,2017.9433,18.179,0.091,ATLAS_o
58110.230093,2017.9760,19.863,0.352,ATLAS_o
58113.252603,2017.9843,19.21,0.347,ATLAS_o
58113.258822,2017.9843,19.263,0.345,ATLAS_o
58113.269354,2017.9843,19.002,0.336,ATLAS_o
58152.22746,2018.0910,19.791,0.356,ATLAS_o
58152.230814,2018.0910,19.793,0.393,ATLAS_o
58297.588271,2018.4889,18.262,0.135,ATLAS_o
58297.599859,2018.4890,18.73,0.215,ATLAS_o
58297.611239,2018.4890,18.881,0.328,ATLAS_o
58297.622534,2018.4890,18.178,0.344,ATLAS_o
58300.577847,2018.4971,18.472,0.123,ATLAS_o
58300.58782,2018.4972,18.385,0.117,ATLAS_o
58300.597166,2018.4972,18.221,0.181,ATLAS_o
58300.606125,2018.4972,18.488,0.126,ATLAS_o
58303.624071,2018.5055,18.133,0.443,ATLAS_o
58308.584107,2018.5191,18.89,0.099,ATLAS_c
58308.594004,2018.5191,18.792,0.091,ATLAS_c
58308.595457,2018.5191,19.158,0.151,ATLAS_c
58308.6038,2018.5191,18.908,0.109,ATLAS_c
58308.605212,2018.5191,18.868,0.113,ATLAS_c
58308.613635,2018.5191,18.711,0.085,ATLAS_c
58310.561715,2018.5245,18.5,0.1,ATLAS_o
58310.572684,2018.5245,18.572,0.087,ATLAS_o
58310.582328,2018.5245,18.673,0.093,ATLAS_o
58310.592285,2018.5246,18.412,0.102,ATLAS_o
58312.567431,2018.5300,19.301,0.28,ATLAS_c
58312.577076,2018.5300,18.795,0.225,ATLAS_c
58312.587993,2018.5300,18.834,0.224,ATLAS_c
58312.589505,2018.5300,18.881,0.135,ATLAS_c
58312.600717,2018.5300,18.768,0.104,ATLAS_c
58315.611304,2018.5383,19.111,0.119,ATLAS_c
58315.620691,2018.5383,18.781,0.147,ATLAS_c
58316.616187,2018.5410,18.773,0.122,ATLAS_c
58318.546006,2018.5463,18.462,0.092,ATLAS_o
