wave_um,flux_cgs,err_cgs,snr
0.7573,2.148e-22,4.9145e-20,0.004370739647980466
0.7592,-6.2601e-20,4.7708e-20,-1.312169866689025
0.7599,-4.2093e-20,6.066200000000001e-20,-0.6938940358049519
0.7605,-1.2089000000000001e-19,6.9204e-20,-1.7468643431015551
0.7611,-8.799e-20,4.7557e-20,-1.8502008116575899
0.7617,-1.5828000000000002e-19,7.432e-20,-2.129709364908504
0.7624,-9.7505e-20,6.5622e-20,-1.4858584011459572
0.763,-2.0627000000000002e-19,7.3707e-20,-2.7985130313267397
0.7636,-1.0287000000000001e-19,7.2829e-20,-1.4124867841107254
0.7643,6.2982e-20,6.2698e-20,1.0045296500685827
0.7649,8.6422e-20,6.5153e-20,1.326446978650254
0.7655,7.116200000000001e-20,7.2329e-20,0.9838653928576366
0.7662,-1.2362e-20,7.0596e-20,-0.17510907133548642
0.7668,-4.7637e-20,4.5699e-20,-1.0424079301516445
0.7674,1.1049e-20,4.8952e-20,0.22571090047393366
0.768,2.4582000000000002e-20,5.0184e-20,0.48983739837398377
0.7687,-2.2545e-20,4.5154000000000004e-20,-0.4992913141692873
0.7693,-4.1268e-20,3.9565e-20,-1.0430430936433717
0.7699,1.1304e-22,3.841e-20,0.0029429835980213483
0.7706,-2.4089e-20,3.9591e-20,-0.6084463640726427
0.7712,-4.3854e-20,3.8678e-20,-1.1338228450281815
0.7718,-1.896e-20,3.7618e-20,-0.5040140358339092
0.7725,-1.0682e-20,3.5138e-20,-0.30400136604246114
0.7731,2.6467e-20,2.9284e-20,0.9038041251195191
0.7737,2.0218e-20,2.8528e-20,0.7087072349971957
0.7743,8.752699999999999e-21,2.8628000000000003e-20,0.3057391365097107
0.775,-1.3422000000000001e-20,2.5718e-20,-0.5218912823703243
0.7756,7.183199999999999e-21,2.6484e-20,0.27122791119166284
0.7762,-1.9469e-20,2.5692e-20,-0.7577845243655612
0.7769,7.2867e-21,2.7714e-20,0.26292487551418053
0.7775,-2.0028e-20,2.4757e-20,-0.8089833178494971
0.7781,-4.5115e-20,2.4101e-20,-1.8719140284635494
0.7788,-2.4007e-20,2.3638e-20,-1.0156104577375413
0.7794,5.647999999999999e-21,2.3673e-20,0.23858404089046592
0.78,2.1039e-22,2.3574e-20,0.008924662764062102
0.7806,1.9535e-22,2.5503000000000002e-20,0.007659883151001842
0.7813,-1.005e-20,2.3508e-20,-0.42751403777437463
0.7819,-2.4512000000000002e-20,2.3931000000000002e-20,-1.0242781329656094
0.7825,-1.3787e-20,2.1178e-20,-0.651005760695061
0.7832,-6.5216e-21,2.1884e-20,-0.298007676841528
0.7838,7.5231e-21,2.2623e-20,0.3325421031693409
0.7844,2.4091e-20,2.1035e-20,1.1452816734014737
0.7851,-6.360599999999999e-21,2.0365e-20,-0.3123299779032654
0.7857,6.3774e-21,2.0923e-20,0.30480332648281794
0.7863,2.4125999999999996e-21,2.0297e-20,0.1188648568754003
0.7869,-3.0371999999999996e-21,2.039e-20,-0.14895537027954878
0.7876,-6.0638e-22,1.9939000000000002e-20,-0.03041175585535884
0.7882,3.7296e-20,1.8936e-20,1.9695817490494296
0.7888,1.1404e-20,1.9109e-20,0.596786854361819
0.7895,-1.1152e-20,1.8997e-20,-0.5870400589566773
