cable,fabricante_pais,diameter_mm,net_weight_kg_km,breaking_load_kN,resistance_20C_ohm_km
Oriole AWG,USA,18.8,783,76.95,0.1640
Wolf Alfanar,Saudi_Arabia,18.1,726,69.20,0.1828
Lynx HuaDong,China,19.5,842,79.80,0.1576
CNTIC this work,Spain (IMDEA),18.0,295,349,0.166
