unit_id,atom,charge_e
1,Al,2.339
1,Cl,-0.724
1,Cl,-0.779
1,Cl,-0.780
1,Cl,-0.714
2,Al,2.341
2,Cl,-0.762
2,Cl,-0.744
2,Cl,-0.733
2,Cl,-0.779
3,Al,2.335
3,Cl,-0.774
3,Cl,-0.726
3,Cl,-0.754
3,Cl,-0.770
4,Al,2.336
4,Cl,-0.717
4,Cl,-0.719
4,Cl,-0.732
4,Cl,-0.745
