gen,cluster,unstim_media,suero_2h_media,suero_5h_media,tif_2h_media,tif_5h_media,log2fc_tif_vs_suero_2h,log2fc_tif_vs_suero_5h
Gnai3,1,5.5319,5.6943,6.063,5.7903,5.7038,0.096,-0.3593
Wnt3,1,0.0469,1.2364,2.7723,0.2375,0.5987,-0.9989,-2.1736
Ccnd2,1,5.9539,6.9068,6.9004,5.9006,5.8423,-1.0062,-1.0581
Lhx2,2,0.9696,0.8856,0.4718,1.0718,1.3848,0.1862,0.913
Mid2,1,0.2206,0.9539,1.3587,0.5652,0.7466,-0.3887,-0.6121
Pemt,1,3.062,3.1759,3.8057,3.0329,2.8967,-0.143,-0.909
Dbt,1,3.1719,3.7473,4.3574,3.5219,3.7678,-0.2254,-0.5897
Ccm2,3,6.2435,5.4073,4.7234,5.965,5.5173,0.5577,0.7939
Tbrg4,1,6.3177,6.907,7.1243,6.5235,6.6234,-0.3835,-0.5009
Mx1,3,2.9248,1.6076,1.2724,2.4152,2.3753,0.8076,1.1028
2001-09-01 00:00:00,3,8.6422,7.9992,7.2472,8.1485,7.7874,0.1493,0.5402
Pdgfb,1,1.5261,4.5894,4.7739,1.6084,2.8962,-2.981,-1.8776
Grasp,1,1.9927,4.2144,3.6087,2.5319,3.2297,-1.6825,-0.3791
Itga5,4,0.9035,1.1465,1.0443,0.6329,0.7027,-0.5136,-0.3416
Wdr77,1,4.9404,5.9212,6.506,5.2889,5.2321,-0.6322,-1.2739
Hnrnpd,4,9.1113,8.8794,8.9536,8.6808,8.3699,-0.1986,-0.5837
Dynlt1c,3,2.2144,1.9323,0.8011,2.1414,2.0155,0.209,1.2144
Gm2a,4,6.3784,6.3796,5.9221,5.9362,5.2452,-0.4435,-0.6769
Krit1,1,4.9307,4.8252,5.3658,4.4483,5.0535,-0.3769,-0.3123
Sema4f,3,2.217,1.486,1.2712,2.2077,2.1327,0.7217,0.8616
Hk2,1,3.427,4.2952,4.1844,3.153,3.1841,-1.1422,-1.0003
Haao,3,4.1721,3.1653,1.9797,3.2948,2.9111,0.1295,0.9314
Cd52,3,10.5121,9.2579,7.8318,9.3451,8.218,0.0872,0.3863
Rab5b,3,4.3528,4.0737,4.0469,4.5803,4.4006,0.5065,0.3538
Serpinf1,1,0.7892,1.1425,2.5605,0.6523,1.0909,-0.4902,-1.4697
Polr3d,1,3.4224,5.4435,5.6001,4.0313,4.6844,-1.4122,-0.9157
Tcf7,3,8.6886,8.1456,6.7033,8.1314,7.8175,-0.0142,1.1143
Ddx3x,1,7.0522,8.0597,8.6134,7.3749,7.5715,-0.6849,-1.0419
Txnrd3,1,0.6283,0.9643,1.5193,0.5677,0.6827,-0.3966,-0.8366
Pxmp4,3,3.7606,2.819,2.4494,3.3804,3.4274,0.5614,0.978
Gnb1l,2,2.5106,1.9441,1.832,2.3126,2.818,0.3685,0.986
Hip1r,3,6.2318,5.4617,4.8335,6.4188,6.4204,0.957,1.5869
Top1mt,1,3.3057,3.5738,4.2564,2.9565,3.389,-0.6173,-0.8674
Oxa1l,2,4.8976,5.0378,4.733,5.2237,5.2567,0.1859,0.5237
Ccl3,1,4.3826,13.4513,13.6151,11.055,11.8342,-2.3963,-1.7809
Epn2,1,0.4953,3.2337,4.0852,1.4929,2.6791,-1.7408,-1.4062
Nhp2,4,7.2804,7.1771,7.2805,6.787,6.284,-0.3901,-0.9965
Mfsd10,3,5.2689,5.0939,4.263,5.331,4.9873,0.237,0.7243
Lgals9,3,6.4449,5.8124,4.1866,5.8189,5.1758,0.0065,0.9892
Uxt,1,4.6644,4.5799,5.124,4.3203,4.4352,-0.2596,-0.6887
Pcnt,3,4.6519,4.5043,3.9114,4.7618,4.6331,0.2575,0.7216
Dpp9,3,5.1455,5.1049,4.7274,5.1468,5.0582,0.0419,0.3307
Gramd1a,2,5.9502,6.2173,5.8377,5.9325,6.3915,-0.2848,0.5538
Itgb7,3,7.0615,6.6347,5.0905,6.6772,5.8784,0.0425,0.7879
Rrp15,1,5.4829,6.1374,6.7875,5.1458,5.4988,-0.9916,-1.2887
Acp5,3,5.3176,4.3437,2.9919,4.3712,3.5903,0.0275,0.5984
Hars,1,6.1068,6.1466,6.4132,5.8753,5.8381,-0.2712,-0.5751
Zmat2,4,6.031,5.4114,5.5093,5.4608,5.1653,0.0494,-0.344
Cct3,1,7.1975,7.3501,7.6507,7.0281,6.868,-0.322,-0.7827
Slc19a1,1,4.3196,5.6562,5.8422,4.2445,4.6856,-1.4117,-1.1567
