comparacion,gen,log2fc,pvalue,padj
PRDX1_estimulado,Hacd2,-0.1739,1.486e-03,7.152e-03
PRDX1_estimulado,Clns1a,-0.1737,1.091e-05,1.041e-04
PRDX1_estimulado,Rpl12,-0.1737,6.493e-08,1.115e-06
PRDX1_estimulado,Exo1,-0.1736,6.948e-04,3.768e-03
PRDX1_estimulado,Nudt5,-0.1734,5.387e-04,3.031e-03
PRDX1_estimulado,Mtpap,-0.1734,5.833e-04,3.240e-03
PRDX1_estimulado,Tmem41a,-0.1732,2.442e-02,7.000e-02
PRDX1_estimulado,Nmnat3,-0.1729,3.414e-02,9.156e-02
PRDX1_estimulado,L3mbtl2,-0.1727,5.594e-04,3.128e-03
PRDX1_estimulado,Vac14,-0.1727,1.020e-04,7.368e-04
PRDX1_estimulado,Il27ra,-0.1727,8.657e-05,6.394e-04
PRDX1_estimulado,Itgal,-0.1727,2.711e-09,6.407e-08
PRDX1_estimulado,Fam195a,-0.1727,3.272e-02,8.858e-02
PRDX1_estimulado,2410131K14Rik,-0.1724,1.329e-02,4.329e-02
PRDX1_estimulado,Nob1,-0.1724,1.624e-05,1.478e-04
PRDX1_estimulado,Btf3,-0.1723,3.628e-08,6.511e-07
PRDX1_estimulado,Abcf3,-0.1723,3.813e-04,2.259e-03
PRDX1_estimulado,Ly6c2,-0.1723,8.628e-04,4.536e-03
PRDX1_estimulado,Gpaa1,-0.1722,1.272e-03,6.279e-03
PRDX1_estimulado,Tmem259,-0.1722,1.437e-04,9.837e-04
PRDX1_estimulado,Dok2,-0.172,1.820e-05,1.625e-04
PRDX1_estimulado,Psmd11,-0.172,1.288e-06,1.598e-05
PRDX1_estimulado,Rabl6,-0.172,2.366e-05,2.052e-04
PRDX1_estimulado,G6pdx,-0.1719,2.092e-04,1.354e-03
PRDX1_estimulado,Zfp628,-0.1719,3.583e-03,1.489e-02
PRDX1_estimulado,Cox6a1,-0.1719,2.585e-04,1.613e-03
PRDX1_estimulado,Hdac2,-0.1718,2.101e-04,1.359e-03
PRDX1_estimulado,Spg7,-0.1718,3.336e-04,2.015e-03
PRDX1_estimulado,Khsrp,-0.1716,5.606e-06,5.803e-05
PRDX1_estimulado,Psen2,-0.1716,1.357e-03,6.642e-03
PRDX1_estimulado,Tpp2,-0.1716,6.123e-08,1.058e-06
PRDX1_estimulado,Tmem121,-0.1716,6.076e-03,2.305e-02
PRDX1_estimulado,Fam207a,-0.1715,6.295e-05,4.850e-04
PRDX1_estimulado,Kat2a,-0.1714,2.565e-05,2.199e-04
PRDX1_estimulado,Arl14ep,-0.1711,1.507e-05,1.386e-04
PRDX1_estimulado,Letm1,-0.1711,2.108e-05,1.857e-04
PRDX1_estimulado,Dctd,-0.171,2.246e-02,6.560e-02
PRDX1_estimulado,Wnt1,-0.171,3.316e-02,8.936e-02
PRDX1_estimulado,Stat5a,-0.1708,3.780e-05,3.107e-04
PRDX1_estimulado,U2af1,-0.1707,4.343e-05,3.495e-04
PRDX1_estimulado,Ywhae,-0.1707,6.200e-07,8.323e-06
PRDX1_estimulado,Nup37,-0.1706,3.611e-03,1.498e-02
PRDX1_estimulado,Cdk6,-0.1706,6.428e-03,2.404e-02
PRDX1_estimulado,Pex14,-0.1704,1.375e-03,6.698e-03
PRDX1_estimulado,Bccip,-0.1702,4.045e-04,2.381e-03
PRDX1_estimulado,Aldh16a1,-0.1702,2.967e-03,1.273e-02
PRDX1_estimulado,Arf6,-0.1701,4.313e-05,3.473e-04
PRDX1_estimulado,Srrt,-0.17,1.849e-08,3.571e-07
PRDX1_estimulado,Pogk,-0.17,1.165e-02,3.882e-02
PRDX1_estimulado,Irf8,-0.1699,2.118e-03,9.646e-03
PRDX1_estimulado,Rpp40,-0.1697,3.436e-02,9.193e-02
PRDX1_estimulado,Npnt,-0.1697,9.251e-03,3.232e-02
PRDX1_estimulado,Ankrd28,-0.1696,8.220e-04,4.344e-03
PRDX1_estimulado,Samm50,-0.1696,4.967e-06,5.232e-05
PRDX1_estimulado,Plxdc2,-0.1694,1.097e-03,5.553e-03
PRDX1_estimulado,Pou2af1,-0.1694,3.742e-02,9.847e-02
PRDX1_estimulado,Acot7,-0.1692,1.113e-07,1.822e-06
PRDX1_estimulado,Nprl3,-0.169,9.602e-03,3.326e-02
PRDX1_estimulado,Bms1,-0.1689,1.082e-05,1.035e-04
PRDX1_estimulado,Sorbs3,-0.1689,2.544e-02,7.247e-02
PRDX1_estimulado,Carkd,-0.1689,7.083e-03,2.588e-02
PRDX1_estimulado,Fcrla,-0.1689,1.835e-02,5.586e-02
PRDX1_estimulado,Cope,-0.1688,1.467e-04,1.001e-03
PRDX1_estimulado,Slc25a11,-0.1686,2.604e-04,1.621e-03
PRDX1_estimulado,Pinx1,-0.1686,1.517e-02,4.788e-02
PRDX1_estimulado,C2cd4b,-0.1685,6.254e-03,2.355e-02
PRDX1_estimulado,Mlf2,-0.1682,7.739e-06,7.721e-05
PRDX1_estimulado,Mylpf,-0.1682,3.293e-02,8.907e-02
PRDX1_estimulado,Baz1a,-0.168,2.006e-05,1.775e-04
PRDX1_estimulado,Gstcd,-0.168,3.247e-03,1.371e-02
PRDX1_estimulado,Capg,-0.1678,2.339e-05,2.030e-04
PRDX1_estimulado,Sec16a,-0.1678,2.337e-04,1.486e-03
PRDX1_estimulado,Rpsa,-0.1678,1.257e-10,3.979e-09
PRDX1_estimulado,Ndfip2,-0.1676,1.677e-04,1.126e-03
PRDX1_estimulado,Trmt1,-0.1676,7.149e-05,5.434e-04
PRDX1_estimulado,Gatad2a,-0.1676,1.272e-07,2.063e-06
PRDX1_estimulado,Fen1,-0.1676,6.350e-07,8.478e-06
PRDX1_estimulado,Ppp2r2a,-0.1676,1.081e-05,1.035e-04
PRDX1_estimulado,Ercc3,-0.1675,1.990e-04,1.297e-03
PRDX1_estimulado,Jak3,-0.1674,9.295e-07,1.187e-05
PRDX1_estimulado,Ganab,-0.1672,1.299e-09,3.319e-08
PRDX1_estimulado,Kcnk5,-0.1671,6.646e-04,3.628e-03
PRDX1_estimulado,Eif3i,-0.167,7.367e-08,1.245e-06
PRDX1_estimulado,Dus3l,-0.167,3.083e-03,1.310e-02
PRDX1_estimulado,Tmem251,-0.1669,1.365e-02,4.418e-02
PRDX1_estimulado,Tufm,-0.1668,1.392e-06,1.718e-05
PRDX1_estimulado,Serpinb9b,-0.1667,3.805e-02,9.974e-02
PRDX1_estimulado,Eri3,-0.1666,2.700e-03,1.180e-02
PRDX1_estimulado,Ctbp1,-0.1666,5.554e-07,7.541e-06
