gen,uniprot,descripcion,abundancia_tif,abundancia_suero,es_antioxidante,log2fc_tif_vs_suero,foldchange_tif_vs_suero
1300017J02Rik,D3YY36,Protein 1300017J02Rik,35852765.140625,206244.526123047,No,7.441577796166914,173.8362021750579
2310045N01Rik,D3Z373,Protein 2310045N01Rik,2986584.1796875,206244.526123047,No,3.856062139252732,14.48079246430852
2310057J18Rik,D3YTP1,Protein 2310057J18Rik,2019597.63671875,206244.526123047,No,3.291633878768888,9.792248428032671
37500,F6WYM0,Septin-2 (Fragment),2867517.375,206244.526123047,No,3.797368001154812,13.90348354403946
40057,A8Y5D3,Septin-9 (Fragment),2886575.25,206244.526123047,No,3.806924605305824,13.99588781463149
9530053A07Rik,E9PVG8,Protein 9530053A07Rik,296250221.78125,206244.526123047,No,10.48823769882129,1436.402833811477
A2m,Q61838,Alpha-2-macroglobulin,102977139.395833,4766378.49479167,No,4.433286480767109,21.60490181557307
Aamdc,Q8R0P4,Mth938 domain-containing protein,8663289.01432292,206244.526123047,No,5.392480284216099,42.00494033550417
Aars,Q3TZ32,Putative uncharacterized protein,2293345.63541667,206244.526123047,No,3.475019702408321,11.11954667853072
Acat2,G3XA25,"MCG16689, isoform CRA_a",5267906.39583333,206244.526123047,No,4.674795254907902,25.54204222947696
Acly,Q3UEA1,Putative uncharacterized protein (Fragment),4214524.41666667,206244.526123047,No,4.352935453468682,20.43460011225827
Actn4,Q1A602,Non-muscle alpha-actinin 4,44359934.9010417,206244.526123047,No,7.748750645854852,215.0841805836643
Actr1a,P61164,Alpha-centractin,2503673.4375,206244.526123047,No,3.601612245356886,12.13934490560147
Actr2,P61161,Actin-related protein 2,3193566.90625,206244.526123047,No,3.95273439762499,15.48437171294764
Afm,O89020,Afamin,3390255.1484375,206244.526123047,No,4.038959549419996,16.43803698535422
Ahcy,P50247,Adenosylhomocysteinase,4961744.55729167,206244.526123047,No,4.588413024570613,24.05758179652951
Ahnak,E9Q616,Protein Ahnak,3327785.94791667,206244.526123047,No,4.012128342117027,16.13514797445479
Ahsa1,Q3TL79,Putative uncharacterized protein,1893061.9921875,206244.526123047,No,3.198287688034725,9.178725989838322
Ahsg,P29699,Alpha-2-HS-glycoprotein,29818660.71875,14097466.5325521,No,1.080779489639028,2.115178684758463
Aimp2,Q8R3V2,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,979212.3125,206244.526123047,No,2.247260346978919,4.747822067848699
Akr1a1,Q3UJW9,Putative uncharacterized protein,4626999.59375,206244.526123047,No,4.487642554157311,22.43453283695635
Akr1b1,P45376,Aldose reductase,9812686.265625,206244.526123047,No,5.572213551714114,47.57792340035575
Akr1b8,P45377,Aldose reductase-related protein 2,1802381.30859375,206244.526123047,No,3.127470328007412,8.739050400389468
Alb,P07724,Serum albumin,2823768550.22917,13059531549.4792,No,-2.209409399092465,0.2162228055065098
Aldoa,P05064,Fructose-bisphosphate aldolase A,109715958.169271,206244.526123047,No,9.055194853822776,531.9702793169582
Aldoc,P05063,Fructose-bisphosphate aldolase C,32442943.53125,206244.526123047,No,7.297398129937285,157.3032949824535
Ambp,Q07456,Protein AMBP,6856686.51757813,311971482.661458,Si,-5.507758577429602,0.02197856823028532
