site,typology,flow_rate_mls,depth_m,lat,lon
B0,High,44.17,1356.14,-12.831277,45.380582
B0,High,40.77,1356.14,-12.831276,45.380576
B0,High,53.0,1356.14,-12.83128,45.380571
B0,High,132.5,1353.28,-12.831368,45.38047
B0,High,66.25,1370.24,-12.830915,45.380521
B0,High,75.71,1370.31,-12.830919,45.380534
B0,High,44.17,1356.28,-12.831262,45.380721
G0,Medium,17.28,1450.72,-12.82713,45.381762
B0,Medium,16.06,1352.53,-12.831388,45.380695
B0,Medium,11.28,1352.67,-12.83137,45.380698
E0,Medium,14.32,1509.39,-12.824264,45.410154
D1,Medium,11.78,1261.39,-12.821725,45.39203
B0,Medium,21.2,1356.35,-12.831271,45.380718
B0,Medium,31.18,1356.28,-12.831259,45.380724
B0,Medium,11.28,1356.07,-12.831277,45.380581
B0,Medium,14.72,1346.54,-12.83158,45.380754
B0,Medium,13.25,1346.54,-12.831579,45.380762
B0,Medium,31.18,1356.62,-12.831252,45.380708
B0,Medium,29.44,1356.62,-12.831256,45.38071
B0,Low,1.54,1352.6,-12.831373,45.380686
B0,Low,8.83,1356.07,-12.831276,45.380581
C1,Low,6.63,1219.62,-12.835037,45.384028
