sistema,p,p_err_sup,p_err_inf,ti_gyr,ti_err_sup,ti_err_inf,tf_gyr,tf_err_sup,tf_err_inf,masa_1e8_msun,masa_err_sup,masa_err_inf
LKH,0.066,0.028,0.019,14.52,0.27,0.26,12.19,0.49,0.59,6.3,8.95,3.6
GSE,0.058,0.022,0.015,14.32,0.31,0.28,10.43,0.65,0.67,4.49,5.69,2.36
