catalizador,PFOA_mgL,PMS_mM,k_min1
(FeTCPP)Co2(Melm)2,5,1,0.465
AlCNi,1,20,0.009964
Fe0.6NiC,50,40,0.0072
Fe3C/N@BsB,50,13,0.00994
SA-Cu/rGO,20,10,0.04
Fe3S4,0.635,2,0.0103
Fe plate,0.5,0.25,0.004
ISBC,2,10,0.054
P-Fe/Co/N@BC,50,2.9,0.33
FeCo-N@SBE,10,2,0.018
