provincia,ciudad,flujo_kT_dia,tratamiento,TOC_mgL,TN_mgL,pH,remocion_PFOA,rsd_pfoa,remocion_total,rsd_total
Anhui,Luan,120,OD,5.90 ±0.02,3.20 ±0.02,7.96,0.9169,0.004,0.869,0.003
Beijing,Beijing,25,AAO+MBR,7.99 ±0.09,5.02 ±0.07,8.26,0.869875,0.004,0.872024591,0.01
Chongqing,Chongqing,108,AAO,3.77 ±0.25,6.00 ±0.20,8.01,0.9128,0.006,0.89497,0.004
Fujian,Xiamen,200,AAO,3.86 ±0.05,6.67 ±0.12,7.46,0.88,0.018,0.8766,0.003
Gansu,Lanzhou,15,OD,9.45 ±0.04,1.75 ±0.03,8.23,0.8843,0.009,0.87896,0.012
Guangdong,Guangzhou,300,AAO+MBR,4.61 ±0.05,7.41 ±0.09,7.4,0.88977,0.002,0.866699451,0.023
Guangxi,Nanning,100,AAO,5.11 ±0.04,3.19 ±0.04,6.8,0.895888,0.009,0.8656,0.015
Guizhou,Guiyang,80,SBR,4.11 ±0.04,2.13 ±0.02,7.97,0.8522,0.012,0.814,0.003
Hainan,Wuzhishan,21,CASS,5.11 ±0.02,7.47 ±0.06,6.78,0.8987458,0.013,0.948,0.007
Hebei,Shijiazhuang,50,AAO,9.53 ±0.08,4.50 ±0.09,7.55,0.85765,0.002,0.84172,0.014
Heilongjiang,Harbin,20,AAO,5.89 ±0.01,2.66 ±0.03,8.56,0.895655,0.015,0.8599666,0.009
Henan,Luoyang,4,AAO,3.22 ±0.05,7.53 ±0.06,7.3,0.911457681,0.005,0.909486,0.012
Hubei,Yichang,15,AAO+MBR,4.12 ±0.02,6.29 ±0.04,6.8,0.8677,0.007,0.898,0.006
Hunan,Zhuzhou,100,OD,4.34 ±0.06,8.63 ±0.02,6.6,0.901,0.002,0.863,0.009
Inner Mongolia,Hohhot,2,AAO,7.79 ±0.08,8.63 ±0.06,7.94,0.8998,0.012,0.911,0.001856
Jiangsu,Suzhou,80,AAO,6.27 ±0.06,10.7 ±0.16,8.31,0.847,0.006,0.85,0.02
Jiangxi,Jiujiang,30,AAO+MBR,3.94 ±0.03,2.23 ±0.01,7.85,0.904,0.003,0.901,0.006
Jilin,Changchun,30,AAO+MBR,3.69 ±0.03,7.03 ±0.02,7.87,0.9077959,0.002,0.88947,0.002
Liaoning,Shenyang,100,AAO,5.60 ±0.10,1.52 ±0.02,7.93,0.86642,0.003,0.8957,0.003
Ningxia,Yinchuan,50,4×(AO),7.04 ±0.08,11.56 ±0.07,8.3,0.918,0.001,0.8994,0.012
Qinghai,Xining,20,4×(AO),5.10 ±0.22,2.26 ±0.11,7.73,0.843,0.016,0.78985,0.011
Shaanxi,Xi'an,200,AAO,7.16 ±0.06,4.92 ±0.06,7.97,0.9019,0.009,0.923,0.004
Shandong,Rizhao,6,AAO,4.30 ±0.07,1.06 ±0.02,8.31,,,,
Shanghai,Shanghai,120,AO,5.75 ±0.05,5.82 ±0.03,7.78,0.883,0.012,0.8428,0.02
Shanxi,Yuncheng,50,AAO,6.89 ±0.04,11.49 ±0.12,8.33,0.8708,0.013,0.8779876,0.002
Sichuan,Zigong,103,OD,2.55 ±0.02,2.10 ±0.01,7.03,0.9064,0.003,0.8633,0.005
Tianjin,Tianjin,10,AAO,3.17 ±0.03,1.26 ±0.01,7.78,0.8692,0.022,0.8637,0.005
Tibet,Lhasa,140,AAO,3.72 ±0.03,1.72 ±0.01,8.29,0.895,0.001,0.866,0.011
Xinjiang,Shihezi,100,AAO,5.39 ±0.06,4.70 ±0.07,8.56,0.89398755,0.005,0.8598,0.015
Yunnan,Kunming,40,AAO,7.45 ±0.05,9.46 ±0.07,8.66,0.87115,0.004,0.853,0.008
Zhejiang,Taizhou,30,AAO,6.40 ±0.06,7.86 ±0.04,8.22,0.9023,0.006,0.86369,0.008
