driver_medido,respuesta_verdadera_media,identidad,n_muestras
0.20375846874606862,0.8797754906768728,0.20375846874606862,1544
0.4002275942002057,0.578185138581579,0.4002275942002057,13284
0.5966967196543429,0.7441532530216383,0.5966967196543429,30067
0.79316584510848,0.9331792083035819,0.79316584510848,34505
0.9896349705626171,1.1039482485380994,0.9896349705626171,29311
1.1861040960167542,1.265681587385316,1.1861040960167542,22464
1.3825732214708912,1.412729874558573,1.3825732214708912,16609
1.5790423469250285,1.5401530719118337,1.5790423469250285,12320
1.7755114723791654,1.6659640608363526,1.7755114723791654,8847
1.9719805978333025,1.775876508972829,1.9719805978333025,6503
2.1684497232874396,1.8772031620266418,2.1684497232874396,4877
2.364918848741577,1.9917438310046138,2.364918848741577,3610
2.561387974195714,2.1024526235586736,2.561387974195714,2870
2.757857099649851,2.1896729231553307,2.757857099649851,2280
2.954326225103988,2.280764134617856,2.954326225103988,1773
3.150795350558125,2.3760176976649316,3.150795350558125,1413
3.3472644760122625,2.4724844074517702,3.3472644760122625,1090
3.5437336014664,2.533599495415591,3.5437336014664,865
3.7402027269205367,2.642453850065327,3.7402027269205367,709
3.9366718523746735,2.740765152304866,3.9366718523746735,603
4.133140977828811,2.794819999862167,4.133140977828811,516
4.329610103282947,2.8439642046948133,4.329610103282947,391
4.5260792287370855,2.9048124597883263,4.5260792287370855,348
4.722548354191222,2.950074741485755,4.722548354191222,282
4.91901747964536,3.0375179167589725,4.91901747964536,230
5.1154866050994965,3.098442826963738,5.1154866050994965,206
5.311955730553633,3.176169786367982,5.311955730553633,186
5.508424856007771,3.1451363289772956,5.508424856007771,152
5.7048939814619075,3.393678185999058,5.7048939814619075,145
