estudio,anio,limite_saturacion_mvm
"Reiff et al., 1981",1981,3.0
"Wygant et al., 1983",1983,0.5
"Weimer et al., 1990",1990,4.0
"Boyle et al., 1997",1997,8.0
"Russell et al., 2001",2001,3.0
"Liemohn and Ridley, 2002",2002,10.0
"Shepherd et al., 2002",2002,3.0
"Nagatsuma, 2002",2002,5.0
"Hairston et al., 2005",2005,10.0
