age,gender,mean_prop,n_unweighted,n_weighted
18,Men,0.1201143293183693,18,35.7428323901199
18,Women,0.206631348829547,7,8.247933454695128
19,Men,0.2630737179526909,17,31.09698312991938
19,Women,0.04332864142002638,18,18.61941244474223
20,Men,0.2615069647896545,14,12.32105609235646
20,Women,0.0,22,20.25800846995022
21,Men,0.0406402415686281,18,30.42863161369454
21,Women,0.01450071799650009,33,38.81357358563396
22,Men,0.1757973917126459,21,26.80832502340809
22,Women,0.0,27,19.70515409956324
23,Men,0.0,24,34.22906594095235
23,Women,0.0279303501348264,42,35.36980425282134
24,Men,0.2985010774874776,23,31.30387357997832
24,Women,0.03187490470815555,20,20.52931560291997
25,Men,0.16337304937418,22,27.42653925038693
25,Women,0.1115728074115604,44,44.53189873087616
26,Men,0.2594178818466428,33,45.20962161869241
26,Women,0.05134998055043649,41,40.41209807294308
27,Men,0.07541040455848676,22,30.8012420505146
27,Women,0.03157920043461358,45,51.06394919802453
28,Men,0.1170529480444394,35,51.35576331150804
28,Women,0.1622792211585251,40,34.0046324867566
29,Men,0.1377740323390773,53,86.05009943764944
29,Women,0.0980509471740035,62,65.83454785270182
30,Men,0.03159009384391382,23,18.64635819413639
30,Women,0.01046311818421113,41,48.69011457371005
31,Men,0.1068246102785883,40,33.40486660196892
31,Women,0.03615232189638053,42,32.19184133484847
32,Men,0.07446873155525291,31,32.25736781627678
32,Women,0.05737554964892096,37,35.83053597438843
33,Men,0.09233899510400166,34,36.05371093225775
33,Women,0.05336039957746891,51,46.8209623397622
34,Men,0.0979066799665044,45,48.1278535482576
34,Women,0.05407964138535665,59,50.48284413455082
35,Men,0.07080938700827774,24,25.10410409164345
35,Women,0.01583560149539948,41,34.4758075724015
36,Men,0.1029392695093486,34,35.21734987266297
36,Women,0.07076773218093445,34,30.09238271459136
37,Men,0.129131181660631,39,39.87121054560528
37,Women,0.05864040006677111,41,37.23181647681783
38,Men,0.1250232279516405,40,39.92414068667395
38,Women,0.01599791912311112,48,41.15722560122273
39,Men,0.0939044462903233,32,35.84964696554285
39,Women,0.02072718831297503,49,52.47699137479533
40,Men,0.03648423610796836,48,61.24803289319481
40,Women,0.04098017585277747,43,32.07583264578296
41,Men,0.06895255109306941,56,53.42947729982578
41,Women,0.0552342933663032,43,37.39238787911921
42,Men,0.1294909709001588,34,37.4199556115285
42,Women,0.01825639969156077,50,41.71131861835067
43,Men,0.03169912233415689,39,54.65004862090817
43,Women,0.06123410459869771,58,51.12445954762335
44,Men,0.0,42,52.39879435588257
44,Women,0.0,54,42.28049848271178
45,Men,0.01500717369879887,23,21.91978637698639
45,Women,0.1463416331662035,31,29.65986152614523
46,Men,0.01534659777149851,42,36.89485781072307
46,Women,0.020906830212414,31,28.11922992045326
47,Men,0.03514761947193814,31,31.13511273202952
47,Women,0.04667408199068993,36,32.4404147188588
48,Men,0.09323617292809344,26,22.98506836047908
48,Women,0.0,26,25.68786945449005
49,Men,0.0,41,35.43523054841227
49,Women,0.0,31,25.78064564250773
50,Men,0.1319394834256846,27,19.60884839548502
50,Women,0.05143978636449993,35,25.46076390259412
51,Men,0.05276161060468677,42,37.11188084253562
51,Women,0.2187724717469824,39,38.28747362325673
52,Men,0.06383966083524914,40,45.45157636919819
52,Women,0.06658716181437041,39,35.06779702875519
53,Men,0.09371440114295765,34,29.92533052480299
53,Women,0.01644608139112802,55,58.29301130917323
54,Men,0.02167537192359706,42,55.5237598294589
54,Women,0.07528433181948081,35,36.0425678142858
55,Men,0.0860883449273074,42,50.84651376710978
55,Women,0.1283725682793552,46,40.61821135420404
56,Men,0.04687893762020109,44,45.73672583617911
56,Women,0.01247488471356015,50,49.32152477779557
57,Men,0.02910036932201204,41,30.68870648869264
57,Women,0.06012966494562097,35,34.36546917909649
58,Men,0.0,55,54.30683557817895
58,Women,0.02973650096989255,64,63.75005874538453
59,Men,0.08410442136630845,67,74.86138877949446
59,Women,0.08079813303513597,73,63.9999757602758
60,Men,0.04393319164295598,57,55.7893788442084
60,Women,0.01545564887534087,68,63.4187728780974
61,Men,0.0213848156235485,57,44.00769832789089
61,Women,0.05044811293203395,74,60.81595582268003
62,Men,0.005151978799042082,65,61.17909634228397
62,Women,0.05026610037022444,73,71.47781699371113
63,Men,0.06426618390492371,66,59.65207252354248
63,Women,0.07328026635218639,69,54.88873124561128
64,Men,0.0,84,74.8623857546107
64,Women,0.0270543155991775,87,66.4627357288185
65,Men,0.02318991182103872,41,35.25371175150519
65,Women,0.04390967673399283,54,54.44949024065421
66,Men,0.0546851609076656,46,36.85657524620772
66,Women,0.02410995908457848,55,46.40748606375919
67,Men,0.0,31,31.44009593431281
67,Women,0.09896511156032088,58,63.23608677470462
68,Men,0.01779430440516206,61,61.05369448917914
