caseid,peso,grupo_experimental,rnd_02,apoya_nacionalismo_blanco,apoya_sin_descripcion,apoya_con_descripcion,respuesta_sin_descripcion,respuesta_con_descripcion_tratado,respuesta_con_descripcion_control,genero,edad,edad_grupo,educacion,partido,ideologia,raza_etnia,ingreso_4
3,0.8909972439,control,0.0,0.0,0.0,,No,,No,Female,38,30-44,Post grad study/professional degree,Republican,Moderate,"White, non-Hispanic","$100,000 or more"
6,0.5593263213,treated,1.0,0.0,,0.0,,No,,Male,62,60+,Some college/ associates degree,Lean Democrat,Very liberal,"White, non-Hispanic","$100,000 or more"
15,0.1613871422,control,0.0,0.0,0.0,,No,,No,Female,31,30-44,Post grad study/professional degree,Democrat,Somewhat liberal,"White, non-Hispanic","$30,000 to under $60,000"
21,0.1984497571,control,0.0,0.0,0.0,,No,,No,Female,61,60+,Post grad study/professional degree,Lean Republican,Moderate,"White, non-Hispanic","$100,000 or more"
22,0.7865419279,control,0.0,0.0,0.0,,No,,No,Male,58,45-59,HS graduate or equivalent,Republican,Very conservative,"White, non-Hispanic","$60,000 to under $100,000"
27,0.577586677,treated,1.0,0.0,,0.0,,No,,Male,34,30-44,Some college/ associates degree,Lean Democrat,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
28,0.6747104692,treated,1.0,0.0,,0.0,,No,,Male,33,30-44,Bachelor's degree,Republican,Somewhat conservative,"White, non-Hispanic","$100,000 or more"
41,2.8087998645,treated,1.0,0.0,,0.0,,No,,Male,68,60+,HS graduate or equivalent,Republican,Somewhat conservative,"White, non-Hispanic","$30,000 to under $60,000"
42,0.3281129488,control,0.0,0.0,0.0,,No,,No,Female,61,60+,Some college/ associates degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
44,3.0258433337,control,0.0,1.0,0.0,,No,,Yes,Female,51,45-59,HS graduate or equivalent,Republican,Very conservative,"White, non-Hispanic","$30,000 to under $60,000"
45,0.5053194272,control,0.0,0.0,0.0,,No,,No,Male,34,30-44,Some college/ associates degree,Republican,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
56,0.5290527505,treated,1.0,0.0,,0.0,,No,,Male,33,30-44,Bachelor's degree,Democrat,Moderate,"White, non-Hispanic","$100,000 or more"
60,0.2816193902,treated,1.0,0.0,,0.0,,No,,Female,63,60+,Post grad study/professional degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","$100,000 or more"
62,1.3399132384,control,0.0,0.0,0.0,,No,,No,Female,96,60+,Bachelor's degree,Republican,Somewhat conservative,"White, non-Hispanic","$30,000 to under $60,000"
67,0.5356119907,control,0.0,0.0,0.0,,No,,No,Male,54,45-59,Post grad study/professional degree,Democrat,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
68,1.51481385,treated,1.0,0.0,,0.0,,No,,Male,59,45-59,Some college/ associates degree,Lean Republican,Moderate,"White, non-Hispanic","Less than $30,000"
70,0.6837031608,control,0.0,0.0,0.0,,No,,No,Male,64,60+,Bachelor's degree,Lean Democrat,Moderate,"White, non-Hispanic","$100,000 or more"
80,0.2330561259,treated,1.0,0.0,,0.0,,No,,Female,33,30-44,Bachelor's degree,Lean Democrat,Somewhat liberal,"White, non-Hispanic","$30,000 to under $60,000"
81,0.4305645236,control,0.0,0.0,0.0,,No,,No,Male,31,30-44,Bachelor's degree,Democrat,Very liberal,"White, non-Hispanic","$60,000 to under $100,000"
98,0.6858584117,control,0.0,0.0,0.0,,No,,No,Female,72,60+,Some college/ associates degree,Lean Democrat,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
106,3.3016169514,treated,1.0,1.0,,1.0,,Yes,,Male,55,45-59,HS graduate or equivalent,Republican,Very conservative,"White, non-Hispanic","Less than $30,000"
108,1.0380015788,control,0.0,0.0,0.0,,No,,No,Female,38,30-44,Post grad study/professional degree,Democrat,Somewhat liberal,"White, non-Hispanic","$100,000 or more"
115,1.1600331097,control,0.0,,,,Skipped,,Skipped,Female,33,30-44,Bachelor's degree,Democrat,Unknown,"White, non-Hispanic","$30,000 to under $60,000"
122,0.3486738414,treated,1.0,0.0,,0.0,,No,,Female,34,30-44,Bachelor's degree,Democrat,Moderate,"White, non-Hispanic","$100,000 or more"
124,0.6088409775,control,0.0,0.0,0.0,,No,,No,Male,76,60+,Bachelor's degree,Republican,Very conservative,"White, non-Hispanic","$60,000 to under $100,000"
139,0.2777004223,control,0.0,0.0,0.0,,No,,No,Female,42,30-44,Bachelor's degree,Democrat,Moderate,"White, non-Hispanic","$100,000 or more"
149,0.1566580097,control,0.0,0.0,0.0,,No,,No,Female,33,30-44,Post grad study/professional degree,Democrat,Very liberal,"White, non-Hispanic","$30,000 to under $60,000"
155,0.5264484509,treated,1.0,0.0,,0.0,,No,,Female,30,30-44,Post grad study/professional degree,Democrat,Moderate,"White, non-Hispanic","$100,000 or more"
156,0.8184137318,treated,1.0,0.0,,0.0,,No,,Female,43,30-44,HS graduate or equivalent,Republican,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
160,0.5220341939,treated,1.0,0.0,,0.0,,No,,Female,62,60+,Bachelor's degree,Democrat,Moderate,"White, non-Hispanic","$100,000 or more"
169,0.6240963518,treated,1.0,0.0,,0.0,,No,,Male,38,30-44,Some college/ associates degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","Less than $30,000"
180,0.5126080556,treated,1.0,0.0,,0.0,,No,,Male,70,60+,Post grad study/professional degree,Democrat,Very liberal,"White, non-Hispanic","$60,000 to under $100,000"
188,0.568688832,treated,1.0,0.0,,0.0,,No,,Female,33,30-44,Some college/ associates degree,Democrat,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
191,0.376537502,treated,1.0,0.0,,0.0,,No,,Male,34,30-44,Post grad study/professional degree,Lean Democrat,Moderate,"White, non-Hispanic","Less than $30,000"
195,2.6151409416,treated,1.0,0.0,,0.0,,No,,Male,74,60+,Some college/ associates degree,Republican,Very conservative,"White, non-Hispanic","$60,000 to under $100,000"
209,1.6162962316,control,0.0,0.0,0.0,,No,,No,Female,37,30-44,HS graduate or equivalent,Republican,Moderate,"White, non-Hispanic","Less than $30,000"
213,0.605304496,treated,1.0,0.0,,0.0,,No,,Male,63,60+,Post grad study/professional degree,Lean Democrat,Moderate,"White, non-Hispanic","$100,000 or more"
