covariate,level,n,mean_prop,SE,ci84_lower,ci84_upper
Male,18-29,137,0.1352354799833302,0.03783920533217729,0.08263898457160379,0.1878319753950566
Male,30-44,267,0.04697997434928501,0.01676254582273506,0.02368003565568328,0.07027991304288675
Male,45-64,333,0.03148107690937493,0.01275065882628159,0.01375766114084351,0.04920449267790634
Male,65+,270,0.01844846932040435,0.01076289155113523,0.003488050064326389,0.03340888857648232
Female,18-29,97,0.06405683016562567,0.03278059010827648,0.01849180991512137,0.10962185041613
Female,30-44,292,0.03513963593527333,0.01376665408205613,0.01600398676121532,0.05427528510933134
Female,45-64,371,0.05667135443273745,0.01551634752475541,0.03510363137332743,0.07823907749214747
Female,65+,347,0.03937930476762633,0.01412289376452794,0.0197484824349325,0.05901012710032016
Education,No high school,79,0.07653186213709848,0.03819094522895419,0.02344644826885216,0.1296172760053448
Education,High school grad,339,0.08280179604200047,0.01825417255236266,0.05742849619421637,0.1081750958897846
Education,Some college,768,0.04310227169225238,0.008971726579834277,0.03063157174628273,0.05557297163822202
Education,4-year,525,0.02708960483337758,0.008966736133751346,0.01462584160746321,0.03955336805929194
Education,Post-grad,403,0.02064077829796349,0.008791332356797495,0.008420826322014971,0.03286073027391201
Ideo,Very liberal,284,0.02157225042975333,0.01195660018887827,0.004952576167212543,0.03819192469229412
Ideo,Liberal,189,0.007626319965343178,0.00800816594157072,0.0,0.01875767062412648
Ideo,Moderate,1001,0.04558009538999444,0.008708205891230744,0.03347568920118371,0.05768450157880517
Ideo,Conservative,313,0.05583106628812586,0.01752323625551255,0.03147376789296341,0.08018836468328831
Ideo,Very conservative,297,0.1056559758741548,0.02269843638757281,0.07410514929542861,0.137206802452881
Party,Democrat,877,0.005075454075890608,0.003194871372557827,0.0006345828680352286,0.009516325283745988
Party,Independent,305,0.0822955682326609,0.02126741678921732,0.05273385889564883,0.111857277569673
Party,Republican,930,0.0747697019723048,0.01119707665862096,0.05920576541682167,0.09033363852778793
