study,group,mean_prop,SE,n
Study 1,Full sample after description,0.06724087616476593,0.006005506810922396,3227.0
Study 1,Control,0.03759189953010333,0.003026704770557669,1617.0
Study 1,Treatment,0.07638374454230398,0.004628118352126045,1610.0
Study 2,Full sample after description,0.04890681542548442,0.006603367703983487,2114.0
Study 2,Control,0.03027180354977988,0.003382174532215899,1067.0
Study 2,Treatment,0.04341523217141319,0.004299720878497885,1039.0
Study 3,Full sample after description,0.05759162303664921,0.002510490242372163,764.0
Study 3,Control,,0.0,
Study 3,Treatment,,0.0,
