caseid,peso,grupo_experimental,apoya_nacionalismo_blanco,apoya_sin_descripcion,apoya_con_descripcion,genero,edad,edad_grupo,educacion,ingreso_percentil,ingreso_quintil,asistencia_religiosa,partido,ideologia,voto_2020,dificultades_personales_n,amigos_solo_online_n,redes_frecuencia,redes_politica_n,identidad_blanca_indice,apoyo_violencia_indice,conspiracion_indice,condado_pct_blanco_2019,condado_cambio_pct_blanco,condado_distress,condado_ruralidad,info_pct_correcto
1654370703,0.124936852804586,control,0,0.0,,Woman,30,30-44,Some college,43.0,41-60%,Seldom,Independent,Liberal,Biden,2,1.0,2.0,0.0,42.773691603813006,0.0,59.403796680078266,93.09037017822266,-1.6583023071289062,-0.5971349477767944,Medium/small metro,10.0
1654369391,0.649261754275207,control,0,0.0,,Woman,77,65+,High school graduate,32.0,21-40%,Never,Democrat,Liberal,Biden,2,0.0,2.0,0.0,40.422515236108296,0.0,42.999263376361306,36.27885055541992,-11.682075500488281,-0.8214769959449768,Suburban metro,90.0
1654370095,0.373773295128498,treated,0,,0.0,Woman,52,45-64,No HS,32.0,21-40%,Seldom,Republican,Conservative,Trump,1,1.0,3.0,0.0,55.82119584541385,0.0,75.0,87.69392395019531,-5.1606903076171875,-0.6133952140808105,Medium/small metro,70.0
1655029607,0.441253673149449,control,0,0.0,,Woman,21,18-29,4-year,93.0,81-100%,Never,Democrat,Very liberal,Biden,2,0.0,1.0,1.0,0.0,0.0,0.0,63.55747604370117,-3.9220924377441406,-0.04398392140865326,Medium/small metro,60.0
1655046693,0.573365523068683,control,0,0.0,,Woman,49,45-64,High school graduate,81.0,81-100%,Seldom,Republican,Moderate,Trump,0,0.0,2.0,0.0,30.198385579810356,0.0,75.0,78.92274475097656,-5.064689636230469,-0.6765612363815308,Medium/small metro,30.0
1654370499,1.14267586222215,treated,0,,0.0,Woman,29,18-29,4-year,52.0,41-60%,Seldom,Republican,Conservative,Trump,1,0.0,3.0,2.0,34.797909234003214,0.0,56.296628412683475,94.13114929199219,-1.5893325805664062,-0.8035065531730652,Suburban metro,60.0
1654793005,0.647438942089381,treated,0,,0.0,Man,64,45-64,High school graduate,22.0,21-40%,Never,Democrat,Very liberal,Biden,1,0.0,3.0,1.0,13.552368845311515,0.0,66.40453330371697,77.71156311035156,-5.855415344238281,-0.5559371113777161,Medium/small metro,90.0
1655224931,5.8901526916183,control,1,0.0,,Woman,75,65+,No HS,43.0,41-60%,Never,Independent,Not sure,Did not vote,1,0.0,2.0,0.0,50.000000000000014,66.66666666666667,50.0,42.77462387084961,-9.007991790771484,-0.19702109694480896,Central metro,0.0
1655224817,0.48639923453597,control,0,0.0,,Woman,61,45-64,High school graduate,32.0,21-40%,Seldom,Republican,Conservative,Trump,2,0.0,2.0,1.0,53.59844356846423,0.0,50.0,84.05567169189453,-4.586738586425781,-0.8884606957435608,Suburban metro,70.0
1655225363,0.949194931590527,treated,0,,0.0,Man,29,18-29,Some college,43.0,41-60%,Seldom,Democrat,Very liberal,Biden,0,2.0,1.0,3.0,17.67361163537258,0.0,0.0,29.58929443359375,-6.949165344238281,-0.15158569812774658,Central metro,100.0
1655225741,0.401520224533506,control,0,0.0,,Woman,23,18-29,4-year,68.0,61-80%,Never,Democrat,Very liberal,Biden,0,0.0,2.0,0.0,19.937999847494535,0.0,54.701898340039136,75.77816772460938,-6.4171295166015625,-1.0772788524627686,Suburban metro,70.0
1655224557,0.439892220731876,treated,0,,0.0,Woman,56,45-64,High school graduate,32.0,21-40%,Weekly,Democrat,Moderate,Biden,0,1.0,4.0,0.0,24.775818204602285,0.0,42.999263376361306,89.46278381347656,-2.4274444580078125,0.09170596301555634,Non-metro,80.0
1655226035,0.52297410439108,control,0,0.0,,Man,29,18-29,4-year,,,Seldom,Democrat,Liberal,Biden,2,0.0,2.0,1.0,22.551305544916875,0.0,13.297365036322171,71.85481262207031,-8.182746887207031,-1.1466830968856812,Suburban metro,90.0
