grupo,animal_id,etapa,porcentaje
Saline,1,NREM,72.78
Saline,2,NREM,62.5
Saline,3,NREM,70.44
Saline,4,NREM,60.39
Saline,5,NREM,70.67
Saline,6,NREM,66.78
Saline,7,NREM,62.67
Saline,8,NREM,65.33
Saline,9,NREM,69.0
CNO,1,NREM,64.06
CNO,2,NREM,68.5
CNO,3,NREM,76.78
CNO,4,NREM,76.89
CNO,5,NREM,58.56
CNO,6,NREM,42.78
CNO,7,NREM,54.39
CNO,8,NREM,73.17
CNO,9,NREM,52.94
Saline,1,REM,7.67
Saline,2,REM,9.17
Saline,3,REM,9.33
Saline,4,REM,5.39
Saline,5,REM,3.78
Saline,6,REM,9.44
Saline,7,REM,6.0
Saline,8,REM,9.78
Saline,9,REM,10.72
CNO,1,REM,6.0
CNO,2,REM,2.56
CNO,3,REM,9.78
CNO,4,REM,7.83
CNO,5,REM,5.28
CNO,6,REM,3.83
CNO,7,REM,6.89
CNO,8,REM,4.17
CNO,9,REM,10.06
Saline,1,Wake/MA,19.56
Saline,2,Wake/MA,28.33
Saline,3,Wake/MA,20.22
Saline,4,Wake/MA,34.22
Saline,5,Wake/MA,25.56
Saline,6,Wake/MA,23.78
Saline,7,Wake/MA,31.33
Saline,8,Wake/MA,24.89
Saline,9,Wake/MA,20.28
CNO,1,Wake/MA,29.94
CNO,2,Wake/MA,28.94
CNO,3,Wake/MA,13.44
CNO,4,Wake/MA,15.28
CNO,5,Wake/MA,36.17
CNO,6,Wake/MA,53.39
CNO,7,Wake/MA,38.72
CNO,8,Wake/MA,22.67
CNO,9,Wake/MA,37.0
