grupo,animal_id,etapa,duracion_s
Saline,1,NREM,119.09
Saline,2,NREM,140.63
Saline,3,NREM,123.71
Saline,4,NREM,117.51
Saline,5,NREM,113.07
Saline,6,NREM,192.32
Saline,7,NREM,161.14
Saline,8,NREM,138.35
Saline,9,NREM,99.36
CNO,1,NREM,131.77
CNO,2,NREM,176.14
CNO,3,NREM,149.41
CNO,4,NREM,163.06
CNO,5,NREM,234.22
CNO,6,NREM,205.33
CNO,7,NREM,195.8
CNO,8,NREM,146.33
CNO,9,NREM,146.62
Saline,1,REM,78.86
Saline,2,REM,82.5
Saline,3,REM,67.2
Saline,4,REM,97.0
Saline,5,REM,90.67
Saline,6,REM,75.56
Saline,7,REM,61.71
Saline,8,REM,117.33
Saline,9,REM,70.18
CNO,1,REM,72.0
CNO,2,REM,92.0
CNO,3,REM,88.0
CNO,4,REM,56.4
CNO,5,REM,95.0
CNO,6,REM,92.0
CNO,7,REM,62.0
CNO,8,REM,75.0
CNO,9,REM,103.43
Saline,1,Wake/MA,32.74
Saline,2,Wake/MA,63.75
Saline,3,Wake/MA,35.51
Saline,4,Wake/MA,66.59
Saline,5,Wake/MA,41.82
Saline,6,Wake/MA,65.85
Saline,7,Wake/MA,77.79
Saline,8,Wake/MA,52.71
Saline,9,Wake/MA,28.63
CNO,1,Wake/MA,63.41
CNO,2,Wake/MA,77.19
CNO,3,Wake/MA,26.16
CNO,4,Wake/MA,32.12
CNO,5,Wake/MA,144.67
CNO,6,Wake/MA,256.27
CNO,7,Wake/MA,146.74
CNO,8,Wake/MA,45.33
CNO,9,Wake/MA,102.46
