phenotype_id,phenotype_name,source,population,gamma,gamma_se,gamma_p,gamma_z,gamma_sign,gamma_sign_se,gamma_sign_p,gamma_sign_z
Pan-UKBB.1431,Illnesses of father,Pan-UKBB (phenotype-manifest-23-03-01),European,0.087984843,0.123687121,0.476867326,0.711350079,0.032384181,0.125826176,0.79689133,0.257372371
Pan-UKBB.1433,Illnesses of father,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.069547003,0.121688364,0.567649052,-0.571517278,-0.048533222,0.127166579,0.702720426,-0.381650763
Pan-UKBB.1434,Illnesses of father,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.057747907,0.119613215,0.629245787,-0.482788683,-0.156490652,0.124446412,0.208574707,-1.257494286
Pan-UKBB.1439,Illnesses of father,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.098791364,0.109576932,0.3672849,-0.901570815,-0.117599208,0.113855679,0.301660248,-1.032879597
Pan-UKBB.144,Mood swings,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.248767406,0.126693859,0.049584427,-1.963531681,-0.347835777,0.129046335,0.007029717,-2.69543322
Pan-UKBB.1443,Illnesses of father,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.059054886,0.123873306,0.633549998,-0.476736177,-0.067448843,0.126092649,0.592708667,-0.534914954
Pan-UKBB.1454,Illnesses of mother,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.050110937,0.123714775,0.68543917,-0.405052161,-0.104383081,0.127834045,0.414184783,-0.816551498
Pan-UKBB.146,Irritability,Pan-UKBB (phenotype-manifest-23-03-01),European,0.00133959,0.089249981,0.98802467,0.015009414,-0.060321169,0.090336258,0.504299322,-0.667740392
Pan-UKBB.1463,Illnesses of mother,Pan-UKBB (phenotype-manifest-23-03-01),European,0.049541557,0.121745314,0.684060992,0.406927834,0.05102254,0.125001793,0.683145592,0.408174468
Pan-UKBB.1464,Illnesses of mother,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.26045338,0.121741549,0.032403612,-2.139395985,-0.385304426,0.126023635,0.002232675,-3.057398132
Pan-UKBB.1465,Illnesses of siblings,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.140349275,0.109119828,0.198375343,-1.286194061,-0.140773615,0.11299691,0.212831122,-1.245818267
Pan-UKBB.1467,Illnesses of siblings,Pan-UKBB (phenotype-manifest-23-03-01),European,0.091298956,0.123878832,0.46112109,0.737002071,0.171127521,0.128440872,0.182746931,1.332344742
Pan-UKBB.1468,Illnesses of siblings,Pan-UKBB (phenotype-manifest-23-03-01),European,0.101834439,0.123415211,0.409293896,0.825136858,0.230740387,0.126426737,0.067987195,1.825091681
Pan-UKBB.147,Sensitivity / hurt feelings,Pan-UKBB (phenotype-manifest-23-03-01),European,0.004273253,0.12576874,0.972895438,0.033977067,-0.079552042,0.129278623,0.538321349,-0.615353415
Pan-UKBB.1478,Illnesses of siblings,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.226045427,0.091214017,0.013205177,-2.478187394,-0.304110527,0.093564378,0.00115291,-3.250281075
Pan-UKBB.149,Nervous feelings,Pan-UKBB (phenotype-manifest-23-03-01),European,0.051984936,0.114922399,0.651018187,0.452348159,0.015574305,0.117192855,0.894276691,0.132894659
Pan-UKBB.15,Glycated hemoglobin,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.80567631,0.11795526,8.47e-12,-6.830355063,-0.836588345,0.120715852,4.2e-12,-6.930227725
Pan-UKBB.150,Worrier / anxious feelings,Pan-UKBB (phenotype-manifest-23-03-01),European,0.17443146,0.129816698,0.179053484,1.343675064,0.198003178,0.129678372,0.126791111,1.526878966
Pan-UKBB.1556,Smoking status,Pan-UKBB (phenotype-manifest-23-03-01),European,0.569042079,0.128117499,8.93e-06,4.441564078,0.530347266,0.131073859,5.21e-05,4.046171133
Pan-UKBB.1557,Smoking status,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.185236747,0.12468772,0.137383532,-1.485605377,-0.166944932,0.127086114,0.188968627,-1.313636299
Pan-UKBB.1558,Smoking status,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.44940648,0.122340902,0.000239349,-3.673395173,-0.558655669,0.125412963,8.41e-06,-4.454528901
Pan-UKBB.1559,Alcohol drinker status,Pan-UKBB (phenotype-manifest-23-03-01),European,0.132622019,0.107844922,0.21879169,1.229747457,0.091765839,0.111731761,0.411472635,0.821304868
Pan-UKBB.1560,Alcohol drinker status,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.054667223,0.114420528,0.632810631,-0.477774614,-0.096921655,0.115828624,0.402723139,-0.836767731
Pan-UKBB.1561,Alcohol drinker status,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.087919769,0.102520202,0.391121763,-0.857584816,-0.066016305,0.105400997,0.53109541,-0.626334732
Pan-UKBB.1578,Ever smoked,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.229242625,0.125179159,0.067053357,-1.831316224,-0.218048651,0.12882811,0.090540217,-1.692554923
Pan-UKBB.1579,"Loneliness, isolation",Pan-UKBB (phenotype-manifest-23-03-01),European,-0.389821991,0.124195171,0.001696496,-3.138785401,-0.32456039,0.128121705,0.011302018,-2.533219419
Pan-UKBB.1581,Risk taking,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.04644361,0.104065018,0.655384777,-0.446294157,-0.096117433,0.106542955,0.366978656,-0.902147242
Pan-UKBB.16,HDL cholesterol,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.088699439,0.128555901,0.490214404,-0.689967852,-0.101951627,0.128231864,0.426580412,-0.795056888
Pan-UKBB.17,IGF-1,Pan-UKBB (phenotype-manifest-23-03-01),European,0.155375391,0.127544324,0.223145312,1.218207022,0.239631669,0.130058121,0.065402517,1.842496779
Pan-UKBB.1712,Answered sexual history questions,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.286821499,0.110606514,0.009509574,-2.59317005,-0.264297261,0.114639601,0.021140704,-2.305462149
Pan-UKBB.1714,"Long-standing illness, disability or infirmity",Pan-UKBB (phenotype-manifest-23-03-01),European,-0.187176718,0.126528429,0.139053369,-1.479325395,-0.20064024,0.130522868,0.124243425,-1.53720374
Pan-UKBB.1716,Wears glasses or contact lenses,Pan-UKBB (phenotype-manifest-23-03-01),European,0.040379364,0.083474571,0.628575714,0.483732515,0.074332999,0.085124495,0.382539412,0.873226906
Pan-UKBB.1741,Hearing difficulty/problems with background noise,Pan-UKBB (phenotype-manifest-23-03-01),European,0.151539741,0.127942254,0.2362395,1.18443857,0.168256352,0.131001953,0.199008857,1.284380488
Pan-UKBB.18,LDL direct,Pan-UKBB (phenotype-manifest-23-03-01),European,0.102181073,0.118130437,0.38704694,0.864985148,0.266894137,0.126480151,0.034844045,2.11016617
Pan-UKBB.1800,Wheeze or whistling in the chest in last year,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.331717049,0.11388624,0.003583126,-2.912705243,-0.319258421,0.116308548,0.006052444,-2.744926536
Pan-UKBB.1801,Chest pain or discomfort,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.26732069,0.123810919,0.030842075,-2.159104309,-0.314865844,0.12756924,0.013579607,-2.468195663
Pan-UKBB.1810,Diabetes diagnosed by doctor,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.157174489,0.125088454,0.208932293,-1.256506769,-0.2178864,0.129177466,0.091656931,-1.686721424
Pan-UKBB.1813,Other serious medical condition/disability diagnosed by doctor,Pan-UKBB (phenotype-manifest-23-03-01),European,0.035723479,0.12340212,0.772207677,0.289488372,0.082074258,0.12725737,0.518961536,0.644946995
Pan-UKBB.184,"Non-cancer illness code, self-reported",Pan-UKBB (phenotype-manifest-23-03-01),European,-0.25322907,0.127214276,0.046528053,-1.990571168,-0.386887923,0.127603474,0.002429759,-3.031954459
Pan-UKBB.1846,Hearing aid user,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.056579454,0.104795415,0.589263303,-0.539903908,-0.004456924,0.106828127,0.966721505,-0.041720508
Pan-UKBB.1852,Back pain for 3+ months,Pan-UKBB (phenotype-manifest-23-03-01),European,0.002876175,0.099048243,0.976834182,0.029038127,-0.022609348,0.102401155,0.82525445,-0.220791927
Pan-UKBB.1854,Chest pain or discomfort walking normally,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.054944266,0.122212066,0.653012332,-0.449581358,-0.093790799,0.124718783,0.45204009,-0.752018239
Pan-UKBB.188,"Non-cancer illness code, self-reported",Pan-UKBB (phenotype-manifest-23-03-01),European,-0.150962692,0.121451275,0.213871604,-1.242989767,-0.211177317,0.12493438,0.090969451,-1.69030588
Pan-UKBB.2,Alanine aminotransferase,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.02196327,0.128024096,0.863786795,-0.171555753,-0.077431159,0.130478065,0.552885412,-0.593441964
Pan-UKBB.202,"Non-cancer illness code, self-reported",Pan-UKBB (phenotype-manifest-23-03-01),European,-0.057344559,0.127725668,0.65345575,-0.448966601,-0.131593234,0.129612111,0.309969986,-1.015285014
Pan-UKBB.21,Phosphate,Pan-UKBB (phenotype-manifest-23-03-01),European,0.212315229,0.12763283,0.096215499,1.663484462,0.128766167,0.131001448,0.325638461,0.98293697
Pan-UKBB.2271,Operative procedures - main OPCS4,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.026876261,0.12347676,0.827692081,-0.217662504,-0.077804987,0.129052393,0.546578829,-0.602894569
Pan-UKBB.23,SHBG,Pan-UKBB (phenotype-manifest-23-03-01),European,0.228476218,0.123324932,0.063934538,1.852636074,0.390458571,0.126673072,0.002053306,3.082411788
Pan-UKBB.240,"Non-cancer illness code, self-reported",Pan-UKBB (phenotype-manifest-23-03-01),European,-0.086699044,0.12507701,0.488205818,-0.693165307,-0.160862526,0.129552036,0.214353643,-1.241682733
